AverageAbsQ,AveragePolicySurr,AverageReturn,AverageAbsQYDiff,MinReturn,MinEsReturn,AverageDiscountedReturn,Epoch,AverageAction,QFunRegParamNorm,PolicyRegParamNorm,MaxReturn,StdEsReturn,AverageEsReturn,AverageY,AverageAbsY,AverageQ,Iteration,MaxEsReturn,AverageQLoss,StdReturn
84.2103,-92.3403,1000.0,2.14402524961,1000.0,3.0,99.9956828753,114,0.249564,126.391,48.7497,1000.0,12.9967927668,13.5066666667,84.0581204237,84.0886222955,84.0489,114,64.0,33.7552,0.0
84.8846,-93.3011,294.823529412,2.23318808428,100.0,3.0,91.5865858529,115,0.215859,126.965,48.9611,517.0,14.9643669201,14.7121212121,84.718894481,84.7424266727,84.7158,115,90.0,35.9353,106.97896181
85.9612,-94.1018,183.090909091,2.20650501814,122.0,3.0,82.404215241,116,0.270829,127.481,49.1687,309.0,13.9300205006,13.8513513514,85.8037366621,85.8250772245,85.7977,116,70.0,35.3561,46.1291754364
86.7686,-95.0976,212.0,2.3027646792,119.0,3.0,86.6079606553,117,0.284921,128.029,49.3165,386.0,17.1105662958,15.3650793651,86.5919477224,86.6231117771,86.592,117,79.0,37.0731,50.9779364039
87.7273,-96.0959,143.542857143,2.26633018746,50.0,3.0,74.9258092485,118,0.348274,128.59,49.4927,235.0,11.647509838,12.512195122,87.5492943575,87.5847867596,87.5492,118,73.0,37.6355,36.3210626474
88.585,-97.0922,125.4625,2.15792375767,121.0,3.0,71.6546367847,119,0.246763,129.021,49.7095,134.0,12.5863951849,12.5875,88.4234597022,88.4686607814,88.4184,119,79.0,34.1583,2.15605977422
89.3596,-98.0392,106.510638298,2.24493055122,42.0,3.0,63.4889313341,120,0.31526,129.466,49.9034,143.0,11.2637614713,12.8961038961,89.1726822632,89.2190767517,89.1717,120,52.0,37.6768,33.4536022552
90.1785,-98.7674,125.275,2.39191471805,118.0,3.0,71.3598274209,121,0.296903,130.043,50.1256,222.0,10.9988146135,12.0476190476,89.9908672592,90.0320085174,89.9864,121,47.0,40.6985,14.9231154589
91.2824,-99.9043,128.948717949,2.28242353242,121.0,3.0,72.3363452996,122,0.297152,130.639,50.3638,218.0,11.2615981881,12.3375,91.0963029829,91.1389377891,91.0931,122,60.0,37.4963,16.6455487512
92.1187,-100.828,132.012987013,2.43667839767,110.0,3.0,72.9166383601,123,0.294046,131.246,50.5767,212.0,10.8993060235,13.0,91.9116821966,91.9533605073,91.9061,123,70.0,43.9378,22.3911470832
92.9535,-101.836,294.857142857,2.35399257045,195.0,2.0,93.1286103548,124,0.199371,131.733,50.8296,608.0,11.8071762286,11.5581395349,92.7412880198,92.7957174883,92.742,124,82.0,41.3467,87.0208982641
93.7436,-102.787,213.446808511,2.46838720892,123.0,3.0,86.467609699,125,0.250756,132.314,51.0632,368.0,10.085338291,11.8352941176,93.5410663838,93.6026045499,93.5352,125,53.0,44.4232,55.1955165118
94.2757,-103.202,195.057692308,2.56130623054,122.0,2.0,84.3021756098,126,0.218386,132.933,51.2283,292.0,11.6715272736,14.8805970149,94.049137426,94.1095052866,94.0446,126,49.0,49.7588,47.6014760039
95.318,-104.418,158.203125,2.36668401502,118.0,3.0,78.0517294553,127,0.28826,133.368,51.4957,222.0,8.55955405112,12.2345679012,95.0850389158,95.1602654934,95.0884,127,43.0,40.862,39.7437808372
96.2417,-105.239,123.341463415,2.39294806857,110.0,3.0,71.0129827547,128,0.33448,133.874,51.6929,135.0,11.2196428414,12.0238095238,96.0383528332,96.0896378899,96.0372,128,73.0,42.4099,5.06836075919
96.793,-106.205,145.507246377,2.59977454962,122.0,3.0,75.377198523,129,0.197651,134.464,51.8723,250.0,10.4661061101,13.8450704225,96.5729581839,96.6257337241,96.5646,129,48.0,49.0814,38.5440170693
97.8191,-107.195,131.578947368,2.5964518285,124.0,3.0,73.105844853,130,0.299061,134.983,52.085,230.0,10.4220235928,11.7126436782,97.6122032841,97.6628794645,97.6071,130,67.0,47.9404,15.4419653422
98.6249,-107.992,162.483870968,2.53929030657,122.0,2.0,78.9064877251,131,0.20186,135.541,52.3084,238.0,13.0952451024,12.3456790123,98.3958295599,98.4563837982,98.3996,131,80.0,48.8873,40.7259693385
