AverageQLoss,AverageReturn,AverageAbsQ,AveragePolicySurr,MaxEsReturn,QFunRegParamNorm,StdReturn,MaxReturn,AverageY,Epoch,AverageAction,AverageAbsQYDiff,Iteration,AverageAbsY,MinEsReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,StdEsReturn,AverageEsReturn,AverageQ
11.2797,210.765464764,44.1135,-47.6107,352.695275227,41.2154,52.65175421,443.020212226,43.8181847121,59,0.812093,1.91262154332,59,44.1196784798,14.0344761979,106.651628192,126.428136831,31.6651,99.0906402182,176.150737909,43.8059
11.7579,166.093180274,45.661,-49.1257,372.266601876,41.5981,68.6515635553,483.304361075,45.3916762893,60,0.817231,1.95096184189,60,45.6623212804,32.2688576547,84.9264667656,80.0028492279,31.8853,101.028274893,156.447158944,45.3819
12.7747,183.081957033,47.1691,-50.6717,361.720274237,42.0441,55.1631570258,358.419161467,46.9352105662,61,0.819181,2.03316129107,61,47.17210469,15.1372867843,90.0136837108,96.4792915755,32.1244,125.906307325,171.19377539,46.9243
13.3586,135.800436571,48.669,-52.2962,194.776687201,42.463,35.094145856,211.8274155,48.4422977862,62,0.834871,2.07998232431,62,48.6762630805,3.14723402095,85.9719569287,78.0766477403,32.3529,60.9815153357,106.385427374,48.4286
14.4683,200.245649688,50.0997,-53.8612,318.677704072,42.9017,68.0903121676,436.76272792,49.8905564214,63,0.802212,2.15081396763,63,50.1082973449,-14.4757193755,88.7670576466,68.2311017193,32.5778,106.946954782,135.502225512,49.8726
14.5825,135.745939901,51.6505,-55.3252,292.329467011,43.3147,56.133589273,362.544043532,51.474430516,64,0.821142,2.18593357485,64,51.6551248467,2.55477382886,68.4224519295,-7.67889186243,32.7801,106.743773082,125.867513494,51.4633
15.592,148.224934103,52.973,-56.7985,193.961808002,43.7185,49.8111628956,313.793115189,52.8106123576,65,0.8243,2.24507748286,65,52.9815915031,2.89088894075,73.3740490053,55.1697221165,32.9821,65.8353036997,70.1226220515,52.7974
16.1333,180.091127652,54.5846,-58.449,331.971070206,44.0887,99.9855075662,723.974954028,54.4511732326,66,0.818633,2.30143036646,66,54.5924474392,1.83147122794,92.5616128573,82.7317565679,33.1666,103.550817476,166.184973673,54.435
16.648,967.582320701,56.1184,-60.0386,356.006654498,44.4807,271.170693296,1181.23606684,55.9961831361,67,0.734098,2.33225931953,67,56.1281100093,-1.49321654269,132.578951987,291.045892607,33.39,110.948258957,101.668803915,55.9805
17.332,209.167044787,57.7034,-61.7153,601.505825394,44.8398,67.0788702457,434.59437322,57.5913503594,68,0.823752,2.38932697008,68,57.7063731665,-22.6165947905,104.40036312,45.0435135539,33.5076,200.457991931,136.252833209,57.5802
17.7456,126.860267975,59.405,-63.3149,365.921439363,45.246,60.3620995856,419.809754053,59.2970605762,69,0.847671,2.42268445207,69,59.414753072,-2.09058884216,73.6546908269,-6.82584619445,33.7214,116.95189454,126.066981459,59.2775
19.3774,147.719975796,60.8698,-64.813,344.164351887,45.6446,53.0980160682,322.349765789,60.7575575188,70,0.819209,2.47853437433,70,60.8748069506,-14.6184101864,84.4006122789,57.4464935021,33.8873,125.450486824,109.661066673,60.7421
18.9002,168.163926812,62.365,-66.3439,366.601043338,46.0116,59.1346862467,461.773539652,62.2568696479,71,0.81387,2.49721459989,71,62.3705014583,104.221843176,90.7668379515,86.5083590753,33.9977,92.7000575898,207.42358862,62.2425
19.4956,138.851321657,63.9086,-67.99,273.558222329,46.3332,52.3958951069,285.761359072,63.8052013358,72,0.831664,2.52019738983,72,63.9106303171,-74.4672318008,75.121990184,57.3096339125,34.1395,103.789190842,121.669962937,63.7909
19.7603,178.531356367,65.249,-69.3568,568.731097897,46.685,106.398395477,941.258852778,65.1538966474,73,0.831704,2.56562888689,73,65.2598904538,-7.77064600709,98.1577547612,83.9360141576,34.2989,218.309287502,166.258812764,65.1372
20.1162,85.2491697393,66.9408,-71.0729,283.270610286,47.0354,11.4805695557,142.13218415,66.8515821354,74,0.843398,2.5809409682,74,66.9553423531,-9.33453941974,57.1946559264,63.6055724015,34.5081,95.6040124747,151.950476471,66.8336
21.4787,887.127709824,68.453,-72.6144,264.825668534,47.4229,187.402133597,951.525632708,68.3617515553,75,0.830116,2.65761926775,75,68.4617783986,-12.6694528956,80.070764646,294.626290648,34.7229,77.8884122859,112.878876789,68.3449
21.9797,177.241473481,69.8455,-73.9923,326.015669866,47.7683,54.6205141911,468.949678508,69.7521821732,76,0.818835,2.6869022901,76,69.8544397878,61.6722709698,91.7672119001,103.718283755,34.8969,80.1610034795,218.861025538,69.7376
23.5809,186.933929842,71.1643,-75.3684,366.457108382,48.0968,68.7548086097,466.744897536,71.0678340788,77,0.841294,2.73672972573,77,71.1700959239,-21.1946506037,98.1348706531,86.0574850197,35.0907,104.465173055,115.751469297,71.052
22.6195,210.908008957,72.7903,-76.9608,271.293245031,48.4167,77.3304915897,489.132333105,72.6872731058,78,0.832976,2.74922506797,78,72.7883802137,-12.1863804446,109.774158943,102.198875794,35.2394,89.7407458824,105.958802573,72.6734
22.2384,113.329219322,74.1806,-78.3821,384.681581971,48.7262,27.275719673,187.462340701,74.0855196322,79,0.81915,2.76954204098,79,74.1876687932,42.2239081139,75.1418934067,73.7831755222,35.4637,92.4450227456,158.832750203,74.067
25.7116,199.519966917,75.8793,-80.0095,209.001612034,49.0456,145.922256851,969.00221855,75.7875580798,80,0.823427,2.87364675953,80,75.8859381133,55.5922771181,90.3015415548,97.0998663509,35.6669,48.6891539807,147.279484816,75.7698
25.6147,325.413194775,76.7428,-80.9673,265.517603296,49.3769,333.775328275,1102.3449754,76.6562509235,81,0.788302,2.90612815924,81,76.7525045335,-35.7717577246,95.0545090865,98.7130999261,35.8626,90.5746888302,96.2645726327,76.6359
28.0987,374.949840835,78.1583,-82.451,249.366446652,49.7159,246.691640106,1002.50787969,78.067586075,82,0.776424,2.95927818545,82,78.1607584632,-1.27943052408,97.7226890982,117.12868714,36.0515,74.9342085272,129.874083973,78.051
24.0826,295.304340877,79.7977,-84.0596,428.906772251,50.0169,72.0977048213,462.629350242,79.7020644948,83,0.852305,2.91532153215,83,79.7997522806,3.05016822234,126.181146919,-51.9424437423,36.2539,148.211048398,156.062105112,79.6861
26.4039,933.756687558,81.2333,-85.4841,356.605281415,50.3215,85.9861016895,1014.80469154,81.1379267959,84,0.657917,2.95930468426,84,81.2334493387,3.32001708419,96.5960208066,707.641130373,36.4482,134.292334412,147.506764853,81.1208
27.4144,220.041762238,82.1683,-86.5173,340.675156917,50.5913,95.708806021,693.669741768,82.0740284465,85,0.839164,2.99028417439,85,82.1688260603,-0.151277773441,108.786566443,111.049677281,36.7053,102.160499993,124.063173293,82.0579
31.663,214.110303158,83.8473,-88.2299,385.409089642,50.9251,111.680023266,622.696273448,83.7579869728,86,0.812973,3.13319786781,86,83.8454498987,-15.4864390809,88.6154006193,-71.26455743,36.8849,133.019926366,121.212391493,83.736
29.2492,192.5274018,85.1895,-89.6374,335.148180545,51.2345,52.1995986779,527.435274382,85.0978969442,87,0.863067,3.09758652183,87,85.1837259105,23.7419888554,110.887149582,129.784891291,37.0705,110.6990286,216.314144769,85.0785
30.9171,468.905550435,86.6226,-91.2219,384.532344224,51.5888,212.290438113,960.376999752,86.5450072165,88,0.755826,3.14004449449,88,86.6248500503,94.5165159001,96.7705058381,206.202458966,37.2822,86.0090218431,216.507602986,86.5251
