AverageAbsQ,StdEsReturn,AverageQ,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageAction,AverageReturn,StdReturn,MinEsReturn,AverageDiscountedReturn,Iteration,AverageEsReturn,MaxReturn,AverageY,Epoch,AverageQLoss,QFunRegParamNorm,MinReturn,MaxEsReturn,AveragePolicySurr
0.864874,0.0,0.86481,0.0101058247101,0.864778041561,23.6042,0.929719,241.58116258,88.9701863377,50.9122137961,22.8376698549,50,50.9122137961,406.961236772,0.864770931077,50,0.000731951,21.2217,146.780683819,50.9122137961,-0.872656
0.858287,0.0,0.858287,0.0103132497992,0.858292907716,23.9704,0.957359,-253.082150877,285.721230174,-6.98761498051,13.0774668638,51,-6.98761498051,443.267912134,0.858284803896,51,0.000815732,21.4103,-546.500538262,-6.98761498051,-0.865391
0.851868,0.0,0.851823,0.0108779160939,0.851780100606,24.0184,0.955989,322.465935621,370.174670938,410.26132523,81.5370095258,52,410.26132523,1256.36465417,0.851770472299,52,0.000990052,21.6455,-68.5928739175,410.26132523,-0.859243
0.846627,0.0,0.846604,0.0108595434112,0.846626350112,24.1465,0.993375,-437.763661087,62.0598653589,94.6569908937,22.4217842204,53,94.6569908937,-349.906686296,0.846620009405,53,0.000771692,21.8141,-546.520418935,94.6569908937,-0.855162
0.839817,0.0,0.839817,0.0103090830689,0.83975533835,24.3853,0.984586,-494.589785575,129.270352035,149.963781691,14.0801159858,54,149.963781691,-237.468740895,0.839747878366,54,0.000737849,21.9502,-647.339466505,149.963781691,-0.847041
0.835285,0.0,0.835231,0.0104112363184,0.835236624783,24.5596,0.896708,823.874057625,211.938997802,-282.504406585,75.6098126187,55,-282.504406585,983.041065478,0.835228773957,55,0.000823991,22.118,227.624776771,-282.504406585,-0.843281
0.830413,0.0,0.830388,0.0101412104242,0.830380356161,24.8304,0.966627,-42.4313848611,511.936009454,-140.950023604,44.8024548634,56,-140.950023604,797.636970827,0.830372602303,56,0.000704531,22.278,-529.060625457,-140.950023604,-0.837899
0.823217,0.0,0.823214,0.009701839428,0.823220976395,25.0812,0.983431,-653.565022266,229.305624159,-58.4359750253,25.233491771,57,-58.4359750253,-380.526645897,0.823214584487,57,0.000585774,22.4159,-1027.56817196,-58.4359750253,-0.831163
0.817627,0.0,0.817581,0.0104155619991,0.817510381788,25.3463,0.980623,-266.81357443,275.190789443,-403.897242421,3.90025133626,58,-403.897242421,315.447573863,0.817502864419,58,0.000832095,22.6622,-575.678139879,-403.897242421,-0.82472
0.813721,0.0,0.813719,0.0103125203406,0.813711108724,25.5736,0.960357,-121.655170639,406.883103319,295.937569471,27.1999917876,59,295.937569471,581.729838231,0.813703972569,59,0.000674226,22.8112,-645.755273546,295.937569471,-0.822467
0.809588,0.0,0.809556,0.0111524140937,0.809512091299,25.9081,0.951096,324.579037935,461.809543722,-185.782153012,18.4273751803,60,-185.782153012,669.809397811,0.80950490399,60,0.000828976,22.9713,-662.718453678,-185.782153012,-0.81829
0.806316,0.0,0.806316,0.0111294547469,0.806276314524,26.1108,0.95702,-109.409377189,423.002049802,-16.0509566718,36.496581743,61,-16.0509566718,770.167946469,0.806267326383,61,0.000856113,23.1369,-749.431670287,-16.0509566718,-0.814195
0.805893,0.0,0.805837,0.0110168054458,0.80578277191,26.2666,0.947682,-187.804913289,368.402913862,572.16337141,41.0736097899,62,572.16337141,554.145749145,0.805773498149,62,0.000658626,23.2747,-635.487127496,572.16337141,-0.814795
0.80286,0.0,0.802811,0.0117270238229,0.802752938368,26.4679,0.95265,-298.234118323,290.945674128,-99.9239735909,56.3445605177,63,-99.9239735909,419.765721044,0.802744074472,63,0.000736844,23.4662,-667.910617606,-99.9239735909,-0.812271
0.797086,0.0,0.797086,0.0115550914617,0.797045453824,26.7742,0.968806,-426.637329207,106.576965447,220.335019729,-4.41079986203,64,220.335019729,-268.158844788,0.797037045236,64,0.000745416,23.6715,-556.254077723,220.335019729,-0.806085
0.79684,0.0,0.79684,0.0120089892722,0.796790818125,27.0252,0.957112,498.056550501,579.52121299,-158.005685842,62.8061804847,65,-158.005685842,1044.45969338,0.796784801825,65,0.000784183,23.797,-569.164752019,-158.005685842,-0.805404
0.794432,0.0,0.794429,0.0119075348363,0.79436762301,27.24,0.971997,181.819576086,555.931471999,635.980510488,70.9180635478,66,635.980510488,1365.39514955,0.794360954307,66,0.000725981,23.9574,-534.467636349,635.980510488,-0.802471
0.79025,0.0,0.79025,0.0120733673683,0.790224427094,27.525,0.965553,-205.657381809,177.810998825,-242.306686244,62.0705487573,67,-242.306686244,60.5647702114,0.790215866346,67,0.000845056,24.1409,-484.867508147,-242.306686244,-0.800287
0.787944,0.0,0.787944,0.012632418665,0.787912471447,27.7897,0.973005,277.636689036,689.716294825,-300.445089394,87.5144211662,68,-300.445089394,1660.3007099,0.787905164434,68,0.000862917,24.2569,-350.904606189,-300.445089394,-0.799343
0.783494,0.0,0.783489,0.0124649569663,0.783447586532,28.0533,0.979092,439.365498562,749.227126576,83.3792589373,78.826795262,69,83.3792589373,1414.30571934,0.783438899408,69,0.000874397,24.4041,-513.687776716,83.3792589373,-0.793236
0.781058,0.0,0.781049,0.012138906959,0.780991369694,28.239,0.986289,1209.02870782,971.503191842,-236.040842408,127.722921553,70,-236.040842408,2154.86773314,0.780985864573,70,0.000692968,24.5269,-464.55065205,-236.040842408,-0.792833
0.781169,0.0,0.781152,0.0120687197161,0.781093718746,28.4711,0.996391,-202.809304081,419.496275086,-262.142908833,64.8260745577,71,-262.142908833,607.880154903,0.781088044369,71,0.000731923,24.6881,-545.599052141,-262.142908833,-0.793023
0.782668,0.0,0.782633,0.0119513623225,0.782663042078,28.6645,0.986537,195.098883609,475.422320404,446.886285032,109.175303449,72,446.886285032,1234.42453844,0.782655533746,72,0.0007711,24.7749,-375.697814536,446.886285032,-0.792978
0.780621,0.0,0.780621,0.0118953845026,0.780570346519,28.8974,0.996951,-391.543384285,195.102954202,120.233086385,29.3277418522,73,120.233086385,109.226911319,0.780560590724,73,0.000884117,24.9141,-544.438075699,120.233086385,-0.792334
0.782014,0.0,0.782008,0.011425473811,0.782037195598,29.0926,0.984735,975.174555643,889.300982529,476.115906387,140.51705203,74,476.115906387,1990.92943849,0.782028934285,74,0.000707271,25.035,-436.355458488,476.115906387,-0.793631
0.783478,0.0,0.783478,0.0118696632976,0.783439509796,29.2565,0.996801,-251.455400839,372.991028062,23.0713028266,57.4904862777,75,23.0713028266,509.987299436,0.783430820348,75,0.000747154,25.1474,-551.480425773,23.0713028266,-0.794276
0.782771,0.0,0.782771,0.011841244338,0.782729067373,29.4488,0.993634,459.846089926,796.351546833,490.522022051,158.037513045,76,490.522022051,2467.53710912,0.782721693853,76,0.000673983,25.3012,-415.315517202,490.522022051,-0.794008
0.782802,0.0,0.782765,0.0116117340876,0.782743877265,29.5883,0.99365,276.755649314,552.498141271,-290.294149819,152.868780224,77,-290.294149819,1167.77424054,0.78273812517,77,0.000637964,25.4302,-340.958563564,-290.294149819,-0.79337
0.779843,0.0,0.779843,0.0117369130845,0.77982428769,29.7268,0.987321,91.933125361,407.9731865,162.904806964,145.237688523,78,162.904806964,1110.99548822,0.779817879165,78,0.000680535,25.5789,-326.034935743,162.904806964,-0.789668
0.779054,0.0,0.779027,0.0124638311924,0.779031633809,29.9994,0.991246,332.459032181,693.362398285,128.480016977,141.375058275,79,128.480016977,1548.69155364,0.779022464737,79,0.000874647,25.6912,-446.697576926,128.480016977,-0.7895
0.775837,0.0,0.775825,0.0118268465795,0.775777019819,30.192,0.985927,1373.07021871,1016.8021062,-55.0140602015,162.015505808,80,-55.0140602015,2532.87595867,0.775769299486,80,0.000738877,25.8391,-574.645799213,-55.0140602015,-0.785823
0.781543,0.0,0.78151,0.0119554129993,0.781505617933,30.3547,0.988611,287.004635071,494.263895569,1512.57311786,144.869538462,81,1512.57311786,1134.59461702,0.781496743485,81,0.000713951,25.9164,-438.378497628,1512.57311786,-0.791519
0.781966,0.0,0.781925,0.012280451131,0.781905296107,30.5139,0.987221,84.1814334309,588.409050707,766.998554812,142.138511989,82,766.998554812,1745.24718662,0.781897043821,82,0.000873626,26.0154,-540.829331692,766.998554812,-0.791396
0.779109,0.0,0.7791,0.012106230002,0.779053430987,30.7049,0.994372,-181.70299256,372.251619976,579.928351432,86.289677582,83,579.928351432,568.693038775,0.779045471922,83,0.000876356,26.1493,-553.29020214,579.928351432,-0.789302
0.778406,0.0,0.778395,0.0118402974945,0.778437150646,30.9497,0.994478,58.8002184359,502.295280051,-24.7664384581,128.276109753,84,-24.7664384581,1182.0335335,0.778422568082,84,0.000717473,26.2786,-564.211532539,-24.7664384581,-0.789035
0.777157,0.0,0.777157,0.0116828276378,0.777142395461,31.1414,0.988133,525.539150683,898.831018225,-348.482363571,147.700270183,85,-348.482363571,2299.03618814,0.777137032012,85,0.000663171,26.3812,-390.627169525,-348.482363571,-0.787788
0.779168,0.0,0.779153,0.0125025923352,0.779157385982,31.3635,0.992435,373.556953433,962.371075461,-150.147431333,113.949741728,86,-150.147431333,2372.38721091,0.77914594967,86,0.000848963,26.4996,-547.082911869,-150.147431333,-0.789387
0.779542,0.0,0.779541,0.0124265007901,0.779533280376,31.5198,0.993172,323.066482098,564.950149993,1266.00859626,160.658972692,87,1266.00859626,1657.01403505,0.77952686471,87,0.000770234,26.6349,-417.861090241,1266.00859626,-0.789889
0.78125,0.0,0.78125,0.0124496294107,0.781202574274,31.6997,0.991502,166.655891083,554.461026529,485.805786474,144.90938749,88,485.805786474,1402.24024702,0.781195328506,88,0.000694588,26.7722,-549.81460477,485.805786474,-0.794284
0.781634,0.0,0.781634,0.0127694682636,0.781651470107,31.8835,0.987848,777.786407446,761.83502926,458.520036928,128.490748943,89,458.520036928,1872.04940363,0.781645318475,89,0.000876442,26.9073,-485.196166626,458.520036928,-0.793789
0.791229,0.0,0.791229,0.012766902983,0.791219280704,32.0293,0.993963,-86.2457597844,513.852603567,506.312987014,78.7350024296,90,506.312987014,779.052455194,0.791212632353,90,0.000667977,27.0794,-578.714320505,506.312987014,-0.803613
0.795651,0.0,0.795648,0.0134589708132,0.7956686329,32.1406,0.966668,1692.52474274,981.142118003,1351.98787422,183.129153498,91,1351.98787422,2416.16588277,0.795662232003,91,0.000837275,27.1871,-420.489892707,1351.98787422,-0.808275
0.796657,0.0,0.796628,0.0134130377452,0.796640874793,32.2186,0.977697,1244.60329326,980.575794981,481.961419031,171.986247015,92,481.961419031,2470.04768195,0.796632149395,92,0.0009045,27.3452,-381.474810911,481.961419031,-0.807905
0.798037,0.0,0.798037,0.0132410593775,0.798024930198,32.3785,0.973755,1053.1899886,815.931636562,87.7989029411,173.253833627,93,87.7989029411,2055.7439678,0.798017459964,93,0.000892504,27.4926,-214.402695334,87.7989029411,-0.808347
0.799363,0.0,0.799363,0.01277117585,0.799393473778,32.5829,0.988797,751.523858202,989.336691663,353.243434177,161.381665425,94,353.243434177,2282.9974886,0.799387559023,94,0.00066351,27.6479,-422.465503786,353.243434177,-0.810514
0.805461,0.0,0.805461,0.0135196932896,0.805445467067,32.7075,0.977534,1943.09838754,1078.19118617,1420.04863197,186.808053786,95,1420.04863197,2714.55793361,0.805438939433,95,0.00077727,27.7652,-441.308316546,1420.04863197,-0.816993
0.808665,0.0,0.808651,0.0139563733431,0.808644321927,32.9168,0.969345,695.402751989,667.443608377,981.418897231,143.401048521,96,981.418897231,1598.6314765,0.808637302793,96,0.000847283,27.9248,-431.023093725,981.418897231,-0.819529
0.80902,0.0,0.80902,0.0132287544559,0.809025880143,33.0228,0.952994,2327.18049627,184.901100624,-63.7604809911,189.498610032,97,-63.7604809911,2453.23949847,0.809021980601,97,0.000723217,28.0638,1798.06899321,-63.7604809911,-0.820045
0.815154,0.0,0.815154,0.0142685201506,0.815200512961,33.2083,0.989683,193.785506578,777.7942679,1378.0038932,127.40522456,98,1378.0038932,2111.99666811,0.815194252125,98,0.00111048,28.2026,-485.894568338,1378.0038932,-0.826402
0.817897,0.0,0.817884,0.0139392873044,0.817902304163,33.4262,0.965518,1082.29265177,872.178241944,1726.67510881,165.186797766,99,1726.67510881,2151.29231174,0.817891860501,99,0.000843058,28.3483,-424.825618252,1726.67510881,-0.829501
0.820096,0.0,0.820096,0.01491305978,0.820121090714,33.6021,0.974545,1173.43332782,877.928686461,-83.9930024926,164.932066515,100,-83.9930024926,2276.40959708,0.820113258841,100,0.00126555,28.5232,-420.567218974,-83.9930024926,-0.831659
0.823981,0.0,0.823971,0.0134852915556,0.823950874569,33.7439,0.990788,-80.0358013301,447.607259469,451.621220559,124.870483676,101,451.621220559,1101.79982971,0.823943639519,101,0.000701154,28.6563,-486.588107444,451.621220559,-0.834758
0.825073,0.0,0.825073,0.0149284748307,0.825078600488,33.9845,0.967549,1823.43420426,686.486195571,413.423571701,183.326844068,102,413.423571701,2301.32930753,0.825068942038,102,0.00134911,28.8095,85.0795171427,413.423571701,-0.836477
0.825851,0.0,0.825851,0.0144463053783,0.825839896106,34.1033,0.976787,1486.84996861,916.210625423,500.597292854,174.860454936,103,500.597292854,2266.80839238,0.825834711787,103,0.000952709,28.9354,-337.718309438,500.597292854,-0.837493
0.835729,0.0,0.835669,0.0152906123733,0.835712277338,34.2102,0.990944,273.514790492,608.8121875,1596.65087638,126.768089737,104,1596.65087638,1385.47911116,0.835704425061,104,0.00130094,29.056,-400.957624584,1596.65087638,-0.847208
