MaxEsReturn,AverageAction,AverageAbsQYDiff,MaxReturn,StdReturn,AverageDiscountedReturn,Epoch,MinReturn,MinEsReturn,AverageQLoss,QFunRegParamNorm,AverageReturn,StdEsReturn,AverageAbsQ,AveragePolicySurr,AverageY,PolicyRegParamNorm,AverageAbsY,Iteration,AverageQ,AverageEsReturn
431.504307889,0.553913,3.5348776375,291.780757848,17.0742361613,148.51685404,72,220.208194063,23.3801607813,58.7049,60.4392,275.749556429,121.416182586,129.373,-132.799,129.242042088,36.4519,129.306380275,72,129.218,230.150099616
382.05540039,0.501682,3.49453556481,456.440929596,22.790945262,163.145657663,73,335.311899673,72.5621019112,57.2714,60.9638,374.312426821,104.565242293,131.396,-134.833,131.277384082,36.6558,131.326466717,73,131.26,238.826643284
377.449059943,0.559307,3.73687268856,353.799763648,43.0723964467,142.253172922,74,162.337838656,27.707097471,66.8258,61.5724,254.049159958,111.640648383,133.302,-136.795,133.197557102,36.8816,133.240465446,74,133.167,238.632289849
384.4415376,0.460029,3.68984158104,347.105463236,27.5901964387,156.099645947,75,219.684180307,68.1162597221,62.6288,62.1531,303.125632504,103.765839589,135.394,-138.955,135.261350518,37.0904,135.321646547,75,135.244,235.022367723
394.094824985,0.535877,3.68439848726,227.349543826,20.2754358792,123.392587836,76,164.137623952,124.355470521,63.7885,62.5929,201.357561183,97.6501143737,136.896,-140.365,136.755736086,37.2427,136.827160418,76,136.727,284.075335817
461.992864917,0.482735,3.69280349226,338.368677978,30.7811196733,127.260318079,77,177.705045587,12.5124649321,58.5298,63.1874,212.937509691,143.177962045,139.053,-142.58,138.91606451,37.3875,138.978039073,77,138.899,249.260457695
352.908429598,0.498046,3.68307554558,271.724890221,20.4926646457,128.401403585,78,160.813237012,57.0037464879,58.334,63.6409,215.925056418,88.4802635955,141.114,-144.629,140.993456393,37.5795,141.04573547,78,140.965,213.739005375
372.273673021,0.4852,3.74193663949,262.017856006,21.4954124289,103.434997679,79,138.257941952,47.1968392911,65.1675,64.1199,156.124762622,89.0078397877,143.029,-146.542,142.891953712,37.7468,142.951800591,79,142.874,223.372907354
358.465389193,0.499659,3.71301886722,494.826343367,67.4270526214,157.305811639,80,261.054990088,22.2818143785,60.427,64.6359,347.573503237,102.313920886,144.223,-147.888,144.090122656,37.9923,144.15150793,80,144.07,213.812190262
491.819907354,0.459662,4.02214681362,447.26039787,24.8705892664,173.962774598,81,343.540712024,9.96662214414,76.6131,65.1224,392.097896728,158.63273857,146.424,-150.108,146.262864299,38.1583,146.332616321,81,146.24,238.662365892
370.837757403,0.479707,3.94354048816,585.236990731,84.0050079768,183.687730323,82,293.142540037,17.266211338,74.7955,65.5543,479.517841367,99.2739007402,148.977,-152.756,148.824311934,38.3587,148.883030966,82,148.804,193.323604281
483.242147158,0.497595,3.89399659,458.584404728,31.9510037467,169.003179105,83,332.607770029,56.6585281943,74.5112,66.0969,378.273148056,116.189651603,151.067,-154.671,150.924404677,38.4916,150.973521812,83,150.902,263.02370573
539.031968812,0.489023,4.03959975192,557.653776655,29.5533278311,193.201241286,84,333.686354735,8.21434348321,79.6571,66.5841,516.340421959,177.753163994,152.79,-156.557,152.646793157,38.6556,152.703927139,84,152.624,244.931201245
306.446773881,0.506971,4.18939339226,617.74796668,59.3283706217,204.529054406,85,408.622729868,15.2863296121,85.7083,67.0735,496.760764344,100.339559667,154.737,-158.425,154.605201746,38.8393,154.66730299,85,154.583,173.746077246
435.579624454,0.510938,4.06996489518,578.36171832,52.8527002528,195.6425954,86,373.431883413,9.74751531107,77.5724,67.4304,496.591800696,147.996534304,156.375,-160.148,156.218746265,39.0047,156.288723196,86,156.19,227.651287408
415.610138471,0.492045,4.0607593125,585.075450096,45.3696712074,203.012527873,87,332.497402989,67.5450332882,82.2804,67.9376,504.30578824,105.056381907,158.665,-162.522,158.492483036,39.2127,158.560387144,87,158.474,224.448586221
458.014517738,0.534865,4.2483408556,594.098437399,61.0555807617,202.413532741,88,376.026025084,12.2404425339,89.0095,68.4745,533.531090323,152.445710187,160.55,-164.557,160.427403917,39.4156,160.483586208,88,160.404,206.250209314
468.932511352,0.539872,4.12989487634,606.895078496,74.286422608,186.246798656,89,355.838497428,9.90040207358,77.6057,68.931,446.566002422,148.491415681,162.099,-166.145,161.954483778,39.5916,162.024906706,89,161.927,222.704128845
530.880285768,0.546419,4.3428672563,574.572005323,87.8031755248,185.452504542,90,288.939037305,9.99474656058,90.5871,69.3063,434.89444644,177.385972555,164.257,-168.255,164.087171026,39.7696,164.158979099,90,164.071,227.904133687
430.913498762,0.5358,4.25572559998,584.851828768,52.2554425969,205.364070523,91,323.95961591,37.3641308223,89.6425,69.7962,536.537290874,151.762045395,166.406,-170.46,166.251537745,39.9486,166.319061021,91,166.222,234.238039018
513.178045417,0.565644,4.47450994544,517.575171946,31.5334986628,201.089755272,92,405.348506687,9.93618394057,103.356,70.2382,450.99574407,183.356671429,167.685,-171.693,167.523439006,40.1338,167.587853881,92,167.506,253.034024642
406.560656475,0.568924,4.39459296993,580.537109417,28.0217814693,213.513354217,93,480.830125531,28.6733849427,89.6761,70.7412,526.412062942,116.780735022,169.984,-173.945,169.814535298,40.2829,169.88529117,93,169.791,212.30577659
540.513775879,0.535496,4.45575267772,700.99672937,54.0654215165,219.943169038,94,504.502015074,19.3500056342,100.088,71.2484,611.00233248,183.457526292,171.959,-176.035,171.818341259,40.4401,171.883446027,94,171.792,207.052727131
514.461143774,0.601231,4.31948299464,656.534824088,46.96041173,201.893939606,95,387.360236927,61.6928048489,88.2197,71.7615,464.611365299,147.785808777,174.432,-178.597,174.262873868,40.5985,174.331538933,95,174.246,289.976123232
446.239944171,0.565204,4.29578191402,730.403639465,56.8001536673,191.539291785,96,319.290894555,8.49417074835,94.922,72.1527,595.926784121,157.919749268,176.584,-180.792,176.437380796,40.7565,176.511469147,96,176.416,196.823760926
448.574534576,0.526832,4.67090696093,686.406986486,49.4238287196,190.800875892,97,389.374121804,66.65317252,107.586,72.632,538.64777975,113.109411528,178.188,-182.32,178.002784914,40.9363,178.083321171,97,177.98,192.075303068
489.722757728,0.550767,4.83324844174,718.669091662,87.1407160374,182.909017816,98,313.338616545,74.571350546,120.593,73.1203,508.718769321,141.531577647,179.393,-183.527,179.252210667,41.1591,179.310344076,98,179.22,277.902311112
610.198988095,0.556321,4.69774939669,659.600114496,33.4825613838,207.785755664,99,514.616425543,24.0440681709,115.11,73.5505,602.686520566,197.247299329,181.761,-185.978,181.622377459,41.3226,181.68027701,99,181.604,243.929240076
547.209184238,0.526232,4.60003238434,553.768689359,106.190437319,170.291523702,100,187.597552815,7.26329850218,104.864,73.9711,369.082698088,209.341118749,183.749,-187.907,183.566572213,41.474,183.644522093,100,183.541,213.179629262
638.23130525,0.59427,4.60692771405,728.186269046,78.1778434194,207.969803813,101,392.807472727,22.4328660446,100.103,74.372,576.058813487,208.257846808,185.137,-189.219,184.990210723,41.5979,185.056942173,101,184.957,271.448720137
333.076658317,0.643435,4.986376722,837.532968496,77.9890999784,209.379104471,102,463.675012939,9.3202791347,133.446,74.815,747.194847865,105.385396439,187.102,-191.248,186.915803343,41.8546,186.985014872,102,186.907,136.035724513
454.291089413,0.598936,4.62707821854,859.694199431,142.459627263,212.00554306,103,417.933968303,11.2912960333,100.005,75.2231,610.68836726,114.42448064,188.192,-192.444,188.019023751,42.0121,188.094991488,103,187.986,152.601725464
589.151484459,0.575359,4.91359181155,646.095043971,24.382315221,216.73280777,104,525.988963465,58.6120626967,116.15,75.7118,564.648806366,175.651549925,190.337,-194.695,190.148022302,42.2247,190.227683138,104,190.132,250.01094501
437.18131679,0.583113,4.88084315172,722.891601834,41.5712355718,214.703545493,105,452.783687756,90.3673516475,116.291,76.0954,546.10814356,102.400808736,192.083,-196.323,191.909686928,42.3975,191.972562013,105,191.905,218.140933891
704.664875724,0.549792,5.11647801363,660.086719269,34.988176705,207.338202537,106,441.618031084,25.5475951818,120.169,76.5309,547.42331942,246.238246933,193.392,-197.704,193.205193588,42.5775,193.28595436,106,193.163,307.978895938
534.479782144,0.558236,4.81441763163,610.935929432,24.7200332919,209.040691013,107,501.650165539,32.11916147,105.337,76.9396,539.06553684,168.487252406,195.443,-199.785,195.250103829,42.7133,195.324082502,107,195.235,261.750909003
572.840317901,0.572539,5.11308247926,715.139998987,20.8570366979,231.935388436,108,630.014346588,40.6707404341,129.164,77.3001,681.853674392,162.651655281,197.754,-202.0,197.573430026,42.9278,197.660800762,108,197.546,226.945914097
475.860660662,0.567253,4.97531588879,795.381881646,40.7186035452,206.101038216,109,641.798788796,7.45054159942,123.274,77.7003,726.407018909,165.71211548,200.075,-204.585,199.923482234,43.0879,199.974121383,109,199.906,202.929851112
546.288929049,0.598375,5.18357501823,1361.89284205,306.911697415,195.843160992,110,417.360051376,14.6472681383,136.384,78.1213,883.782180392,181.258678359,201.494,-205.946,201.337559532,43.2631,201.4064801,110,201.312,289.208435072
569.422944558,0.576124,5.07127111411,531.339285096,31.0500965622,198.236591502,111,377.818100119,15.5631948015,123.091,78.4965,462.036721998,189.701388406,203.869,-208.56,203.692964847,43.3381,203.7725636,111,203.677,260.603196269
542.751548107,0.536223,5.28220851516,548.171648738,43.4912594911,198.027110419,112,379.308190543,18.6984495689,138.689,78.9282,466.730255657,166.50525234,205.353,-210.029,205.136033982,43.4355,205.233940658,112,205.103,208.264080293
494.242627485,0.55328,5.35103617399,584.752376242,22.6754415046,206.668102171,113,476.064406215,81.051883911,153.22,79.2546,531.192595906,120.91811552,207.097,-211.732,206.945539348,43.6241,207.036556323,113,206.911,284.023751726
549.268366195,0.529972,5.14651130752,442.043570853,16.6306793,182.227785753,114,356.054192475,11.4730090275,135.597,79.6579,388.188388227,179.830368114,209.257,-213.912,209.081373249,43.8134,209.169821671,114,209.057,229.448669516
419.514277362,0.53156,5.25915047407,591.332992662,48.0222028871,198.863661468,115,392.485864866,17.4138979168,130.684,80.0841,462.608167038,118.528680754,210.091,-214.945,209.915089545,43.9326,209.970238013,115,209.9,266.829673334
