PolicyRegParamNorm,AverageReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAction,MinReturn,AverageAbsQ,AverageEsReturn,AverageY,AveragePolicySurr,MinEsReturn,StdReturn,MaxEsReturn,AverageDiscountedReturn,MaxReturn,Epoch,Iteration,AverageQ,AverageQLoss,AverageAbsY,StdEsReturn
34.9477,1905.9843087,39.0983,1.178146849,0.885624,1122.21680408,49.7148,2192.61564441,49.7247233399,-51.1079,2192.61564441,563.883049871,2192.61564441,252.951992656,3112.41799448,61,61,49.7148,4.78943,49.7251073416,0.0
35.2143,1860.65593931,39.5097,1.14807850378,0.875811,954.509411797,51.4161,1769.399406,51.4241244274,-52.7665,1769.399406,881.10817191,1769.399406,232.636094381,3448.91467355,62,62,51.4161,3.93219,51.424460818,0.0
35.4904,1978.59915324,39.8963,1.19967790574,0.89311,1160.96613738,52.8185,895.362924726,52.8290956242,-54.2003,895.362924726,807.191165499,895.362924726,239.755123842,3262.08071965,63,63,52.8185,4.97542,52.8294746406,0.0
35.7442,1319.57644383,40.3088,1.21585391257,0.870282,975.726959592,54.8974,2207.88437543,54.9063598848,-56.3358,2207.88437543,301.827260212,2207.88437543,203.484697995,2054.71939499,64,64,54.8974,4.98619,54.9066588279,0.0
36.0327,1223.91131045,40.7482,1.2450121431,0.86321,983.127354934,57.1281,2351.56129332,57.1386157069,-58.5954,2351.56129332,253.414697068,2351.56129332,163.018339008,1920.00026806,65,65,57.1281,5.07693,57.1390479681,0.0
36.2852,1140.73597605,41.1828,1.31398286656,0.856935,-281.259679804,58.5847,1547.31741057,58.5954833022,-60.0644,1547.31741057,521.54264965,1547.31741057,204.606204609,1645.16373399,66,66,58.5847,6.53649,58.59583891,0.0
36.5034,1134.80060616,41.5938,1.30522659566,0.839583,992.674282599,60.0262,891.414844142,60.0385850747,-61.4916,891.414844142,93.5807461129,891.414844142,142.506843139,1272.69668917,67,67,60.0262,6.42861,60.0388942655,0.0
36.7659,1461.92018678,42.0162,1.33145738694,0.870933,963.75372795,62.0899,2329.93856226,62.0981747788,-63.5859,2329.93856226,506.407548916,2329.93856226,202.447036746,2747.94393081,68,68,62.0899,6.59149,62.0985844438,0.0
37.0467,2347.78468666,42.4004,1.33507283363,0.885433,1183.77644991,63.6043,826.345357327,63.6142861938,-65.0679,826.345357327,672.987406462,826.345357327,274.672775989,3158.88198036,69,69,63.6043,6.47628,63.614594375,0.0
37.3198,2725.09492447,42.8487,1.4190392738,0.906818,1160.6784527,65.5814,2293.22307671,65.5946257991,-67.0594,2293.22307671,678.911808364,2293.22307671,258.174171898,3299.95753166,70,70,65.5814,8.32964,65.5949490689,0.0
37.5337,1245.53536272,43.3433,1.37265391323,0.879426,989.673472093,67.8132,2553.53042563,67.8219363954,-69.3355,2553.53042563,221.252658701,2553.53042563,199.16459138,1679.40170417,71,71,67.8132,6.80568,67.8222992912,0.0
37.7338,1156.30613759,43.7414,1.44160148278,0.861802,659.76307738,70.249,2638.35445011,70.2596871987,-71.8008,2638.35445011,360.167193891,2638.35445011,193.126601874,1769.5988784,72,72,70.249,7.87271,70.2600288354,0.0
37.9707,2537.00049197,44.1517,1.42102235714,0.920887,1163.41962787,72.4695,2564.41094878,72.4778620644,-73.9978,2564.41094878,1096.56580078,2564.41094878,249.722007741,3776.27047412,73,73,72.4695,7.53073,72.4782253268,0.0
38.1872,1443.41793037,44.5517,1.42745445241,0.887365,-102.752309839,74.6642,2386.45136578,74.6758148008,-76.2563,2386.45136578,766.207447276,2386.45136578,226.031404092,2565.31989151,74,74,74.6642,6.5182,74.6760142558,0.0
38.4368,1234.70499351,44.9647,1.55505941462,0.881589,90.2455340642,76.948,2265.9732523,76.9622881674,-78.537,2265.9732523,605.284661976,2265.9732523,184.829122556,2387.80546645,75,75,76.948,10.3381,76.9626752304,0.0
38.6908,1127.48248316,45.3928,1.5111996066,0.906599,723.15692566,78.788,2330.21423649,78.7964758399,-80.3507,2330.21423649,379.635740457,2330.21423649,204.439273761,2046.10344442,76,76,78.788,8.60952,78.7967182601,0.0
38.9363,1205.80965642,45.8293,1.53154726585,0.877863,-48.739995221,80.0066,919.111637286,80.0174839114,-81.662,919.111637286,535.743542181,919.111637286,224.558131104,2085.05364821,77,77,80.0066,9.54671,80.017840727,0.0
39.2124,1165.50535257,46.2599,1.63937367876,0.888822,867.878241792,81.3822,753.056393686,81.3923055342,-83.0671,753.056393686,204.286390424,753.056393686,182.616284048,1579.20458889,78,78,81.3822,13.0287,81.3927702473,0.0
39.4433,1483.79171729,46.6347,1.55303994408,0.893822,814.466836833,82.9805,898.661273544,82.9916546289,-84.6917,898.661273544,628.580247505,898.661273544,213.592330076,2804.17048841,79,79,82.9805,9.79843,82.9920158787,0.0
39.6904,1364.17041062,47.0187,1.56248175854,0.878386,739.704098812,84.3323,1367.56287625,84.3438651074,-86.0077,1367.56287625,473.902844891,1367.56287625,217.060432891,2325.76421314,80,80,84.3323,9.34966,84.3442154382,0.0
39.9088,3294.98745805,47.4631,1.61166807797,0.920675,1003.60569132,85.7407,816.340158996,85.752255129,-87.4476,816.340158996,840.658312111,816.340158996,312.14963686,4052.64967652,81,81,85.7407,11.1798,85.752801196,0.0
40.0862,3031.23897954,47.8915,1.62668321918,0.907152,1348.61183853,87.718,2370.0545334,87.7297501246,-89.4428,2370.0545334,858.195165668,2370.0545334,309.155214188,3730.17818197,82,82,87.718,10.2163,87.7301086059,0.0
40.3489,2170.13762602,48.2412,1.66889294806,0.902643,877.636943655,90.0803,1554.80182759,90.0921520276,-91.8313,1554.80182759,1129.32191241,1554.80182759,298.135983224,4462.53062549,83,83,90.0803,11.662,90.0924357229,0.0
40.5712,949.227783892,48.7026,1.69393629142,0.861069,535.849649532,91.846,1705.5699576,91.8572349797,-93.6148,1705.5699576,160.811310202,1705.5699576,166.050040511,1138.56007616,84,84,91.846,11.5757,91.8574940568,0.0
40.7702,2889.88105834,49.0735,1.77300786681,0.932876,1015.65456418,93.9876,2676.80925826,94.003310511,-95.8144,2676.80925826,1085.71699477,2676.80925826,339.208371332,4335.11516414,85,85,93.9876,14.2943,94.0036948536,0.0
41.0342,3787.13939868,49.534,1.73293509947,0.940459,1996.44045679,96.891,2509.94637488,96.9009598081,-98.7225,2509.94637488,787.976280911,2509.94637488,337.311016124,4302.70745535,86,86,96.891,13.9213,96.9012365461,0.0
41.3063,2381.82457516,49.9183,1.76645135965,0.904147,927.688150518,99.085,2706.20066631,99.0986234559,-100.942,2706.20066631,1041.78718298,2706.20066631,270.068282134,4138.37796924,87,87,99.085,12.3585,99.09911205,0.0
41.5184,4272.22689296,50.3527,1.80891942508,0.953939,4197.85478035,100.68,1460.46568938,100.689564991,-102.525,1460.46568938,58.0248689004,1460.46568938,345.277914533,4414.54319337,88,88,100.68,15.6326,100.690055015,0.0
41.7797,2838.79855756,50.7491,1.82586020019,0.926236,949.249323735,103.409,2820.42876934,103.420277865,-105.292,2820.42876934,1256.44383003,2820.42876934,315.707623514,4461.23190281,89,89,103.409,16.2612,103.42052917,0.0
41.9917,3907.2975524,51.2432,1.85476587213,0.950665,1109.11337281,105.431,1610.18088336,105.444764337,-107.349,1610.18088336,934.554805036,1610.18088336,331.800707985,4296.97892127,90,90,105.431,15.8876,105.445124454,0.0
42.1473,3557.69178989,51.7092,1.89132476376,0.940691,1030.91155745,107.688,2571.53252751,107.700759562,-109.584,2571.53252751,1373.72791616,2571.53252751,318.980410685,4607.37589149,91,91,107.688,15.8826,107.701171203,0.0
