MaxReturn,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,Epoch,AveragePolicySurr,MinEsReturn,StdReturn,AverageReturn,MinReturn,QFunRegParamNorm,AverageAction,AverageY,AverageAbsQ,Iteration,AverageQ,AverageAbsY,StdEsReturn,PolicyRegParamNorm,AverageQLoss,AverageEsReturn
-2.58305326097,0.262540756935,-19.63586657,-7.6955650264,59,3.78498,-48.2818031778,3.74206861957,-9.53044037196,-19.3896957339,37.3633,0.0171621,-4.40430994409,4.40158,59,-4.40156,4.40431020711,7.40773283187,32.9586,0.247098,-34.6072828856
-1.98205453187,0.264375982675,-26.3146127008,-7.71883965589,60,3.82925,-52.9086034881,3.45886129786,-9.60902578416,-18.8833431703,37.7094,0.0205557,-4.42747486445,4.42599,60,-4.42598,4.42747830167,6.45333561999,33.1725,0.257061,-36.0629433657
-2.3055710067,0.265704600849,-23.4391107014,-7.25982289573,61,3.88769,-48.2625538418,3.52483667761,-8.94800377804,-18.9972924585,38.0969,0.0172592,-4.48386366434,4.48169,61,-4.48169,4.48386366434,5.71065907889,33.351,0.259601,-36.7057102867
-4.14349268187,0.272775438416,-21.3752271409,-7.70847109906,62,3.92583,-51.8230774033,3.59587735052,-9.57261379848,-21.1154123884,38.4338,0.0193165,-4.52612609913,4.52405,62,-4.52405,4.52612609913,8.33287808965,33.5206,0.27117,-36.6191817817
-5.79865105425,0.265431769928,-23.4226198314,-7.9169169192,63,3.9793,-46.9789847594,2.67935213224,-9.84588696946,-18.948467993,38.7947,0.0206676,-4.57956407825,4.57681,63,-4.57681,4.57956407825,6.45737313927,33.6627,0.26054,-35.1678285451
-5.43274115284,0.277878676859,-23.7106491444,-8.49959914854,64,4.00722,-57.888407054,3.64644075808,-10.6207250258,-19.5794694577,39.1387,0.0259233,-4.6111253776,4.60916,64,-4.60916,4.6111253776,7.36471609673,33.9316,0.292124,-38.4325079919
-2.10706191985,0.268853531443,-22.270150226,-7.51156120832,65,4.05887,-52.3093474016,4.02908757598,-9.30461611627,-19.5257607962,39.4537,0.0211641,-4.65149563307,4.6495,65,-4.64948,4.65149563307,6.7824196335,34.0832,0.265009,-34.80241436
-5.89136295062,0.278592323898,-30.616736402,-8.9526055307,66,4.10126,-46.3982069117,3.32206748324,-11.1098917305,-20.152627407,39.7837,0.0268208,-4.69110787424,4.68928,66,-4.68928,4.69110787424,4.8660153741,34.239,0.287156,-38.7898166437
-6.38321787269,0.284096800024,-24.5943649942,-8.75414948085,67,4.13038,-52.3723926281,3.24054251704,-10.8605889894,-20.6335080568,40.1421,0.0267725,-4.71875448918,4.7165,67,-4.7165,4.71875448918,9.6375530176,34.4387,0.313831,-38.4764847079
-6.39083404521,0.275836022389,-24.6863513003,-9.52956174507,68,4.14967,-47.9634186634,3.75431596025,-11.8744545168,-20.6880603808,40.4445,0.0356736,-4.74545278587,4.74433,68,-4.74433,4.74545555939,6.29197669234,34.6502,0.284587,-36.7723398279
-5.60368741698,0.278665788711,-25.6728246615,-8.41919769221,69,4.17293,-52.7540370364,3.63010033587,-10.4034612352,-19.7492375966,40.745,0.0205274,-4.77164391635,4.76976,69,-4.76976,4.77164974978,7.53273814378,34.8244,0.291013,-39.6879072989
-5.18931756034,0.284718234741,-23.4573009868,-8.68746364268,70,4.21002,-51.0659710842,3.71613783381,-10.7449201055,-20.4451473109,41.1028,0.0244232,-4.7950320777,4.79266,70,-4.79266,4.7950320777,7.17184860646,34.9422,0.309211,-38.3172434966
-5.44460093191,0.281684966263,-27.4883658598,-8.51748726805,71,4.25548,-53.906122214,3.35146800978,-10.5074473772,-19.2418634272,41.4265,0.021702,-4.83521547204,4.83317,71,-4.83317,4.83521547204,7.02099251624,35.0785,0.299139,-37.7196062811
-5.27602865718,0.291969338093,-22.7081611443,-7.97127914743,72,4.2556,-53.4397957348,3.33574678198,-9.83928303882,-19.4905258823,41.7347,0.0199752,-4.84686917849,4.8457,72,-4.8457,4.84686917849,7.40638125623,35.2192,0.328178,-39.1618399843
-4.8536901077,0.28809528121,-28.4901935474,-8.13989903719,73,4.30054,-54.6793527566,3.86607454687,-9.99984769276,-19.7486034638,42.0496,0.0184881,-4.88600558541,4.88417,73,-4.88417,4.88600558541,7.45291838692,35.4099,0.311327,-39.6646469758
-4.92922186021,0.292521298739,-21.4468894566,-7.99186089358,74,4.32088,-54.5758657712,3.58172688842,-9.85650110193,-18.4799595803,42.3955,0.0162338,-4.90567875393,4.90346,74,-4.90346,4.90567875393,8.55321469323,35.5945,0.333829,-40.1190032193
-4.83603824925,0.297276364886,-26.4532965566,-8.56962730335,75,4.34261,-62.6773988933,3.50618230084,-10.5985231921,-19.503803418,42.7051,0.0278212,-4.9286189752,4.92677,75,-4.92676,4.9286189752,7.8848359323,35.663,0.341619,-38.5662779704
-4.81939514405,0.295008038162,-24.0340877004,-8.48253221755,76,4.3577,-58.2204133356,3.05805563013,-10.4182783738,-18.2072527063,43.0336,0.0264555,-4.9438800208,4.94189,76,-4.94189,4.9438800208,8.36992622823,35.7882,0.333458,-38.2899702985
-4.65143416361,0.285676647323,-21.9528725609,-8.64423136339,77,4.39564,-56.3612416811,3.33701925675,-10.5874972762,-20.08908025,43.2965,0.0255302,-4.98144122919,4.97985,77,-4.97985,4.98144122919,8.30224198118,35.9203,0.298047,-38.2689176735
-4.85765901034,0.298684215972,-20.4768024659,-8.32122224896,78,4.43162,-54.9852106714,3.41269934458,-10.2146714644,-19.615297484,43.6176,0.0263059,-5.00915820739,5.00814,78,-5.00813,5.00915820739,8.27190178725,36.0947,0.336322,-34.6293658491
-5.30974682906,0.298986955617,-28.6484153659,-8.7119661249,79,4.43941,-52.8231700301,3.30785913079,-10.8010071188,-19.0905820021,43.936,0.0293316,-5.02797913244,5.02604,79,-5.02603,5.02797913244,7.32396880014,36.2116,0.345533,-38.8082819712
