AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAbsQ,QFunRegParamNorm,AverageQ,StdEsReturn,Iteration,AverageAbsQYDiff,MaxReturn,StdReturn,AverageAbsY,AverageAction,AveragePolicySurr,AverageReturn,AverageY,MinReturn,AverageEsReturn,Epoch,AverageDiscountedReturn,MaxEsReturn
0.0119251,36.718,266.046004867,2.10144,28.7886,2.10144,0.0,62,0.0705850301056,518.772813795,38.1948696835,2.10209307246,0.802685,-2.17441,481.180924505,2.10204853157,395.974071785,266.046004867,62,51.902827147,266.046004867
0.0127655,36.9694,417.61086101,2.15291,29.0704,2.15291,0.0,63,0.0716754865174,567.841209003,169.009627228,2.15343894994,0.78258,-2.2284,447.499379387,2.15335930471,-37.0843021547,417.61086101,63,25.964249781,417.61086101
0.013274,37.2363,389.264327331,2.21047,29.3475,2.21047,0.0,64,0.0725508490754,676.275441247,58.9666589031,2.2110252991,0.820622,-2.28534,542.595117067,2.21099191793,464.203007472,389.264327331,64,44.2561481516,389.264327331
0.0140151,37.5495,411.585099058,2.27067,29.5795,2.27067,0.0,65,0.0739398582688,705.531911768,284.355536005,2.27132623963,0.821013,-2.34676,455.37901457,2.27128905369,-183.250994246,411.585099058,65,40.3412679248,411.585099058
0.0134587,37.8115,412.830637383,2.32699,29.8493,2.32699,0.0,66,0.0725588108165,673.877307778,47.252613339,2.32765670998,0.768855,-2.40305,598.867372082,2.3276203082,502.030706122,412.830637383,66,48.8987605759,412.830637383
0.0149454,38.1009,384.596122367,2.3874,30.1697,2.3874,0.0,67,0.074883554742,753.726022537,59.0622858331,2.38792307848,0.818238,-2.46531,663.01877884,2.38786371777,572.201199176,384.596122367,67,69.1965931931,384.596122367
0.0147558,38.354,375.212067445,2.44457,30.3943,2.44457,0.0,68,0.0748853853039,680.101987789,51.1615107497,2.44524581641,0.804971,-2.52034,589.387491205,2.44520795436,532.706586675,375.212067445,68,54.3832992645,375.212067445
0.0169201,38.6229,446.354628909,2.50605,30.6543,2.50605,0.0,69,0.0770741449065,655.730721845,283.590852964,2.50672456608,0.827014,-2.58385,487.320131198,2.50664659534,-353.404480059,446.354628909,69,63.0397351355,446.354628909
0.0151246,38.9016,444.796231303,2.56623,30.9444,2.56623,0.0,70,0.0765552622376,716.973570502,43.1537808924,2.56684183235,0.824224,-2.64239,625.88760513,2.56680387624,574.233476136,444.796231303,70,45.927205493,444.796231303
0.0164653,39.1222,357.180399168,2.61455,31.2075,2.61455,0.0,71,0.0762075874062,716.542377734,45.8218379059,2.6149839762,0.809613,-2.68897,638.230497734,2.61494248208,587.803893139,357.180399168,71,70.7053509709,357.180399168
0.0161862,39.3517,432.79418479,2.6705,31.4902,2.6705,0.0,72,0.076097442824,711.47977205,20.0985200897,2.67124722768,0.809991,-2.74549,675.285898884,2.6711792516,637.828772933,432.79418479,72,66.6306064987,432.79418479
0.017887,39.5917,417.47816778,2.72771,31.7249,2.72771,0.0,73,0.0787762359982,712.965819376,160.296113489,2.72831279408,0.854698,-2.80127,344.799541476,2.72826962989,128.751069514,417.47816778,73,30.0688609012,417.47816778
0.0167504,39.7791,467.654892919,2.78174,31.9699,2.78174,0.0,74,0.0779977629648,416.549888146,136.236606823,2.78232783332,0.904132,-2.85592,318.432342646,2.78229282416,-69.2240054984,467.654892919,74,24.9108410047,467.654892919
0.01691,39.9827,471.681427182,2.83593,32.2174,2.83593,0.0,75,0.0778977786894,78.560890198,52.6853770786,2.83641411631,0.888476,-2.91287,-10.2066373967,2.83636626692,-88.1660198394,471.681427182,75,-4.57055679279,471.681427182
0.0173378,40.1999,485.403187216,2.89549,32.4717,2.89549,0.0,76,0.0782520266645,899.892399484,367.578427697,2.89620079859,0.83205,-2.97225,675.627581286,2.89615649743,-415.33382405,485.403187216,76,51.5891432837,485.403187216
0.016633,40.5127,481.993431643,2.95176,32.7012,2.95176,0.0,77,0.0785965894557,635.178434358,369.724473526,2.95255408414,0.842876,-3.02845,352.072911081,2.95249297514,-489.814252108,481.993431643,77,49.286689639,481.993431643
0.0174904,40.8131,459.173722224,3.00881,32.9409,3.00881,0.0,78,0.07958860361,863.458995863,57.1942689229,3.00949597451,0.855997,-3.08731,756.477579665,3.00941835077,666.328619594,459.173722224,78,72.8108133284,459.173722224
0.020887,41.0422,449.086659597,3.06501,33.2388,3.06501,0.0,79,0.0821601141516,1021.19336843,565.594628532,3.06553383781,0.855119,-3.13943,670.05254667,3.06547430411,-471.370549989,449.086659597,79,61.5585273936,449.086659597
0.0202515,41.2905,515.441034754,3.11565,33.5181,3.11565,0.0,80,0.0807156878563,717.924431721,501.557628434,3.11631454437,0.868496,-3.18922,429.439532224,3.11626634747,-601.941167319,515.441034754,80,37.6403203449,515.441034754
0.0200365,41.5429,498.194786527,3.18066,33.7359,3.18066,0.0,81,0.0812490397502,80.1833234054,202.566834136,3.18131500256,0.969104,-3.25437,-316.07798352,3.18127741404,-520.435133212,498.194786527,81,29.4901832676,498.194786527
0.0211176,41.8156,547.901314955,3.24307,33.9713,3.24307,0.0,82,0.0841422185601,802.578759883,82.3842518189,3.2438309269,0.916375,-3.31862,690.57515982,3.243774475,469.802567825,547.901314955,82,58.2886259136,547.901314955
0.0255297,42.0772,-304.735671173,3.31399,34.1955,3.31399,0.0,83,0.0877252595133,799.916702355,34.121603946,3.31479072282,0.869541,-3.38951,760.033902089,3.31469578258,708.799732249,-304.735671173,83,62.1351700431,-304.735671173
0.019918,42.3137,514.214350556,3.37165,34.4394,3.37165,0.0,84,0.0829433583225,680.385930547,340.856701294,3.37228347022,0.856769,-3.45063,484.575859241,3.3722590837,-523.91297949,514.214350556,84,53.800974808,514.214350556
0.0202313,42.6031,602.915743001,3.42967,34.6672,3.42967,0.0,85,0.0837246261252,1374.62179796,633.857078642,3.4302867815,0.891475,-3.50986,689.177162097,3.43026012984,-544.751969026,602.915743001,85,70.1195410551,602.915743001
0.027093,42.8504,559.030049048,3.49518,34.8678,3.49518,0.0,86,0.0881245884673,894.780462403,38.0275754916,3.49598619144,0.849903,-3.57163,841.023143131,3.4959230597,765.568541825,559.030049048,86,46.3879594246,559.030049048
0.0226336,43.1586,-376.121115664,3.56583,35.1131,3.56583,0.0,87,0.0864265634513,901.35380438,556.693076229,3.56640875668,0.96084,-3.6442,-229.938516929,3.56638083582,-621.389927975,-376.121115664,87,-13.4458697722,-376.121115664
0.0214013,43.4183,11.9643185171,3.62974,35.2807,3.62974,0.0,88,0.0852971547833,929.940883146,290.826754427,3.630388827,0.843409,-3.70755,765.604496489,3.63035934793,-97.9080614089,11.9643185171,88,52.0950817593,11.9643185171
0.025924,43.6776,488.571778966,3.67344,35.4503,3.67344,0.0,89,0.0869957623005,840.253326253,445.152314875,3.67402964722,0.953575,-3.7514,-92.5275724481,3.67398332502,-615.4765376,488.571778966,89,5.22233874575,488.571778966
0.0256343,43.8993,529.612748625,3.737,35.6267,3.737,0.0,90,0.0867539615805,1231.53786797,605.78704224,3.73785390458,0.913543,-3.81668,741.265371098,3.73781865762,-575.299484766,529.612748625,90,66.3046757637,529.612748625
0.0223572,44.1241,610.298812495,3.797,35.887,3.797,0.0,91,0.0844390963559,1365.19270822,110.877827971,3.7977039566,0.948461,-3.87743,1234.11002544,3.79766041352,1000.21433545,610.298812495,91,93.3138300788,610.298812495
0.029477,44.4067,262.961777579,3.86071,36.0951,3.86071,0.0,92,0.0901137996732,752.560832361,35.8006168984,3.86145282443,0.955315,-3.9399,706.834780712,3.86140463687,657.225501096,262.961777579,92,48.2198068899,262.961777579
0.0257276,44.6305,567.956848605,3.93179,36.3347,3.93179,0.0,93,0.0875825199289,1214.30993851,91.9732745378,3.93235826638,0.945611,-4.01137,1094.27203331,3.93227718966,948.78357186,567.956848605,93,82.5059558201,567.956848605
0.0240889,44.8222,577.283665618,3.9993,36.4893,3.9993,0.0,94,0.088408745875,1011.46568817,74.0247548041,4.00032680849,0.90151,-4.07947,894.804862668,4.00028337747,797.978110357,577.283665618,94,84.781318455,577.283665618
0.0285417,45.0405,631.080192721,4.07506,36.6379,4.07506,0.0,95,0.0900879822124,1303.52440814,148.375913451,4.07576604816,0.883812,-4.15326,1054.73675589,4.07572011083,879.605748897,631.080192721,95,100.06033226,631.080192721
0.0273776,45.3172,847.24940036,4.12894,36.829,4.12894,0.0,96,0.089347468214,1275.02102266,506.545687412,4.1297178043,0.886809,-4.20708,834.562968943,4.12967318287,-558.09414488,847.24940036,96,91.0282409782,847.24940036
0.0226328,45.577,607.559556931,4.18716,36.9731,4.18716,0.0,97,0.086668655533,1134.24342201,374.894140014,4.18773989396,0.889926,-4.26908,634.187348788,4.18770324563,-363.149198923,607.559556931,97,75.9740930093,607.559556931
0.0289816,45.87,806.074013803,4.24155,37.188,4.24155,0.0,98,0.0914850014022,1871.67592322,421.906329065,4.24233992128,0.89909,-4.32375,1042.38107039,4.24231175258,583.174030492,806.074013803,98,115.821182102,806.074013803
0.0304481,46.1364,590.933789783,4.2997,37.3976,4.2997,0.0,99,0.0924175005501,1979.40238096,377.506903614,4.3003148787,0.941975,-4.38132,1635.50942137,4.3002746349,932.999291733,590.933789783,99,155.714256828,590.933789783
0.0346936,46.3578,663.866948656,4.34424,37.6341,4.34424,0.0,100,0.0951148520724,1045.02874969,98.7481496231,4.34490798134,0.859331,-4.42297,896.361450392,4.34485122188,709.001994205,663.866948656,100,90.6708473028,663.866948656
0.0291784,46.6122,683.630811795,4.40197,37.8472,4.40197,0.0,101,0.093557553376,2202.71815712,874.741176867,4.40260173759,0.918509,-4.4824,1451.30337495,4.40255195109,-580.773151439,683.630811795,101,142.561760344,683.630811795
0.035492,46.8709,772.546274952,4.46394,38.0551,4.46394,0.0,102,0.0945396323095,1477.71012193,204.341852289,4.46468634037,0.891665,-4.54585,1030.31536977,4.46463657839,808.45952029,772.546274952,102,132.859611761,772.546274952
0.0291728,47.053,852.724250851,4.52521,38.2312,4.52521,0.0,103,0.0938782762358,2613.66195995,603.727859328,4.52590460301,0.902826,-4.6086,1395.87023638,4.52587840994,918.838555849,852.724250851,103,174.871861925,852.724250851
0.0371566,47.2516,410.960830988,4.5808,38.4197,4.5808,0.0,104,0.0994021458675,2244.78388169,396.10378555,4.58164874189,0.927843,-4.66349,1940.65899524,4.5815780178,1191.03068029,410.960830988,104,186.26108196,410.960830988
0.0347998,47.469,1612.51393576,4.66455,38.6673,4.66455,0.0,105,0.0984585231585,1544.58688294,268.763917087,4.66519961061,0.876821,-4.74986,1033.72739688,4.66514552025,660.429619394,1612.51393576,105,135.639071134,1612.51393576
0.0328402,47.6858,1406.74079593,4.74503,38.8271,4.74503,0.0,106,0.0967208284169,966.877317243,288.008092688,4.74577526778,0.904009,-4.83293,575.648402332,4.74573235298,-168.086197077,1406.74079593,106,113.811662667,1406.74079593
0.0368956,47.8739,563.949423128,4.79584,38.9969,4.79584,0.0,107,0.102523407481,2133.8057329,452.37689156,4.79643963171,0.944213,-4.88379,1742.63843564,4.79641946429,786.137976837,563.949423128,107,171.990696809,563.949423128
0.0426898,48.0917,706.678180778,4.86916,39.1799,4.86916,0.0,108,0.103414985115,2157.18542777,488.978094456,4.86984236052,0.921366,-4.96065,1545.86097973,4.86981355833,760.025162484,706.678180778,108,161.239745351,706.678180778
0.031185,48.3401,841.675291646,4.92466,39.3539,4.92466,0.0,109,0.0992880633717,1807.16023266,304.218115898,4.92565954011,0.906079,-5.02191,1339.80125874,4.92563125613,805.379863649,841.675291646,109,179.839686582,841.675291646
0.0409099,48.5652,643.436227724,5.00444,39.5468,5.00444,0.0,110,0.104207509524,2298.11878181,380.406044698,5.00533830937,0.890199,-5.09304,1205.62930507,5.00529339491,901.833500045,643.436227724,110,167.254137498,643.436227724
0.0422165,48.7532,861.765248862,5.06807,39.7631,5.06807,0.0,111,0.104026708923,2166.66992983,759.821006523,5.06852129815,0.9211,-5.15672,846.497825358,5.06846429206,-244.885272032,861.765248862,111,151.472589677,861.765248862
0.0364663,48.976,689.223319568,5.11869,40.0336,5.11869,0.0,112,0.104340979516,839.643233127,52.2344095512,5.11957896126,0.869833,-5.2098,753.382533094,5.11953866585,675.981687898,689.223319568,112,91.9574569725,689.223319568
0.0452151,49.1773,493.117126829,5.17416,40.2168,5.17416,0.0,113,0.107634769543,1116.7361751,88.0023255763,5.17507410256,0.878453,-5.26749,1006.15377388,5.17502404149,874.274689332,493.117126829,113,119.140018068,493.117126829
0.0470618,49.356,570.380565359,5.23585,40.4517,5.23585,0.0,114,0.109551075236,1071.43116113,86.7753792034,5.23657340223,0.88789,-5.32984,863.805217836,5.23654441465,777.918134763,570.380565359,114,89.2533791195,570.380565359
0.0555055,49.5609,788.928378897,5.30014,40.6285,5.30014,0.0,115,0.11172099442,1396.35053354,196.416926855,5.30099222211,0.928277,-5.39739,881.881792965,5.30095390541,679.24046903,788.928378897,115,106.514346394,788.928378897
