MaxReturn,QFunRegParamNorm,Epoch,AverageEsReturn,MinReturn,AverageQ,AverageY,StdReturn,AverageAction,AveragePolicySurr,Iteration,AverageAbsY,AverageAbsQYDiff,AverageReturn,AverageQLoss,AverageAbsQ,StdEsReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,PolicyRegParamNorm
4086.53792812,56.873,112,2866.79240933,2015.11026882,119.879,119.889199906,622.940521397,0.940497,-121.349,112,119.889636334,1.98839548105,3529.08570259,17.9156,119.879,0.0,2866.79240933,296.225226476,2866.79240933,47.5612
3475.38330983,57.1855,113,2793.1125909,1740.66022936,121.684,121.700625201,576.444220568,0.939587,-123.176,113,121.701116479,2.10670041068,2944.03411989,25.2711,121.684,0.0,2793.1125909,274.568178222,2793.1125909,47.7529
3551.21959012,57.4655,114,1043.11489724,3068.34882587,122.916,122.928607849,135.832174025,0.941286,-124.415,114,122.928993528,2.05886986345,3264.51352439,20.6342,122.916,0.0,1043.11489724,263.372832297,1043.11489724,47.9319
3592.70871291,57.7319,115,2488.4571005,1562.47433153,124.892,124.904988114,659.745695085,0.935252,-126.379,115,124.905387911,2.07852444408,2923.53278559,23.244,124.892,0.0,2488.4571005,259.059858967,2488.4571005,48.1636
4464.95221218,58.0222,116,3114.57941655,937.738867062,127.39,127.39982212,1072.86603773,0.938213,-128.865,116,127.40000437,2.10718281075,3661.29654737,22.6918,127.39,0.0,3114.57941655,311.845078767,3114.57941655,48.3823
4148.53549112,58.2859,117,1422.78439761,1041.17360978,128.09,128.099824202,1113.27849706,0.937987,-129.58,117,128.100423882,2.11254391999,2933.98593724,24.1739,128.09,0.0,1422.78439761,311.913292348,1422.78439761,48.6284
3980.05140017,58.6224,118,1223.1095953,1049.86864349,128.465,128.4817059,902.845706392,0.941283,-129.944,118,128.482219079,2.10544320086,3141.8285122,21.5826,128.465,0.0,1223.1095953,289.568925122,1223.1095953,48.8378
4118.79745271,59.0459,119,609.033772894,1204.15652518,129.714,129.728994756,1068.29305394,0.934771,-131.242,119,129.729516426,2.22005842558,2702.21818792,29.8595,129.714,0.0,609.033772894,296.050814814,609.033772894,49.0633
3671.77206236,59.338,120,2652.40130214,947.762091898,131.312,131.328203546,902.139031221,0.944115,-132.809,120,131.328594726,2.20861972581,2938.95774617,27.4868,131.312,0.0,2652.40130214,277.989209789,2652.40130214,49.2205
3952.00341137,59.6061,121,1518.56777692,3483.18007623,132.489,132.502485861,145.265908593,0.949394,-133.975,121,132.502895355,2.15697391249,3703.44596779,23.921,132.489,0.0,1518.56777692,291.680766557,1518.56777692,49.3775
4080.71112337,59.9701,122,2553.34933969,1423.85711872,134.791,134.805517537,1004.6669157,0.945557,-136.28,122,134.805913251,2.16148117219,3243.21718305,25.1779,134.791,0.0,2553.34933969,315.476618453,2553.34933969,49.5425
3861.06100815,60.2492,123,2165.52426352,2611.45977345,135.116,135.126308715,385.593599729,0.953852,-136.652,123,135.126737187,2.22670762028,3509.53326446,28.2853,135.116,0.0,2165.52426352,290.72881916,2165.52426352,49.7318
