AverageAbsY,MinEsReturn,PolicyRegParamNorm,AverageQ,AveragePolicySurr,MaxReturn,AverageEsReturn,StdEsReturn,AverageAbsQYDiff,MinReturn,AverageDiscountedReturn,AverageReturn,MaxEsReturn,AverageY,StdReturn,AverageAction,QFunRegParamNorm,Iteration,AverageAbsQ,AverageQLoss,Epoch
87.4643035062,-50.9958217036,38.4168,87.3428,-91.8069,379.863745074,94.0724417469,80.1632787091,3.33739557058,-70.5817007663,64.0568739939,162.896464667,209.673947113,87.3569614065,78.205555227,0.846646,51.1936,80,87.4831,32.5375,80
88.562293126,-22.1445221566,38.6191,88.4263,-92.9807,224.771790471,111.771215204,100.551830483,3.44973407486,0.488954690172,37.0269505434,103.158835765,290.222131516,88.4544390484,55.2118337079,0.855573,51.6082,81,88.5694,34.9853,81
90.1592793234,-6.92696089694,38.7802,90.0341,-94.5221,239.588582906,117.990777805,83.0886069943,3.42286867936,-26.1952246638,43.6812784102,110.038111798,278.787219395,90.0566100352,54.3591249532,0.852613,51.9137,82,90.1679,34.3854,82
92.1019385209,3.07252291117,38.9329,91.9859,-96.5649,328.007745357,101.055206328,84.0922779862,3.53657095957,105.156452015,76.7053991537,174.005523222,233.907460361,92.0082690606,49.6367898616,0.801558,52.3166,83,92.1174,35.0278,83
93.6172422943,-1.78507606112,39.0546,93.4958,-98.1005,129.731766674,106.597927237,82.3201200623,3.47757138831,3.56021288852,30.9404925729,56.389475964,211.973885266,93.5182938807,45.2650753424,0.89204,52.5743,84,93.6361,33.987,84
95.1192711472,0.512028876678,39.1952,94.9976,-99.8298,276.974500955,108.446539616,72.2958389398,3.57572980817,95.5372026966,82.8759193764,180.723577907,251.737393141,95.0261410814,43.8477321377,0.822327,52.9341,85,95.1341,36.579,85
97.0264017271,21.5815973014,39.333,96.9142,-101.786,283.22207817,144.925363877,84.0515461009,3.64416495661,98.4657247496,100.739028768,187.718679776,305.833088541,96.9359698391,39.8646522939,0.808117,53.2697,86,97.0469,38.5762,86
98.3823995568,-26.1763336139,39.4329,98.2759,-103.167,598.087502979,175.525995704,100.427292855,3.71504032035,146.807553002,108.516843338,198.046707963,327.852458761,98.292481056,58.4007268584,0.800984,53.5967,87,98.4059,40.0006,87
99.9107875986,5.49568245234,39.5264,99.7829,-104.722,190.546045403,137.922298025,89.8726586458,3.7489144049,88.084223046,71.6615445535,107.181607624,275.465440891,99.8172854168,14.3600360559,0.801577,53.9398,88,99.9161,40.7784,88
101.284637644,58.9090907301,39.6605,101.161,-106.091,299.192882158,172.107183049,74.0833795044,3.74766553583,107.922125392,95.6014572018,149.912075039,269.117448777,101.186422401,34.4810142442,0.802789,54.2497,89,101.299,41.1339,89
102.951000517,86.205480911,39.8016,102.823,-107.739,339.324301636,147.57476761,41.3866460973,3.77445940755,134.189453696,109.188131612,179.497700613,239.031681711,102.850381663,43.480336594,0.823191,54.5519,90,102.973,39.6394,90
104.628390083,7.42106847126,39.9126,104.514,-109.518,369.104216122,140.247503365,91.4991293718,3.87884880613,122.563505003,104.54351376,174.95310725,339.492249113,104.536176073,38.6085541986,0.828835,54.8736,91,104.654,42.5725,91
106.181930093,104.723244643,40.0528,106.051,-111.048,376.973364443,185.333514868,60.8411009586,3.92778342505,133.342518969,113.353157585,203.429532901,308.304546408,106.07843491,36.6396768015,0.808161,55.1804,92,106.201,43.0355,92
107.581151123,7.06041963334,40.1671,107.468,-112.644,478.421763733,161.756682683,101.875540123,3.90223985228,148.390862342,121.004644262,276.632309937,360.145076067,107.489516608,82.2483706775,0.781321,55.4925,93,107.603,43.3889,93
109.357847345,0.625254307246,40.3002,109.243,-114.442,538.729032663,187.933742193,102.400900296,3.97850554248,32.4433990733,98.7213558968,241.835262693,343.056211801,109.268604438,114.248437327,0.790339,55.8184,94,109.385,44.2323,94
111.081205779,-2.85466005631,40.4576,110.971,-116.168,337.937461952,154.953940214,109.884623385,3.9832303727,122.65798563,102.612690815,186.73765217,390.019184364,110.994544127,44.0462243181,0.822188,56.1323,95,111.109,43.0826,95
112.158008884,3.97266081614,40.5809,112.041,-117.38,877.020144478,127.67102806,86.4304743087,4.06962780708,-89.8059704815,30.2473187812,95.5728258975,295.859433433,112.069171642,255.531260408,0.853332,56.4614,96,112.174,50.1951,96
113.774658369,-4.38496357086,40.704,113.658,-118.969,433.843383645,125.89220627,85.4555744955,4.13206357087,125.146144584,101.174889403,178.566143346,269.422227159,113.681977762,56.3000629079,0.812872,56.7898,97,113.807,50.448,97
115.196481454,25.5778867372,40.8224,115.087,-120.457,931.460155605,158.531781976,79.9475375302,4.12000478067,-31.4543679369,86.3715951026,177.925030418,335.951296889,115.115322945,124.424666333,0.822737,57.0802,98,115.225,48.3459,98
116.763180316,105.379727224,40.943,116.644,-121.983,192.552806516,225.440980622,150.132265803,4.16319588563,103.407232274,75.7996045112,113.343461661,496.038359502,116.664936211,8.35055253675,0.865242,57.3758,99,116.791,50.8979,99
117.7563793,45.7019994302,41.0532,117.632,-123.213,464.130384695,194.271014928,72.7898434498,4.16921585971,122.027055564,99.3690391432,201.765137005,302.531417681,117.659910091,91.3669879224,0.815636,57.6305,100,117.783,48.0842,100
119.686903026,-0.833829137621,41.2043,119.567,-125.083,234.018072142,129.072670346,99.3876592718,4.19465188596,128.786692165,99.9454077203,162.448308696,328.667010371,119.595061655,17.5430817474,0.866354,57.9283,101,119.721,50.049,101
120.808058373,2.2017001107,41.3742,120.691,-126.203,221.151919757,147.852439633,95.3401773683,4.22958919012,126.576957788,97.288033303,158.104241645,345.659496544,120.715999909,20.0802847675,0.851733,58.1896,102,120.846,49.9957,102
122.322909631,99.5085953565,41.5393,122.204,-127.814,397.275749532,139.724349023,47.7427033102,4.29823996025,129.977796715,112.859337982,243.022508361,273.116622185,122.236408272,45.5088202577,0.850074,58.4886,103,122.351,51.5528,103
123.584843843,71.7610234815,41.6745,123.475,-129.002,187.000209014,130.3336377,29.7061968424,4.26462539111,110.84372248,85.273600916,129.278420267,185.655575033,123.502068014,16.3046613724,0.866101,58.7872,104,123.618,52.9378,104
124.804459955,34.1147445957,41.8183,124.697,-130.267,631.988963821,139.932532472,48.0792408237,4.26795546479,121.417643677,91.1975102391,192.721902627,218.581172796,124.722095879,93.5925902658,0.848409,59.0806,105,124.835,53.068,105
126.290583483,11.55659446,41.9677,126.177,-131.788,363.927863985,137.706209889,56.7976825833,4.44206485128,112.518577053,85.2819967403,149.491534785,251.768544823,126.20492503,55.6316173645,0.849776,59.3984,106,126.325,59.3068,106
127.577195819,-0.398246829236,42.0908,127.479,-133.069,142.39879513,266.970863362,203.216295505,4.35732473192,113.927351711,85.8851093994,130.574943586,602.054082008,127.497703767,5.54318228123,0.880027,59.6964,107,127.599,55.9003,107
128.410518422,-4.1273194962,42.2354,128.299,-133.954,218.959168458,146.171661746,111.316402532,4.42593451798,107.691433336,89.312698859,150.035080164,338.613962637,128.325959697,22.8072302787,0.841003,60.0055,108,128.443,61.138,108
129.654047625,0.587461213912,42.396,129.552,-135.315,247.870412427,139.89599563,92.9082422012,4.38316469492,117.729161385,93.9323631552,146.486745917,329.253095604,129.577029806,26.223154116,0.8587,60.2585,109,129.682,54.529,109
131.061422416,69.1685261309,42.5451,130.957,-136.656,443.998990462,222.602142047,125.28730306,4.46116131361,120.886270568,102.168840444,221.658045824,428.098542115,130.98013456,58.4601256228,0.837204,60.514,110,131.093,56.8112,110
132.780558419,-3.81923398315,42.7094,132.679,-138.356,152.790544482,133.364600788,175.101602686,4.4152956472,134.65904854,93.1813725265,142.734422182,562.672725566,132.705153257,3.4404700508,0.874749,60.7833,111,132.805,57.4958,111
133.629827601,1.67384858066,42.8498,133.524,-139.091,125.253606637,159.834652841,141.330729183,4.38712592023,100.972772556,76.5058977133,114.082190967,444.961326113,133.553695426,4.32652740545,0.872693,61.0439,112,133.652,55.0441,112
134.90327742,1.02533967528,43.0093,134.806,-140.367,283.261059958,130.273390194,61.7895067209,4.49469736131,114.911137037,85.0677248459,131.633880282,264.768692666,134.832367419,26.5689873459,0.859779,61.3607,113,134.929,62.2986,113
136.01087859,6.86130187098,43.1959,135.917,-141.644,322.782025192,176.915923205,118.366590889,4.50549435699,115.586109398,112.043311886,223.592782111,325.794337436,135.945097513,41.7696397066,0.834131,61.5533,114,136.041,60.996,114
137.066705699,4.89817619101,43.3289,136.976,-142.517,219.720315539,134.231271589,79.4050929031,4.56618274234,108.439113088,81.7947189498,120.502363133,226.236049763,136.999582645,12.2924659511,0.858256,61.8428,115,137.098,65.5317,115
138.231954723,2.32922727177,43.528,138.142,-143.573,283.687640483,183.159114458,153.067497156,4.50977923313,106.186082228,97.1239669084,178.589102253,406.525519044,138.164030035,47.9431434338,0.823689,62.102,116,138.258,60.3422,116
139.358699939,120.179539252,43.7384,139.258,-144.709,298.900168254,248.69486972,108.433129126,4.48499860162,102.534585481,86.6137327806,137.017566971,414.884772556,139.282703623,39.4237852461,0.831325,62.3704,117,139.391,61.4411,117
