MaxEsReturn,StdEsReturn,MaxReturn,MinReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQLoss,AverageAbsQYDiff,AverageY,AverageAbsY,QFunRegParamNorm,AverageAbsQ,Epoch,AverageAction,AverageEsReturn,AverageReturn,PolicyRegParamNorm,StdReturn,Iteration,AverageQ,MinEsReturn
413.342186632,0.0,900.781980531,153.211781019,-3.04088,77.9775608812,0.0183014,0.0807239327584,2.95345894449,2.95348988124,29.9134,2.9529,68,0.872278,413.342186632,354.933977249,33.0282,207.390740168,68,2.9529,413.342186632
629.992521841,0.0,457.155535173,273.400485942,-3.10529,64.3759771525,0.0222232,0.0858869034632,3.01887013182,3.01897964662,30.2757,3.01823,69,0.846137,629.992521841,370.302080823,33.259,54.1046826733,69,3.01823,629.992521841
384.865098555,0.0,1637.06471768,248.600556554,-3.14747,123.042827268,0.019703,0.0832211593602,3.06320398796,3.06326937951,30.5686,3.06271,70,0.862048,384.865098555,744.887558739,33.5255,399.402022557,70,3.06271,384.865098555
390.413397797,0.0,665.806948085,375.872869079,-3.19062,60.6903010731,0.022569,0.0865915647675,3.10410006891,3.1041440319,30.8555,3.10372,71,0.847999,390.413397797,516.078498343,33.7021,90.3545062369,71,3.10372,390.413397797
481.442098321,0.0,603.215603624,291.681728034,-3.28009,90.1742680117,0.021844,0.0869248620098,3.18542356459,3.18548840725,31.1646,3.18471,72,0.85911,481.442098321,470.655085072,33.9056,102.687143283,72,3.18471,481.442098321
712.837926125,0.0,1061.31888272,335.004935534,-3.3407,130.375690833,0.0229374,0.0881824503651,3.25242423218,3.25247190132,31.4955,3.25171,73,0.873125,712.837926125,573.880839351,34.1935,205.538177345,73,3.25171,712.837926125
571.643941867,0.0,871.513838679,506.101644071,-3.41353,87.3941052919,0.0223562,0.0882090599317,3.32738977273,3.3274487586,31.8119,3.32669,74,0.823295,571.643941867,700.98161377,34.3648,120.258213469,74,3.32669,571.643941867
1108.078963,0.0,1568.44803201,184.590050016,-3.46844,105.93160554,0.0244521,0.0903055394965,3.38522960099,3.38528156937,32.1016,3.38486,75,0.846025,1108.078963,522.238507154,34.5762,382.747965311,75,3.38486,1108.078963
462.216736178,0.0,1309.18886376,274.4456726,-3.52907,92.5237458525,0.0232273,0.0900168200743,3.44586704779,3.4459203516,32.4199,3.44517,76,0.841145,462.216736178,540.744199326,34.816,282.345434948,76,3.44517,462.216736178
493.450028978,0.0,1228.50743235,557.459599878,-3.58018,111.809372003,0.0222525,0.0889026665206,3.49274381776,3.49279284124,32.7414,3.49229,77,0.856203,493.450028978,738.830689892,35.1021,201.122376563,77,3.49229,493.450028978
606.665193158,0.0,1452.54016396,566.112768514,-3.67117,112.716981537,0.0260768,0.0941153850934,3.58403807773,3.58410414963,33.0245,3.58337,78,0.858515,606.665193158,871.500012449,35.3298,271.487502917,78,3.58337,606.665193158
1720.09055886,0.0,1339.18430522,498.622277432,-3.79039,112.837466637,0.0306524,0.0986704411752,3.69785144404,3.69791623277,33.3844,3.69734,79,0.849741,1720.09055886,672.53754379,35.6029,259.205751517,79,3.69734,1720.09055886
820.879934231,0.0,1930.31179366,452.97752139,-3.8776,152.857165378,0.0304801,0.0986146650826,3.78084639352,3.78092026028,33.6244,3.78,80,0.879635,820.879934231,987.085089983,35.8483,497.943709635,80,3.78,820.879934231
1809.10245981,0.0,1615.73840154,474.654001646,-3.99193,183.172511222,0.0348163,0.102808811017,3.89578246637,3.89583765945,33.8579,3.89488,81,0.873428,1809.10245981,1035.2706902,36.1444,331.181987094,81,3.89488,1809.10245981
793.44123145,0.0,1828.3615227,446.825227842,-4.10052,148.576363634,0.0331253,0.102614433926,3.99866893768,3.99869221411,34.1344,3.998,82,0.880637,793.44123145,759.412529896,36.4226,381.358630046,82,3.998,793.44123145
1866.4942216,0.0,2535.81847131,585.37212688,-4.21126,179.99891877,0.039802,0.107348864001,4.10949525131,4.10958803815,34.478,4.1086,83,0.938755,1866.4942216,1757.82576846,36.6747,835.528194225,83,4.1086,1866.4942216
836.831329206,0.0,1176.71870531,172.186386191,-4.28031,121.099266469,0.0342307,0.104501925922,4.17961534775,4.1796645264,34.7425,4.17861,84,0.871687,836.831329206,515.567133069,36.9193,268.726633613,84,4.17861,836.831329206
417.455724523,0.0,2731.64843839,753.047995465,-4.35465,217.628723451,0.0333901,0.106404450567,4.25066707049,4.25072144392,35.0259,4.24998,85,0.932332,417.455724523,1952.94254859,37.1527,692.634779542,85,4.24998,417.455724523
508.138416412,0.0,988.751059088,479.204781428,-4.44703,132.433652111,0.0431662,0.111036881955,4.34589284442,4.34593032285,35.3452,4.345,86,0.879618,508.138416412,706.72397507,37.3685,153.335287654,86,4.345,508.138416412
1060.38381274,0.0,2006.50826935,802.226588052,-4.55373,171.938504025,0.041514,0.112072606046,4.44797189329,4.44800609622,35.6214,4.44701,87,0.904397,1060.38381274,1293.93601449,37.6017,378.943339802,87,4.44701,1060.38381274
