2017-05-14 00:30:22.583967 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] Populating workers...
2017-05-14 00:30:22.585031 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] Populated
2017-05-14 00:30:28.541720 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #0 | Training started
2017-05-14 00:30:30.224090 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #0 | Training finished
2017-05-14 00:30:30.224960 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #1 | Training started
2017-05-14 00:30:31.869024 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #1 | Training finished
2017-05-14 00:30:31.869461 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #2 | Training started
2017-05-14 00:30:33.379686 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #2 | Training finished
2017-05-14 00:30:33.380045 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #3 | Training started
2017-05-14 00:30:35.341280 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #3 | Training finished
2017-05-14 00:30:35.341690 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #4 | Training started
2017-05-14 00:30:36.964617 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #4 | Training finished
2017-05-14 00:30:36.965086 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #5 | Training started
2017-05-14 00:30:38.968994 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #5 | Training finished
2017-05-14 00:30:38.969402 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #6 | Training started
2017-05-14 00:30:40.479183 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #6 | Training finished
2017-05-14 00:30:40.479571 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #7 | Training started
2017-05-14 00:30:42.014995 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #7 | Training finished
2017-05-14 00:30:42.015357 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #8 | Training started
2017-05-14 00:30:43.439823 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #8 | Training finished
2017-05-14 00:30:43.440819 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Training started
2017-05-14 00:30:44.735458 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Training finished
2017-05-14 00:30:44.735852 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Collecting samples for evaluation
2017-05-14 00:30:59.320110 EDT | -----------------------  -------------
2017-05-14 00:35:09.452982 EDT | AverageQ                  0.0239966
2017-05-14 00:35:09.453813 EDT | AverageAbsQ               0.0502035
2017-05-14 00:35:09.454649 EDT | AverageY                  0.024117
2017-05-14 00:35:09.455492 EDT | AverageAbsY               0.0526213
2017-05-14 00:35:09.456321 EDT | AverageAbsQYDiff          0.0159344
2017-05-14 00:35:09.457156 EDT | AverageAction             0.722393
2017-05-14 00:35:09.457952 EDT | PolicyRegParamNorm       15.3983
2017-05-14 00:35:09.458800 EDT | QFunRegParamNorm         12.5756
2017-05-14 00:35:09.459659 EDT | AverageForwardProgress    0.0230331
2017-05-14 00:35:09.460652 EDT | MaxForwardProgress        0.0546006
2017-05-14 00:35:09.461685 EDT | MinForwardProgress       -0.0133804
2017-05-14 00:35:09.469037 EDT | StdForwardProgress        0.0111126
2017-05-14 00:35:09.470372 EDT | -----------------------  ------------
2017-05-14 00:35:09.471898 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #14 | Training started
2017-05-14 00:35:49.013964 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #14 | Training finished
2017-05-14 00:35:49.376333 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #14 | Collecting samples for evaluation
2017-05-14 00:36:09.271050 EDT | -----------------------  ------------
2017-05-14 00:36:09.271988 EDT | Epoch                    14
2017-05-14 00:36:09.272266 EDT | AverageReturn             5.02815
2017-05-14 00:36:09.272510 EDT | StdReturn                 2.60877
2017-05-14 00:36:09.272754 EDT | MaxReturn                11.9721
2017-05-14 00:36:09.273010 EDT | MinReturn                -2.84403
2017-05-14 00:36:09.273252 EDT | AverageEsReturn           3.53352
2017-05-14 00:36:09.273492 EDT | StdEsReturn               2.84696
2017-05-14 00:36:09.273742 EDT | MaxEsReturn              10.731
2017-05-14 00:36:09.274077 EDT | MinEsReturn              -2.71813
2017-05-14 00:36:09.274418 EDT | AverageDiscountedReturn   4.3036
2017-05-14 00:36:09.274756 EDT | AverageQLoss              0.000496114
2017-05-14 00:36:09.275088 EDT | AveragePolicySurr        -0.0742519
2017-05-14 00:36:09.275420 EDT | AverageQ                  0.0481706
2017-05-14 00:36:09.275756 EDT | AverageAbsQ               0.0680268
2017-05-14 00:36:09.276093 EDT | AverageY                  0.0483
2017-05-14 00:36:09.276418 EDT | AverageAbsY               0.0700273
2017-05-14 00:36:09.276750 EDT | AverageAbsQYDiff          0.0162145
2017-05-14 00:36:09.277086 EDT | AverageAction             0.800985
2017-05-14 00:36:09.277469 EDT | PolicyRegParamNorm       15.5994
2017-05-14 00:36:09.277820 EDT | QFunRegParamNorm         13.1781
2017-05-14 00:36:09.278152 EDT | AverageForwardProgress    0.0307559
2017-05-14 00:36:09.278487 EDT | MaxForwardProgress        0.0639299
2017-05-14 00:36:09.278822 EDT | MinForwardProgress       -0.00676237
2017-05-14 00:36:09.279153 EDT | StdForwardProgress        0.0125584
2017-05-14 00:36:09.279484 EDT | -----------------------  ------------
2017-05-14 00:36:09.280083 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #15 | Training started
