AverageAbsQ,QFunRegParamNorm,AverageReturn,MinEsReturn,StdEsReturn,MaxReturn,PolicyRegParamNorm,MinReturn,AveragePolicySurr,AverageAbsQYDiff,MaxEsReturn,AverageY,Epoch,StdReturn,Iteration,AverageQLoss,AverageEsReturn,AverageAction,AverageDiscountedReturn,AverageAbsY,AverageQ
82.2039,122.098,1000.0,3.0,14.2532548366,1000.0,46.1302,1000.0,-89.1522,1.91913123918,68.0,82.0387132455,116,0.0,116,29.5874,16.03125,0.253837,99.9956828753,82.0831354645,82.0371
82.5812,122.585,1000.0,3.0,16.3389704435,1000.0,46.3925,1000.0,-89.8164,1.95914915082,88.0,82.4417063376,117,0.0,117,29.7795,15.3650793651,0.280074,99.9956828753,82.4757863468,82.4356
83.0612,123.009,1000.0,3.0,12.0801441329,1000.0,46.6304,1000.0,-90.4004,1.87307122489,47.0,82.9227219684,118,0.0,118,29.4109,13.4342105263,0.331872,99.9956828753,82.9576106018,82.9171
83.8873,123.493,1000.0,3.0,13.6061215344,1000.0,46.8771,1000.0,-91.1044,1.9325436241,56.0,83.7157953962,119,0.0,119,29.2578,18.6111111111,0.292638,99.9956828753,83.7641014455,83.718
84.1668,123.97,1000.0,3.0,13.9280727647,1000.0,47.1514,1000.0,-91.474,1.96608996677,63.0,84.0056867095,120,0.0,120,30.8596,15.40625,0.292778,99.9956828753,84.0486240807,84.0053
85.0682,124.578,1000.0,3.0,12.7498512209,1000.0,47.4541,1000.0,-92.381,2.02050077301,62.0,84.9132308494,121,0.0,121,31.6971,14.8550724638,0.3422,99.9956828753,84.9594038165,84.9054
85.5917,125.072,1000.0,3.0,12.4777899972,1000.0,47.6946,1000.0,-92.9661,1.99525402208,52.0,85.4120020725,122,0.0,122,30.4306,16.0983606557,0.317724,99.9956828753,85.4635774412,85.4091
86.1054,125.542,1000.0,3.0,10.2746878835,1000.0,47.8959,1000.0,-93.4922,1.9926098059,52.0,85.9317681921,123,0.0,123,32.1465,13.7432432432,0.283615,99.9956828753,85.9751242272,85.9335
86.7564,126.106,1000.0,3.0,11.9622496871,1000.0,48.1608,1000.0,-94.1691,1.93979438971,64.0,86.6100217373,124,0.0,124,31.8162,14.0563380282,0.371497,99.9956828753,86.6489064393,86.6083
87.3889,126.578,1000.0,3.0,12.0460792248,1000.0,48.3646,1000.0,-94.6857,2.02403419086,58.0,87.2231768046,125,0.0,125,32.8828,13.9444444444,0.382232,99.9956828753,87.2633876044,87.2188
87.9498,127.078,1000.0,2.0,15.706018218,1000.0,48.5511,1000.0,-95.2609,2.09464121884,82.0,87.775183344,126,0.0,126,36.083,17.7090909091,0.321127,99.9956828753,87.8258979548,87.7777
88.0424,127.496,1000.0,3.0,14.660410656,1000.0,48.7306,1000.0,-95.6154,1.9787887124,56.0,87.8759727284,127,0.0,127,31.3183,17.8703703704,0.286949,99.9956828753,87.9456004386,87.8706
88.6208,127.882,1000.0,3.0,17.0439700064,1000.0,48.936,1000.0,-96.2045,2.00452661935,69.0,88.4586744494,128,0.0,128,32.6582,19.6111111111,0.318573,99.9956828753,88.5088635183,88.4577
89.0576,128.196,1000.0,3.0,12.2660387857,1000.0,49.1684,1000.0,-96.5718,2.1018507014,50.0,88.8843550287,129,0.0,129,35.1182,16.5344827586,0.260067,99.9956828753,88.9377581249,88.8857
89.4964,128.635,1000.0,3.0,14.5232381719,1000.0,49.3762,1000.0,-97.0782,2.01302427613,71.0,89.3117607549,130,0.0,130,33.7343,17.5593220339,0.329297,99.9956828753,89.3743809362,89.3049
