MaxEsReturn,Epoch,StdEsReturn,AverageReturn,QFunRegParamNorm,Iteration,AverageQLoss,AverageAction,AverageAbsQ,AverageAbsY,MinReturn,AverageQ,AverageAbsQYDiff,AverageY,AverageDiscountedReturn,MinEsReturn,AverageEsReturn,StdReturn,MaxReturn,PolicyRegParamNorm,AveragePolicySurr
362.60155525,51,112.837556556,270.879732005,52.1666,51,24.664,0.677459,85.6684,85.6334106308,212.439344156,85.6025,2.22177573277,85.6155841457,148.977194578,9.43332420276,186.914595917,34.9008323367,348.597333816,35.0893,-88.5202
363.740309727,52,94.2371837141,173.854313621,52.859,52,31.1313,0.671106,87.8812,87.8471043504,145.404262678,87.8114,2.41428520994,87.8291817201,112.323558248,13.0180951796,176.596127422,23.581989825,245.242604822,35.4209,-90.718
377.364799412,53,115.610384913,287.717600349,53.4935,53,29.7499,0.719666,90.1752,90.1396095473,232.717892076,90.0835,2.37630681357,90.0923452196,155.108917081,16.2106039105,143.157832772,17.8235349953,320.462519918,35.6756,-93.0458
404.283333074,54,123.28926841,225.99730992,54.084,54,29.1697,0.676355,92.2435,92.1934312004,150.888477989,92.122,2.44173411909,92.1363688158,132.453725774,9.62473744259,184.431980536,50.3637878023,310.172241613,35.9449,-95.0289
394.338868009,55,103.893857582,377.336027452,54.7092,55,32.7012,0.699543,94.5795,94.5335741721,340.093817124,94.474,2.49369561978,94.489036513,182.494258055,37.9442607432,172.845502764,13.6259300062,421.557397238,36.1752,-97.4893
378.716879169,56,114.689457329,173.724793465,55.3541,56,33.4171,0.681939,96.5756,96.5154341864,146.780496011,96.4437,2.5669047084,96.4533055603,111.293724852,35.8499372138,222.950587269,27.2207833413,294.23257087,36.5007,-99.5162
399.112604146,57,103.127517232,563.564652803,55.9594,57,37.244,0.698483,98.5254,98.4808691114,326.069021814,98.4212,2.58408733671,98.4377542315,207.466152428,51.7443998589,249.99374715,103.384974491,682.765478248,36.693,-101.515
563.918501271,58,150.221367473,323.924353385,56.5846,58,36.6591,0.694619,100.842,100.773428015,237.772085711,100.723,2.6147383568,100.731961018,165.806719853,18.7811003529,238.493631834,24.3884357088,381.736695385,36.9737,-103.794
345.804647573,59,92.689353978,406.835499629,57.091,59,38.8899,0.720821,103.087,103.021955843,330.860248674,102.958,2.70740666502,102.969802402,186.717937568,10.2528803056,234.662125521,42.2084082858,479.304365814,37.3128,-106.08
410.431220698,60,145.153718883,517.058951503,57.6198,60,40.2393,0.726788,105.224,105.170396856,385.01599059,105.111,2.81301766502,105.129234366,199.0520977,21.7695891703,265.093552454,114.524355684,788.564945871,37.5966,-108.18
454.518315375,61,96.7660126614,394.018778936,58.2005,61,41.3998,0.694446,107.034,106.963795906,382.76974233,106.903,2.81233584214,106.912019579,188.016249671,155.725613242,294.536512377,9.47271975549,424.483092587,37.8055,-110.082
409.028335344,62,115.915379261,375.110461597,58.7529,62,41.6783,0.720146,109.645,109.585661951,358.673784033,109.515,2.85106964387,109.530051057,180.773905365,35.9929652379,279.382788382,4.10108455521,389.204230375,38.0588,-112.656
379.669993138,63,101.855053606,254.848092588,59.287,63,46.1567,0.728339,111.504,111.443170169,145.538735971,111.38,2.93717965614,111.39931239,141.809934098,58.4415521149,181.925044048,57.6863138727,320.89860221,38.3343,-114.559
618.606062636,64,181.733262117,344.860120817,59.9324,64,43.1197,0.734238,113.614,113.552021667,156.294650794,113.497,2.92627313762,113.508859365,169.746708453,7.56826104597,253.300077321,37.4641765713,372.917020142,38.597,-116.735
345.696670728,65,96.8870692612,275.043507823,60.5276,65,42.7267,0.734315,115.693,115.631652113,150.668493701,115.567,2.92468272156,115.582565502,149.110563372,44.7971891764,208.924071586,44.4435201745,372.35503739,38.8105,-118.908
351.283957181,66,99.6262004261,330.70786074,61.0353,66,47.7749,0.71331,117.937,117.872269632,159.241497819,117.818,3.07005835067,117.83279396,166.278773219,11.2169223782,240.440001617,42.0353630998,380.686939831,39.0816,-121.138
