QFunRegParamNorm,AverageDiscountedReturn,AverageReturn,AverageEsReturn,AverageAbsY,MaxEsReturn,AverageAction,AverageQLoss,MinEsReturn,AverageQ,AverageAbsQYDiff,AveragePolicySurr,StdEsReturn,MaxReturn,MinReturn,Epoch,StdReturn,AverageAbsQ,AverageY,Iteration,PolicyRegParamNorm
26.1365,102.673111965,1039.54545766,423.791780832,1.57333758958,423.791780832,0.889787,0.00910527,423.791780832,1.57283,0.0605848367831,-1.64516,0.0,1428.49629694,433.134539988,62,365.700973249,1.57283,1.57329562228,62,31.6815
26.358,80.4949283745,591.024324303,351.031740896,1.63925645961,351.031740896,0.746813,0.00958912,351.031740896,1.63883,0.0617974933765,-1.71356,0.0,940.749083608,375.930435831,63,181.032939854,1.63883,1.63918519152,63,31.9382
26.6222,85.7752331447,450.962526228,661.597471318,1.69390595533,661.597471318,0.762216,0.0103276,661.597471318,1.69346,0.0622550919657,-1.76597,0.0,817.035129076,294.550409155,64,186.149126132,1.69346,1.69383738134,64,32.1107
26.8527,117.764906878,924.155217753,346.118282461,1.77444698863,346.118282461,0.858018,0.0112841,346.118282461,1.77383,0.064981894112,-1.84739,0.0,1560.35269242,517.823701299,65,290.260346366,1.77383,1.77438605235,65,32.3527
27.2043,121.541983554,1355.59631733,655.234771808,1.83781131581,655.234771808,0.907152,0.0134459,655.234771808,1.83725,0.0670172921002,-1.90656,0.0,1628.01169727,529.464874343,66,344.017885604,1.83725,1.8377576366,66,32.5697
27.4184,104.000042267,691.565412734,441.142190538,1.91802683851,441.142190538,0.772612,0.0129716,441.142190538,1.91741,0.067741153506,-1.99054,0.0,1174.22882628,371.993202274,67,254.758856378,1.91741,1.91794936924,67,32.832
27.625,108.19631244,988.763959056,931.387769132,2.00992336623,931.387769132,0.77724,0.0133126,931.387769132,2.00935,0.0691154058762,-2.08333,0.0,1275.38323469,610.970085156,68,211.645816061,2.00935,2.00988441102,68,33.0506
27.894,69.3198610589,905.960385159,529.847182479,2.08132582148,529.847182479,0.889863,0.0144812,529.847182479,2.08062,0.0713607593622,-2.15684,0.0,1009.88231992,627.851496509,69,108.557780236,2.08062,2.08123795185,69,33.224
28.1583,92.6904819881,902.158068405,492.690418055,2.15770454147,492.690418055,0.824493,0.0156566,492.690418055,2.15713,0.0716782795319,-2.23326,0.0,1425.02005696,526.287335254,70,299.509635292,2.15713,2.15763718244,70,33.4649
28.3987,120.41211633,1285.40258155,780.652779958,2.24050148897,780.652779958,0.865811,0.0162895,780.652779958,2.24001,0.0733500697613,-2.31592,0.0,1742.05514525,257.72447915,71,525.988048127,2.24001,2.24044968547,71,33.5944
28.6486,117.221618041,1107.17982957,493.494433191,2.31643937393,493.494433191,0.752406,0.0162193,493.494433191,2.31556,0.0742784483885,-2.38937,0.0,1883.5228435,658.23916529,72,427.079573425,2.31556,2.31637229939,72,33.7773
28.8702,138.339511168,1469.16624809,841.067643731,2.40121927405,841.067643731,0.857744,0.0174562,841.067643731,2.40066,0.0774193230057,-2.4719,0.0,1680.42638203,1030.66609154,73,236.539295721,2.40066,2.40113127049,73,33.9617
29.1206,116.300372722,1223.45634302,793.467071665,2.46154986242,793.467071665,0.747282,0.0165994,793.467071665,2.46103,0.0761832592345,-2.53363,0.0,1801.77093267,663.011727677,74,442.780179143,2.46103,2.46150135794,74,34.223
29.3898,135.125529615,1578.0222174,611.083233688,2.53234817993,611.083233688,0.855419,0.017698,611.083233688,2.53169,0.078308848733,-2.60994,0.0,1863.39896273,709.208782401,75,408.551300186,2.53169,2.53230611396,75,34.458
29.6514,138.870859818,1694.76753638,703.28702575,2.60742013015,703.28702575,0.90173,0.0189152,703.28702575,2.60678,0.0796357676517,-2.68532,0.0,1776.84520299,1539.52596931,76,60.389958364,2.60678,2.60734897637,76,34.7344
29.8545,157.983119214,1680.620943,613.120930321,2.65326000489,613.120930321,0.836255,0.0183991,613.120930321,2.65269,0.0787903336369,-2.72919,0.0,2048.48236743,989.569631998,77,357.308021748,2.65269,2.65320475438,77,34.9377
