Epoch,AveragePolicySurr,MinEsReturn,MinReturn,MaxEsReturn,AverageAbsQ,PolicyRegParamNorm,StdReturn,AverageQLoss,AverageDiscountedReturn,AverageEsReturn,AverageQ,AverageReturn,MaxReturn,StdEsReturn,AverageAction,QFunRegParamNorm,Iteration,AverageAbsQYDiff,AverageY,AverageAbsY
99,-19.0492,16.8918204853,211.045747326,307.876728809,18.5374,86.3805,44.3706677656,1.48539,135.438065162,189.700035082,18.5255,238.056064526,432.48592688,88.9101034099,0.908222,71.7687,99,0.555571020003,18.5282074575,18.5297684704
100,-19.3336,37.8455715905,77.3643750785,348.315279361,18.8388,86.7239,43.2389102086,1.10925,146.092697873,217.32805056,18.8288,263.166520341,291.717926309,96.7360733791,0.834937,72.0697,100,0.509802979511,18.8302527302,18.8324891537
101,-19.5707,13.1218567643,320.568465274,521.145470647,19.0576,87.0586,43.345865823,1.40494,188.991670696,188.131057456,19.049,401.137653455,524.24914109,130.905965786,0.89981,72.4201,101,0.552655054672,19.0522447737,19.053972409
102,-19.8341,9.40680248756,276.079475945,342.349429359,19.3104,87.4061,25.1554209522,1.61383,165.375923542,188.679184873,19.298,322.116476618,422.047040555,104.364567453,0.872253,72.7458,102,0.570332352804,19.302162374,19.3048067266
103,-19.9884,62.5335044109,247.686237251,373.67424574,19.4691,87.5996,36.1246748099,1.30802,175.065816426,220.270968486,19.4582,348.704255099,428.284310519,108.660620298,0.875821,73.154,103,0.54086081348,19.4602662539,19.4612316014
104,-20.2471,8.88931376421,92.6121344596,354.547701866,19.7332,87.9177,49.4651100809,1.49706,194.277061393,181.911415924,19.7205,431.214241741,570.729305241,118.618965684,0.877958,73.4728,104,0.561387671411,19.7253530092,19.7270773006
105,-20.4325,131.150226366,77.5472503619,421.501910778,19.9157,88.2283,141.619809989,1.56959,89.9709176202,265.059114416,19.9058,150.007056828,507.396198508,84.6354846558,0.929565,73.8195,105,0.578209237869,19.9076714746,19.9088639234
106,-20.6563,50.9398121385,272.882787866,445.952503847,20.1389,88.4303,69.3814878334,1.53029,191.299733514,240.790577923,20.1268,419.618869284,491.288894377,115.485379642,0.927054,74.2147,106,0.580266949639,20.1287473602,20.1301852643
107,-20.9215,29.0906238009,379.824621035,374.431557332,20.4151,88.8649,32.5779841612,1.62778,189.919847468,242.559458286,20.4026,414.628522669,536.405416009,118.509666171,0.907698,74.5857,107,0.572498138977,20.4074609518,20.4096974971
108,-21.1518,92.5906881182,463.520106251,527.395008651,20.6271,89.2242,5.96245895814,1.71436,206.938614953,256.200614869,20.6136,475.94249974,489.9227062,143.506333813,0.879823,74.8782,108,0.592458696253,20.617202703,20.6198427858
109,-21.3537,14.0323300594,287.76352723,512.306194318,20.8198,89.472,69.034502834,1.72569,196.895952798,247.472360253,20.8098,444.875831533,536.660652387,154.859136168,0.890568,75.2343,109,0.589095193095,20.8111121937,20.8129639934
110,-21.6108,29.1575596376,268.480557108,407.322093192,21.0854,89.7052,20.3908490643,1.65165,151.852810072,187.54750753,21.0735,280.58261833,467.072145249,131.366860732,0.871997,75.5838,110,0.575701489957,21.0770904007,21.0792714078
111,-21.7475,10.3259654597,221.493646055,345.292987478,21.2106,89.8886,21.8665113979,1.67735,176.108931231,215.184133656,21.1995,351.983086887,373.022725483,93.4410364637,0.821136,75.9329,111,0.592657826484,21.2016342951,21.2038748862
112,-21.9879,96.5296270841,226.879418838,488.675664513,21.4412,90.2217,29.4017027544,1.79139,185.495289403,297.134039403,21.4288,390.875906558,440.644780847,136.251334476,0.889733,76.3309,112,0.597717971691,21.4323280667,21.4336435148
113,-22.3538,32.772937944,411.479519485,460.817970086,21.7866,90.4782,23.9671600288,1.96304,198.723228989,240.700078939,21.7761,454.412077382,515.580819411,146.191606227,0.900411,76.6907,113,0.61721663355,21.7800411882,21.7809423615
114,-22.5932,16.9662306764,182.410020466,380.604846832,22.052,90.7327,152.153992219,1.71923,206.420705398,193.356976306,22.0389,529.44923734,1086.60022706,130.328691706,0.863392,77.0576,114,0.584686366559,22.043189782,22.0452001776
115,-22.7444,58.3683854672,193.604510515,425.147892511,22.1865,90.9783,86.473480836,1.77677,192.071453376,225.976130202,22.1745,422.230853736,556.732951805,112.728349162,0.880198,77.4008,115,0.610350353566,22.1768192559,22.1788008324
116,-22.9431,6.21570824351,418.208920892,430.92753814,22.3825,91.3031,36.6790551237,1.66398,200.139537909,200.544867134,22.3687,475.922302271,575.297402093,138.378832856,0.885542,77.7098,116,0.599368263518,22.3716954291,22.3733499477
117,-23.2544,85.3727908744,463.646515784,616.446482231,22.6773,91.4979,107.107496238,1.93501,217.672930563,274.835465142,22.6654,637.135057277,777.462170284,169.205890698,0.868828,78.0308,117,0.618222128081,22.6696131657,22.6710124786
118,-23.5209,88.5883416997,432.286967375,464.074995799,22.9772,91.7057,17.2026874222,1.70924,199.516605608,289.909200468,22.9663,471.37129457,521.267308169,128.332307465,0.879811,78.3437,118,0.599485897588,22.9684125776,22.9704105236
119,-23.5802,62.2635146828,427.465625537,546.165053334,23.0093,92.0065,145.449637129,1.79861,205.704766687,281.579850811,22.996,524.309348245,1048.31096076,156.900343041,0.863762,78.6823,119,0.60951355246,22.9976245912,22.9997924649
120,-23.8682,38.3021616856,629.332376011,605.085524227,23.279,92.271,23.0065397434,2.01275,229.245252691,363.36647472,23.2648,681.992445504,727.191948975,214.470358875,0.862093,79.022,120,0.630020394328,23.2690006559,23.2717742866
121,-24.2156,36.2649572322,443.286814336,811.779008907,23.6233,92.4619,116.344280092,1.60262,205.612752374,412.955405386,23.6084,579.384139956,752.516110433,286.783389889,0.868455,79.4124,121,0.580638106465,23.6101895788,23.6134573552
