MaxEsReturn,AveragePolicySurr,PolicyRegParamNorm,AverageAction,AverageAbsY,AverageEsReturn,AverageQ,AverageAbsQYDiff,StdReturn,StdEsReturn,MinEsReturn,AverageAbsQ,Iteration,MinReturn,QFunRegParamNorm,AverageY,MaxReturn,Epoch,AverageQLoss,AverageDiscountedReturn,AverageReturn
2455.6431489,-99.0652,41.5121,0.895011,97.4453538092,2455.6431489,97.432,1.72188178746,87.1580061949,0.0,2455.6431489,97.4321,90,3177.467866,46.7636,97.4450044072,3453.78819153,90,13.208,268.159204338,3267.28580452
2079.59563111,-101.167,41.7858,0.876702,99.487030177,2079.59563111,99.4755,1.75366880237,810.419026814,0.0,2079.59563111,99.4755,91,1046.76955569,47.0452,99.486765282,3547.17762874,91,14.1454,277.95868787,2258.91643762
2214.05085193,-102.495,42.0012,0.887154,100.863350353,2214.05085193,100.853,1.78326662459,614.919376461,0.0,2214.05085193,100.853,92,186.694936302,47.3633,100.862939331,2189.58395533,92,15.08,190.308859085,1223.5489239
2624.44549949,-104.426,42.2495,0.889496,102.737201604,2624.44549949,102.721,1.86697958653,900.936134214,0.0,2624.44549949,102.721,93,1323.90770955,47.7911,102.736942202,3639.52735111,93,17.7581,286.738807991,2763.98089335
549.88746213,-105.928,42.4923,0.882876,104.269248296,549.88746213,104.259,1.80183062238,946.325620569,0.0,549.88746213,104.259,94,650.470143613,48.0881,104.268698395,3707.02291239,94,14.6203,263.814410434,2093.16515639
2483.68528373,-107.652,42.6944,0.926115,105.972251907,2483.68528373,105.958,1.87695360157,1304.93831494,0.0,2483.68528373,105.958,95,26.4062340819,48.4974,105.971882969,3877.96657179,95,19.0111,255.472286214,1772.94438818
2331.52848884,-109.444,42.8821,0.902861,107.787922304,2331.52848884,107.776,1.87106183638,1134.51830475,0.0,2331.52848884,107.776,96,647.169090682,48.779,107.78740659,3606.41665851,96,17.3739,250.225397441,2379.1996414
2285.9720392,-111.597,43.0932,0.878329,109.92212351,2285.9720392,109.91,1.86387750953,793.490548563,0.0,2285.9720392,109.91,97,851.781600064,49.0597,109.921828434,3181.58160664,97,16.6657,238.625212869,1684.33023009
2334.06246556,-114.026,43.3325,0.88788,112.322935799,2334.06246556,112.31,1.92217294107,1325.52310709,0.0,2334.06246556,112.31,98,-132.003693729,49.3493,112.32268093,4116.29116563,98,18.5455,288.68267075,2131.67039852
2528.67847259,-115.77,43.5103,0.884319,114.047760432,2528.67847259,114.038,1.93129993432,1081.56777557,0.0,2528.67847259,114.038,99,702.839408403,49.7415,114.047203002,3900.03131984,99,18.9434,275.762847264,2158.53916223
2580.62087426,-117.595,43.6749,0.909012,115.821245649,2580.62087426,115.807,1.98619237682,386.392256258,0.0,2580.62087426,115.807,100,-362.153801014,50.168,115.820995937,1083.46153797,100,20.0768,167.888895355,464.970899112
2513.83996936,-119.422,43.9509,0.891697,117.702735394,2513.83996936,117.689,1.95818528392,466.364336641,0.0,2513.83996936,117.689,101,84.667577285,50.4103,117.702348119,1846.03344919,101,19.3711,166.562904723,789.116690569
2608.60802487,-121.597,44.1722,0.878455,119.869030748,2608.60802487,119.858,1.92542778622,1118.63035287,0.0,2608.60802487,119.858,102,641.319146713,50.7077,119.868512641,3819.96982585,102,17.7107,250.571424624,2384.26353207
2438.36034428,-123.274,44.3789,0.913301,121.547801843,2438.36034428,121.535,1.95675254547,687.405320674,0.0,2438.36034428,121.535,103,-227.0001453,50.9718,121.547386181,2315.16343187,103,18.8939,192.095619833,828.992719871
2210.57026269,-125.343,44.5712,0.914068,123.588010292,2210.57026269,123.576,2.00572500433,1238.96200203,0.0,2210.57026269,123.576,104,597.214521168,51.324,123.587546714,3906.69471359,104,19.1525,294.547815942,2451.08208809
2321.11295319,-126.496,44.7824,0.916199,124.74128916,2321.11295319,124.727,2.03541844189,1472.72850851,0.0,2321.11295319,124.727,105,-270.96135399,51.6441,124.740729297,3893.03340987,105,20.8473,270.654803894,1980.85004388
565.592802137,-128.152,44.9736,0.908619,126.393716645,565.592802137,126.385,2.03926305276,702.412719855,0.0,565.592802137,126.386,106,896.727862075,52.0029,126.392971034,2766.14020588,106,21.4074,284.301687524,1762.55484218
2529.35636558,-130.105,45.2381,0.912817,128.349550083,2529.35636558,128.335,2.04334224488,1144.35484281,0.0,2529.35636558,128.335,107,-292.82872261,52.3739,128.34894102,3800.40981203,107,21.264,306.432775046,1955.98451256
2426.02814298,-132.261,45.4855,0.91345,130.470152671,2426.02814298,130.457,2.12525443465,1345.01586246,0.0,2426.02814298,130.457,108,-361.399524658,52.6917,130.469602847,3755.88495667,108,23.9759,235.600226034,1917.79349403
2520.97002974,-133.988,45.7049,0.906311,132.157900545,2520.97002974,132.145,2.09285898194,1535.90978714,0.0,2520.97002974,132.145,109,-35.9904882176,53.0285,132.157559832,4103.84151454,109,20.7738,277.87378715,2149.02330426
2598.65750264,-136.018,45.9175,0.932241,134.179081242,2598.65750264,134.168,2.14185456358,1506.56259526,0.0,2598.65750264,134.168,110,-277.841808488,53.3495,134.178728762,4003.13054339,110,24.3279,227.993618837,1660.7136228
