PolicyRegParamNorm,MinEsReturn,MinReturn,MaxReturn,AverageAbsQYDiff,AverageY,MaxEsReturn,Epoch,AverageAction,StdReturn,AverageAbsQ,StdEsReturn,AverageDiscountedReturn,AverageQLoss,Iteration,AverageAbsY,AverageReturn,AverageQ,QFunRegParamNorm,AverageEsReturn,AveragePolicySurr
51.2479,3.0,1000.0,1000.0,1.91516004707,72.9602368709,34.0,103,0.352599,0.0,73.0853,7.24303501643,99.9956828753,26.5959,103,72.9955466861,1000.0,72.9535,106.113,10.5591397849,-81.064
51.427,3.0,1000.0,1000.0,1.8862338303,73.3824438039,44.0,104,0.378518,0.0,73.523,9.29023196434,99.9956828753,26.8292,104,73.4215585779,1000.0,73.3841,106.59,11.6860465116,-81.6703
51.7233,3.0,1000.0,1000.0,1.86279095941,74.0278843161,60.0,105,0.431,0.0,74.1448,10.1469752767,99.9956828753,26.3545,105,74.0629173823,1000.0,74.0239,107.225,11.8352941176,-82.3895
51.88,3.0,1000.0,1000.0,1.83196767845,74.797597202,44.0,106,0.382528,0.0,74.9205,8.70754585695,99.9956828753,26.9941,106,74.8335283765,1000.0,74.7963,107.688,13.2876712329,-83.2317
52.0681,3.0,1000.0,1000.0,1.79969240312,75.4604999543,43.0,107,0.356975,0.0,75.5723,7.19725664444,99.9956828753,26.938,107,75.492083654,1000.0,75.4595,108.206,9.36936936937,-83.8799
52.2482,3.0,1000.0,1000.0,1.87223222161,76.1246817871,128.0,108,0.347704,0.0,76.2482,16.8873650577,99.9956828753,28.1477,108,76.1489072869,1000.0,76.1197,108.615,14.0,-84.6814
52.4151,3.0,1000.0,1000.0,1.86654191988,76.709835682,47.0,109,0.365064,0.0,76.8352,9.76485265533,99.9956828753,28.0384,109,76.7411642105,1000.0,76.7137,109.097,12.6075949367,-85.164
52.6057,3.0,1000.0,1000.0,1.94694632246,77.2762653349,46.0,110,0.386941,0.0,77.4058,10.0210721436,99.9956828753,30.063,110,77.3074399744,1000.0,77.2723,109.443,12.4691358025,-85.98
52.7986,3.0,1000.0,1000.0,1.95972834829,77.9115172098,51.0,111,0.358259,0.0,78.0463,10.0010040452,99.9956828753,30.0998,111,77.9460585633,1000.0,77.9077,110.125,11.5057471264,-86.504
52.9398,2.0,1000.0,1000.0,1.98571942134,78.5930638681,53.0,112,0.37255,0.0,78.7474,9.9380891375,99.9956828753,31.2634,112,78.6465069492,1000.0,78.5957,110.569,12.1219512195,-87.1209
53.0853,3.0,1000.0,1000.0,1.92395598266,79.1087109398,46.0,113,0.368943,0.0,79.2488,8.20337280716,99.9956828753,29.9374,113,79.1562444845,1000.0,79.1084,111.229,11.2386363636,-87.8663
53.2499,3.0,1000.0,1000.0,1.98714302297,79.7894447876,49.0,114,0.423587,0.0,79.9434,8.45689068903,99.9956828753,31.9323,114,79.8353689851,1000.0,79.7884,111.822,11.3146067416,-88.448
53.476,3.0,1000.0,1000.0,2.00389242493,80.0417089025,67.0,115,0.375726,0.0,80.2006,9.79057566749,99.9956828753,33.0382,115,80.1129077733,1000.0,80.0409,112.428,11.4090909091,-89.1133
53.6349,3.0,1000.0,1000.0,2.03122555557,80.8083409725,55.0,116,0.368011,0.0,80.9532,10.5754724379,99.9956828753,32.0231,116,80.864762092,1000.0,80.8071,112.874,11.1222222222,-89.8031
53.775,3.0,1000.0,1000.0,1.97193860505,81.4434862383,74.0,117,0.397265,0.0,81.5892,11.2438336388,99.9956828753,32.1885,117,81.4983243768,1000.0,81.4404,113.257,10.5108695652,-90.3369
53.9395,3.0,1000.0,1000.0,2.01398179619,81.911825867,48.0,118,0.412085,0.0,82.0636,8.74037728084,99.9956828753,32.5214,118,81.9661304033,1000.0,81.9108,113.728,9.79047619048,-90.8905
54.0983,3.0,1000.0,1000.0,2.0155825047,82.6891480944,37.0,119,0.349193,0.0,82.8289,7.8992053526,99.9956828753,32.3532,119,82.7326247722,1000.0,82.6827,114.252,12.0120481928,-91.7083
54.2293,3.0,1000.0,1000.0,2.14161461983,83.0274595095,44.0,120,0.401522,0.0,83.1874,8.2013480326,99.9956828753,34.1131,120,83.062510368,1000.0,83.0241,114.565,10.5957446809,-92.1286
54.3934,3.0,1000.0,1000.0,1.99510277029,83.8086305927,61.0,121,0.427102,0.0,83.9561,10.2290312144,99.9956828753,32.7979,121,83.8518167277,1000.0,83.8099,115.118,11.9529411765,-92.9416
54.5598,3.0,1000.0,1000.0,2.03786206619,84.1784264533,42.0,122,0.395085,0.0,84.3372,10.8391032456,99.9956828753,33.3696,122,84.2284467763,1000.0,84.1788,115.571,14.1176470588,-93.4793
54.642,3.0,1000.0,1000.0,2.01119169657,84.6389225876,42.0,123,0.516979,0.0,84.7878,8.37082789367,99.9956828753,35.2389,123,84.6921732993,1000.0,84.6362,116.166,11.1612903226,-94.0191
54.7485,3.0,1000.0,1000.0,2.15831149313,85.2090660972,38.0,124,0.442666,0.0,85.3928,7.46760322164,99.9956828753,36.9665,124,85.2624774309,1000.0,85.2098,116.584,9.89795918367,-94.5362
54.8668,3.0,1000.0,1000.0,2.11573488756,85.8356370444,60.0,125,0.453904,0.0,86.0013,8.4341611316,99.9956828753,35.9995,125,85.9004763996,1000.0,85.8316,117.137,10.0291262136,-95.1805
54.9804,2.0,1000.0,1000.0,2.09900513497,86.1775052315,56.0,126,0.491705,0.0,86.3428,12.0525175795,99.9956828753,36.6778,126,86.2392029614,1000.0,86.1785,117.513,14.4637681159,-95.8227
55.1391,3.0,1000.0,1000.0,2.08850998437,86.8000226543,52.0,127,0.539997,0.0,86.9631,11.9544173124,99.9956828753,35.0847,127,86.8601356644,1000.0,86.7954,118.036,12.2592592593,-96.4454
55.3174,3.0,1000.0,1000.0,2.14793750834,87.2243270513,56.0,128,0.511589,0.0,87.41,9.61060565,99.9956828753,37.127,128,87.2869000233,1000.0,87.2264,118.479,12.9102564103,-96.8972
55.4918,3.0,1000.0,1000.0,2.16154688901,87.9469485833,69.0,129,0.555896,0.0,88.1199,16.4195610012,99.9956828753,38.2152,129,88.0058754954,1000.0,87.9469,118.897,17.3272727273,-97.6214
55.6927,3.0,1000.0,1000.0,2.15244512679,88.4981195141,51.0,130,0.432545,0.0,88.6649,10.7290410449,99.9956828753,37.5029,130,88.5549856475,1000.0,88.4961,119.272,13.2784810127,-98.233
