AverageDiscountedReturn,AverageAbsQYDiff,AverageY,MaxReturn,AverageQ,AverageEsReturn,AverageAbsY,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAction,AverageAbsQ,StdEsReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,QFunRegParamNorm,StdReturn,Epoch,Iteration,MinReturn
79.6016935845,0.0693424858257,2.54312604983,1045.00822908,2.54223,700.12642446,2.54329571206,700.12642446,-2.62906,700.12642446,0.9455,2.54228,0.0,989.784743758,0.0147533,75.4255,56.613,39.5252519533,55,55,930.804619627
73.7182377597,0.0688370473869,2.62983325233,888.91139497,2.62897,616.965556875,2.62993474452,616.965556875,-2.71582,616.965556875,0.944155,2.62899,0.0,819.312325361,0.0146487,76.1506,57.1884,49.6844644251,56,56,716.832093164
94.367962751,0.06679412156,2.72195109594,1113.3149673,2.72108,708.184820071,2.72198525807,708.184820071,-2.80528,708.184820071,0.946016,2.72108,0.0,1070.36582467,0.0129526,76.7114,57.6367,27.399237737,57,57,1025.96355112
69.8392042529,0.0697944196053,2.8047330468,1047.16913134,2.8039,634.593602687,2.80481856662,634.593602687,-2.88941,634.593602687,0.930548,2.80391,0.0,826.842691824,0.0169699,77.29,58.1219,403.85855893,58,58,-376.786542347
83.9577117154,0.0694014608258,2.888852223,1005.12267419,2.88814,688.120404008,2.8889068693,688.120404008,-2.96928,688.120404008,0.952715,2.88814,0.0,966.476597937,0.0156924,77.8992,58.6058,32.3021915514,59,59,913.304876867
80.0377230213,0.0698647252087,2.97504712477,938.389471017,2.97429,764.888967161,2.97510471485,764.888967161,-3.05635,764.888967161,0.937081,2.97429,0.0,831.925435664,0.0170572,78.513,59.1006,97.2860324086,60,60,597.003416453
67.2491725858,0.072649915908,3.05344042191,835.509916566,3.05253,626.464025119,3.05351215252,626.464025119,-3.13516,626.464025119,0.939121,3.05253,0.0,801.724550865,0.0188865,79.1752,59.5857,29.7332915964,61,61,763.289467186
21.5509536019,0.0722016782079,3.13918857692,1018.75199181,3.13842,605.580113417,3.13924594896,605.580113417,-3.22137,605.580113417,0.973586,3.13842,0.0,284.666735371,0.0167862,79.7705,60.1257,724.645197778,62,62,-441.668022137
63.8311954143,0.0724631862081,3.22127341456,857.535901752,3.2205,656.648921288,3.22132330298,656.648921288,-3.30372,656.648921288,0.948275,3.2205,0.0,647.626957735,0.018462,80.3694,60.5978,364.044142131,63,63,-430.626330001
54.7357497891,0.0752070723909,3.30570771492,800.190561869,3.30484,614.056527134,3.30576754593,614.056527134,-3.39085,614.056527134,0.945514,3.30484,0.0,594.398083287,0.0197863,80.9671,61.1424,341.082357317,64,64,-416.567869197
91.0392735393,0.0757289112351,3.39022726672,1127.21003489,3.38937,605.820695684,3.39027848163,605.820695684,-3.47364,605.820695684,0.951248,3.38937,0.0,1064.64193024,0.0209723,81.5945,61.5888,41.4017229212,65,65,997.360171665
71.852607199,0.0752398648543,3.470545363,828.531521145,3.46972,638.801331015,3.47061499284,638.801331015,-3.55218,638.801331015,0.935301,3.46972,0.0,771.326423779,0.0194224,82.1274,62.1275,34.1001404661,66,66,707.737348807
