MaxReturn,Iteration,AverageAbsY,AveragePolicySurr,StdReturn,Epoch,AverageAbsQ,QFunRegParamNorm,AverageAction,AverageY,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,MaxEsReturn,AverageAbsQYDiff,AverageReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageQ,MinEsReturn
1000.0,96,67.1283525546,-74.3057,0.0,96,67.2018,102.952,0.15267,67.0423866279,23.0404,38.0484,13.0,52.0,1.91104389185,1000.0,99.9956828753,1000.0,11.0840941379,67.0383,3.0
1000.0,97,67.9726827614,-75.4791,0.0,97,68.0516,103.72,0.162923,67.8827760249,24.1721,38.2718,14.1857142857,136.0,1.94571974724,1000.0,99.9956828753,1000.0,17.421901534,67.8837,3.0
1000.0,98,69.2096010028,-76.7738,0.0,98,69.3011,104.471,0.148444,69.134521162,23.3654,38.4468,10.5744680851,51.0,1.94281430666,1000.0,99.9956828753,1000.0,9.64529359568,69.1297,3.0
1000.0,99,70.196250295,-77.8413,0.0,99,70.2908,105.15,0.166542,70.1210251547,25.0504,38.5901,10.9333333333,70.0,1.99565278695,1000.0,99.9956828753,1000.0,10.5280577506,70.1142,3.0
1000.0,100,71.0658173812,-78.9374,0.0,100,71.1648,105.801,0.191101,70.9843069535,27.0099,38.732,12.4146341463,69.0,2.07762176794,1000.0,99.9956828753,1000.0,12.4390722142,70.9872,3.0
1000.0,101,72.0729820418,-80.1579,0.0,101,72.1668,106.417,0.142698,71.9796266736,29.8542,38.9604,10.3854166667,73.0,2.15679600706,1000.0,99.9956828753,1000.0,11.0239982459,71.9715,3.0
1000.0,102,73.4337364154,-81.5652,0.0,102,73.5333,107.066,0.18883,73.354286308,28.9906,39.1298,11.2111111111,35.0,2.13215946845,1000.0,99.9956828753,1000.0,8.28183345837,73.3515,3.0
1000.0,103,74.5762476117,-82.768,0.0,103,74.6916,107.656,0.185133,74.5151385875,28.7344,39.305,10.8064516129,61.0,2.10605280831,1000.0,99.9956828753,1000.0,9.80921013833,74.5112,3.0
1000.0,104,75.608002681,-84.0506,0.0,104,75.7229,108.346,0.158242,75.5507409653,29.0381,39.4953,10.6344086022,48.0,2.1121521658,1000.0,99.9956828753,1000.0,8.61704355937,75.5455,3.0
1000.0,105,76.7922323382,-85.3471,0.0,105,76.8999,108.998,0.156372,76.7236679552,30.7979,39.6044,12.1084337349,44.0,2.20246281728,1000.0,99.9956828753,1000.0,9.78690057414,76.7234,3.0
1000.0,106,77.9317281617,-86.5776,0.0,106,78.0531,109.646,0.172869,77.880248296,33.1574,39.7289,11.4597701149,49.0,2.22810275806,1000.0,99.9956828753,1000.0,10.315488408,77.8759,3.0
1000.0,107,79.059513714,-88.0325,0.0,107,79.1763,110.367,0.157533,79.0055472251,34.2196,39.9404,14.0138888889,55.0,2.2421018859,1000.0,99.9956828753,1000.0,11.2416549982,79.0003,3.0
1000.0,108,80.3805997193,-89.1499,0.0,108,80.5075,111.0,0.149611,80.3331047639,33.9189,40.0726,13.0789473684,50.0,2.25128572396,1000.0,99.9956828753,1000.0,10.2350830582,80.3276,3.0
1000.0,109,81.3429237999,-90.4123,0.0,109,81.4745,111.631,0.160226,81.2825209241,36.6101,40.2149,11.8117647059,62.0,2.36501756893,1000.0,99.9956828753,1000.0,11.127595922,81.2783,3.0
1000.0,110,82.4413067761,-91.5929,0.0,110,82.5618,112.458,0.139509,82.3793377623,38.6618,40.3627,12.582278481,90.0,2.4093853213,1000.0,99.9956828753,1000.0,14.576387699,82.3782,2.0
1000.0,111,83.9178125364,-93.1552,0.0,111,84.0456,113.076,0.161627,83.8577783833,37.6957,40.5163,12.7594936709,57.0,2.36070130911,1000.0,99.9956828753,1000.0,11.1913338872,83.8557,3.0
1000.0,112,84.8241562773,-94.0512,0.0,112,84.9489,113.716,0.163773,84.7527065225,39.0742,40.6924,14.0422535211,65.0,2.40638938821,1000.0,99.9956828753,1000.0,11.5459115619,84.7486,3.0
1000.0,113,86.1060896023,-95.4098,0.0,113,86.2359,114.486,0.178519,86.02972255,39.7531,40.8638,10.3229166667,41.0,2.38187887622,1000.0,99.9956828753,1000.0,8.73271482185,86.0247,3.0
1000.0,114,87.2927730426,-96.6701,0.0,114,87.4068,115.122,0.126067,87.2062304919,39.5811,41.0787,10.5416666667,53.0,2.38293546571,1000.0,99.9956828753,1000.0,9.04032248073,87.203,3.0
1000.0,115,87.9820780503,-97.7044,0.0,115,88.1173,116.044,0.15468,87.8925739724,42.6158,41.1678,11.0,43.0,2.54855152326,1000.0,99.9956828753,1000.0,9.54772700223,87.8865,3.0
1000.0,116,89.3592778997,-99.2052,0.0,116,89.4912,116.642,0.155352,89.2748529333,42.2039,41.3493,11.3406593407,69.0,2.47801577888,1000.0,99.9956828753,1000.0,11.9800381406,89.2634,3.0
1000.0,117,90.7057411834,-100.706,0.0,117,90.8403,117.29,0.170168,90.6318151609,42.4039,41.5209,11.6144578313,66.0,2.49914287985,1000.0,99.9956828753,1000.0,12.3315945727,90.6293,2.0
1000.0,118,92.0233229484,-102.166,0.0,118,92.1741,117.989,0.18063,91.9707004888,44.66,41.6745,12.6543209877,47.0,2.56531654716,1000.0,99.9956828753,1000.0,9.96309299715,91.9673,3.0
1000.0,119,93.1840968952,-103.452,0.0,119,93.3298,118.641,0.121928,93.1325045417,46.1105,41.8121,12.3580246914,57.0,2.56503627261,1000.0,99.9956828753,1000.0,11.650580065,93.1299,3.0
1000.0,120,94.8155914473,-105.071,0.0,120,94.9698,119.253,0.147372,94.7491713333,46.5014,41.9828,12.0361445783,55.0,2.60054551104,1000.0,99.9956828753,1000.0,11.6633973673,94.7475,3.0
1000.0,121,95.8939392836,-106.43,0.0,121,96.0394,119.881,0.155515,95.7972466665,51.4294,42.1246,11.1444444444,66.0,2.75695085498,1000.0,99.9956828753,1000.0,10.776065156,95.7867,3.0
1000.0,122,97.2574472569,-107.866,0.0,122,97.4081,120.549,0.165692,97.1800123228,49.6244,42.3068,10.9230769231,39.0,2.64274367289,1000.0,99.9956828753,1000.0,9.02040515797,97.1836,3.0
1000.0,123,98.2706524849,-109.126,0.0,123,98.4083,121.148,0.147663,98.168359778,52.8907,42.4725,12.3292682927,52.0,2.68554694483,1000.0,99.9956828753,1000.0,10.9611897143,98.1553,3.0
1000.0,124,99.8817875921,-110.808,0.0,124,100.041,121.788,0.158854,99.784605611,53.449,42.6002,11.3863636364,58.0,2.80875050561,1000.0,99.9956828753,1000.0,10.9278957242,99.783,3.0
1000.0,125,101.176690472,-112.39,0.0,125,101.305,122.634,0.147148,101.05261007,56.579,42.7505,11.5172413793,49.0,2.80380712234,1000.0,99.9956828753,1000.0,10.3155524464,101.046,3.0
1000.0,126,102.398258381,-113.746,0.0,126,102.548,123.197,0.162245,102.284763162,59.3063,42.9079,12.7692307692,70.0,2.83697572181,1000.0,99.9956828753,1000.0,12.7298589806,102.281,2.0
1000.0,127,103.855290864,-115.295,0.0,127,104.024,123.975,0.149886,103.74422742,56.5504,43.0971,11.3908045977,45.0,2.83674538032,1000.0,99.9956828753,1000.0,8.57067483742,103.736,3.0
1000.0,128,105.076738363,-116.636,0.0,128,105.241,124.535,0.179396,104.971161379,61.0576,43.2764,13.0394736842,57.0,2.91653169271,1000.0,99.9956828753,1000.0,13.5106593293,104.965,3.0
1000.0,129,106.682189105,-118.486,0.0,129,106.843,125.202,0.170194,106.587006134,60.5179,43.5377,11.5647058824,56.0,2.91575988449,1000.0,99.9956828753,1000.0,9.5811666474,106.587,3.0
1000.0,130,108.16833295,-120.042,0.0,130,108.336,125.844,0.184195,108.066093966,63.9641,43.7563,10.9263157895,67.0,2.94720596125,1000.0,99.9956828753,1000.0,10.8756048643,108.058,3.0
