StdEsReturn,AverageQLoss,QFunRegParamNorm,MinReturn,AverageAbsQ,Iteration,Epoch,MaxEsReturn,AverageAction,AverageDiscountedReturn,AverageReturn,AverageEsReturn,AverageAbsQYDiff,MaxReturn,AverageQ,PolicyRegParamNorm,AverageAbsY,StdReturn,AveragePolicySurr,MinEsReturn,AverageY
2.16817537448,0.000655943,32.5341,93.7186195804,0.362925,68,68,96.1337284608,0.786599,44.3021339489,94.1751181188,93.6732392648,0.0103968963852,94.3113488569,0.362924,25.1147,0.362930044598,0.151148765266,-0.370605,88.021973715,0.362929435475
1.55225420215,0.00049529,32.8516,93.8112505717,0.373269,69,69,94.8943610346,0.828355,45.5299633493,94.1408496963,93.5926405771,0.0101307028755,94.4543809755,0.373269,25.7029,0.373324290627,0.188750680929,-0.381493,89.2971076913,0.373323863332
2.44791170688,0.000592785,33.303,93.929078996,0.381958,70,70,99.5192224121,0.818172,46.1898781576,94.3040436991,93.7943879942,0.0107099164176,94.6693515832,0.381956,26.2715,0.381947467968,0.202397162893,-0.390025,90.5822691834,0.381946801382
1.85488771989,0.000490757,33.6606,93.8026203011,0.386451,71,71,95.6769638477,0.84664,45.8749210151,94.0893972319,92.9792699853,0.0101516140664,94.3897674868,0.386451,26.9515,0.38647566193,0.180028633722,-0.394279,90.4940155621,0.386475025475
2.27697878271,0.000424553,34.0284,93.6944705217,0.3961,72,72,94.8597153316,0.813397,44.9304582163,94.1464642402,93.0385550304,0.00977676150701,94.4455229469,0.396099,27.5626,0.396120302564,0.241286454741,-0.404196,87.844904713,0.396119488671
1.65008113431,0.000589272,34.2925,91.5334086036,0.406607,73,73,95.7411064999,0.835007,39.6368093777,93.1276157165,93.5462129089,0.0116330483525,93.899563156,0.406606,28.152,0.406617303767,0.753882769192,-0.415031,89.7062610528,0.406617063911
1.520552459,0.000669104,34.5596,90.8717432737,0.415754,74,74,95.1157901949,0.883002,41.148047253,93.0458388124,93.6173690367,0.0111691108596,93.7021502727,0.415753,28.6023,0.41576992374,0.86075781041,-0.424697,89.5029643706,0.415769319574
1.86674095007,0.000687237,34.8335,90.6322334151,0.424663,75,75,95.3769633448,0.862321,41.8080199895,93.288605407,93.0153195094,0.0118751292546,94.2189450667,0.424661,28.7811,0.424685418687,1.07627037686,-0.433808,89.8319040979,0.424684777355
1.61153017287,0.000622941,35.1501,91.3554378041,0.434759,76,76,97.785330742,0.903312,43.1324547369,93.2626326029,94.2404812873,0.0117221583922,93.6589609972,0.434758,28.9997,0.434781509745,0.621637273548,-0.44447,90.3189561873,0.434780659641
1.91405162587,0.000575803,35.4453,90.5921768376,0.444287,77,77,96.2840769983,0.919707,38.9972190564,92.3816357819,93.640852656,0.0110442030196,93.7527078481,0.444287,29.2568,0.444306641746,1.08740961596,-0.454667,88.7536481786,0.444305811909
1.46863780706,0.000609408,35.7189,90.3719381007,0.455809,78,78,95.2526379276,0.964939,36.5698264254,91.6067058508,93.2171658712,0.0116207903409,93.010620964,0.455809,29.5462,0.45583710156,0.517341489103,-0.466121,90.5463914098,0.45583669444
1.85757600198,0.000629537,35.9729,90.2966344249,0.468518,79,79,97.0242832816,0.934314,38.8941257295,92.2567764102,93.9210027525,0.0117847635759,93.899314172,0.468518,29.8173,0.468523655393,1.30062312872,-0.479003,90.5328977444,0.468523053457
2.31100996864,0.000388429,36.3078,90.6746237773,0.478078,80,80,94.8790141158,0.91185,41.2026317466,92.8491033659,91.8914584636,0.0106512078912,93.9837766335,0.478078,30.163,0.478108170669,1.21163949431,-0.489072,88.4323344678,0.478107735051
2.12073710169,0.000652388,36.5095,91.2675029097,0.48995,81,81,99.7151210898,0.898919,44.0600620006,93.4489627733,94.4217162783,0.0116238954524,94.089382665,0.48995,30.5559,0.489955470642,0.777273982959,-0.501486,89.5185684932,0.489954616624
1.77468700405,0.000579323,36.8208,90.2768697164,0.502991,82,82,99.6369453687,0.919775,38.7620650063,92.3313760561,94.4137371239,0.0115063727464,94.0547376429,0.502991,30.9391,0.50301200722,1.4354095717,-0.514457,92.6804638964,0.50301159898
1.55764549825,0.000747124,37.1128,90.6734822832,0.512351,83,83,94.9739770591,0.964716,39.3221659509,92.156782002,93.5967672383,0.0119232612771,93.1505935631,0.512351,31.2615,0.512394917592,0.688120025668,-0.524232,89.120142788,0.512394303449
1.72246698013,0.000524911,37.3635,91.0248722419,0.523302,84,84,95.083156557,0.897659,43.7854959852,93.4169468692,93.1860571157,0.0108744884149,94.0200541628,0.523302,31.425,0.523286493255,0.805173164859,-0.535491,89.2972205722,0.523285803534
2.06503909269,0.000601588,37.7009,90.5046740595,0.536007,85,85,99.6688308916,0.98185,37.3977956977,91.6584347017,94.1195043166,0.0114841827132,92.1628332831,0.536007,31.7356,0.536052256689,0.405458597959,-0.548867,91.0663063158,0.536051606922
2.28910688801,0.000485366,37.993,90.7688395501,0.548309,86,86,97.524868136,0.957347,39.4872771419,92.2416292788,92.293343982,0.0110182849691,93.0172358028,0.548309,32.0252,0.548299435148,0.658776811878,-0.560847,89.7471586114,0.548299053946
