QFunRegParamNorm,Iteration,AverageY,MaxReturn,StdEsReturn,AverageAction,AverageQLoss,AverageEsReturn,Epoch,AverageAbsY,AverageReturn,MaxEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,PolicyRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,AverageAbsQ,AverageAbsQYDiff
34.8589,77,7.44653573552,973.960101951,159.102094797,0.93214,0.31282,172.30207409,77,7.46137041868,364.732410515,422.796841721,289.59853202,7.44398,73.6942861408,33.1963,-16.5456414896,-8.03011,26.6099579504,7.45847,0.301212811348
35.1671,78,7.60620750445,450.843445265,98.4924354172,0.905067,0.318071,127.295813876,78,7.62124043921,272.535015645,294.627124089,62.63159981,7.60395,104.689044875,33.3632,118.549839967,-8.19773,30.9040543128,7.61869,0.307935643298
35.4113,79,7.81572762601,539.539907926,93.4042340489,0.90093,0.292534,104.862092273,79,7.82975968114,198.69142514,271.190461826,91.8017762186,7.81347,88.7667042016,33.4746,45.2355511881,-8.40065,-0.179072495273,7.82792,0.297188943765
35.7391,80,7.95831402425,872.61174583,148.807808562,0.90479,0.343716,150.883656782,80,7.97248449301,200.02233224,446.509042809,97.6801118131,7.95622,98.2213189385,33.6381,60.8638809337,-8.55584,7.08555066214,7.97208,0.312146347005
35.9979,81,8.13177044842,640.24089038,148.06553036,0.86852,0.331823,247.553935737,81,8.14708256355,260.357659586,471.095109625,133.67501996,8.13,76.2677983911,33.8841,-17.7513822487,-8.71638,25.6769361278,8.1468,0.304713732007
36.2988,82,8.29167436775,898.75729113,62.7567745326,0.905318,0.361487,167.449917006,82,8.30554077247,294.493109312,241.127082641,102.130429671,8.28868,113.806062715,34.1079,158.651317011,-8.89762,48.779992964,8.30399,0.316201247728
36.6025,83,8.45115192361,926.370264687,154.531259548,0.95408,0.368806,101.024051893,83,8.46461413073,771.829821456,438.609750063,284.824542918,8.44996,74.2030756125,34.3032,131.527289428,-9.03844,-43.718745626,8.46539,0.320780598171
36.9079,84,8.61081504747,913.180214007,63.8362811931,0.912587,0.365799,85.4538309607,84,8.62821444138,437.18212321,173.113633324,308.372642174,8.60893,96.8364748973,34.5013,113.930151376,-9.21542,-0.384439138228,8.62805,0.323199117482
37.1771,85,8.78600549861,900.796997696,97.9125894337,0.896513,0.32784,105.033292085,85,8.8056368949,383.667884231,289.340118184,224.893880386,8.78409,105.040995893,34.7149,1.87835032394,-9.40896,4.86131700541,8.80541,0.313067897407
37.432,86,8.98136126218,1068.97124551,76.1921586096,0.85779,0.402551,88.584585512,86,8.9988182833,584.220856311,256.694979759,347.839784564,8.97972,92.4868055469,34.8921,-6.76328313136,-9.5971,18.185297172,8.99891,0.330868450289
37.7313,87,9.12630903279,382.001137798,127.579060656,0.893506,0.372601,141.679013947,87,9.14287736485,190.970610866,372.542017992,65.9883223278,9.12422,76.2639674963,35.095,93.0675878304,-9.71743,25.1513912878,9.14144,0.323646051176
