StdEsReturn,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageAbsQYDiff,AverageY,AverageAbsY,AverageEsReturn,MinReturn,MinEsReturn,AverageAction,AverageReturn,StdReturn,MaxEsReturn,AverageQ,Epoch,AverageQLoss,PolicyRegParamNorm,Iteration,AverageDiscountedReturn,MaxReturn
1.00672469991,2.03937,63.1953,-2.12847,0.072015892088,2.03678067388,2.03834449365,92.3940151839,93.514141955,91.4530156725,0.736692,94.2302052052,0.389638350832,94.5506819073,2.03562,52,0.066182,45.938,52,42.3374975986,94.8293686677
2.12122328472,2.15217,63.8426,-2.23807,0.0669665683824,2.14896782694,2.15116087896,91.7756624263,-2.05237378194,88.9044636149,0.0813083,42.0798883745,46.6234992735,94.7762220946,2.14777,53,0.0603218,46.3932,53,7.08694858983,91.9555051582
45.6154342377,2.21906,64.5694,-2.29953,0.0752694530648,2.21341411669,2.21653185547,51.8168714361,-0.192874116811,-12.2325408282,0.0011337,-0.113256540603,0.0530136787196,90.505386726,2.21241,54,0.0705335,46.7949,54,-0.0611538163194,-0.0379804480367
41.5571502215,2.27537,65.306,-2.35008,0.0807491896065,2.26939826719,2.27394459188,65.7623210404,-0.76577262518,-6.14020880282,0.00604862,-0.604257344547,0.0681272842015,92.8008180031,2.26826,55,0.0854901,47.4745,55,-0.0983574946665,-0.523995261266
47.0187112093,2.34307,65.8461,-2.41759,0.0850883777653,2.33533310512,2.34075252396,49.4966486456,-52.3511337383,-16.2660445418,0.514953,19.1772018855,70.8228902931,90.8979684928,2.33481,56,0.0951567,48.31,56,3.99375469403,90.0566395925
38.7212217401,2.39592,66.4515,-2.46271,0.0616458780483,2.38813894533,2.39364046998,62.0303802175,88.8115205044,-4.69683513206,0.622358,88.951504043,0.0783025560758,90.6307345471,2.38794,57,0.03923,48.6765,57,13.0768328228,89.090595968
4.31104083178,2.453,67.0329,-2.51122,0.0614711661352,2.44403301115,2.45039576695,90.7114315802,79.7224238028,85.3482388605,0.743412,90.6218595685,3.07243690517,98.2423762025,2.44381,58,0.0408023,48.8094,58,25.2137770858,93.5788361899
2.01417316419,2.53768,67.6627,-2.59635,0.0628354844633,2.52755485012,2.53451418869,91.6418879011,93.3148115828,86.7278403735,0.698386,93.8664549596,0.31648127381,93.6771448339,2.52757,59,0.0429505,48.9748,59,38.2750238092,94.4636215657
2.9689083436,2.66933,68.2804,-2.72344,0.0606650812022,2.65907619175,2.66700016634,93.0290563681,91.5848120294,89.4577220907,0.764355,93.5178792155,0.652227614549,99.985845739,2.65848,60,0.041758,49.2679,60,39.1636063527,94.3409222517
2.55630759741,2.69489,69.0157,-2.74349,0.062460269216,2.68516879886,2.69319768098,93.1991573995,93.1458635293,91.1822306865,0.852061,93.7494796252,0.347734729731,99.3685925103,2.68482,61,0.0540422,49.4832,61,44.108058138,94.2990001156
1.80566564903,2.7916,69.6514,-2.83699,0.080447853186,2.78245562538,2.79035683402,91.2842291966,93.3161010907,89.1352460222,0.849775,93.8565576365,0.261685233414,94.4591518799,2.78139,62,0.0870687,49.7212,62,44.6792249288,94.1839611174
2.2204006955,2.8359,70.253,-2.88044,0.05815003967,2.82644286066,2.83484764205,91.9671295068,92.4417817136,88.5723645015,0.829105,93.8008917829,0.372666297423,94.4383515221,2.82573,63,0.0371579,49.9383,63,43.6002385495,94.1652151791
2.35928560204,2.95294,71.1176,-2.99698,0.060469958991,2.94297377966,2.95186405323,92.8986378584,93.5325551043,89.2737327856,0.895092,93.8238620356,0.135317836147,94.9576487998,2.94227,64,0.030384,50.1247,64,46.1536228295,93.9742050501
1.88338266073,2.95573,71.7122,-3.00451,0.0688967748109,2.9461909968,2.95538164624,94.1498704542,93.0580141469,88.6979133601,0.935381,93.257852652,0.0812859228678,96.8518303673,2.94542,65,0.0335044,50.0933,65,44.2192162321,93.4189559834
2.25874242567,3.12604,72.5903,-3.18362,0.0759096458729,3.11758359007,3.12580256028,94.4125123526,92.9003594583,90.7052536112,0.952256,93.1115617437,0.0776829334835,99.813777647,3.11685,66,0.0537763,50.1435,66,43.9682614418,93.1807569972
1.81765556407,3.19393,73.4234,-3.25567,0.0705287409137,3.18467386202,3.19344106639,92.5991953754,92.7836680948,89.4400862848,0.94093,93.0036635302,0.0750292464007,95.1324891792,3.18407,67,0.0353924,50.2247,67,42.9690876051,93.0984379624
0.584919719367,3.28347,74.1898,-3.3541,0.0717259213118,3.27420502631,3.28343480666,94.5507368261,92.8672826879,93.9695952105,0.960051,92.9657001254,0.0459678825478,96.2748216894,3.27349,68,0.0376785,50.4598,68,43.4097416106,93.1074731099
0.998996319873,3.39934,74.9045,-3.47785,0.0880509579528,3.39141994646,3.40007163866,93.6945398107,92.7674715804,91.3022839308,0.971054,92.8270528493,0.0362809182465,95.1414765658,3.39079,69,0.0598644,50.7571,69,43.0168665998,92.9324639674
1.71706666252,3.49286,75.6888,-3.58011,0.0864026207444,3.48668232469,3.49319310763,93.0757033349,92.6583678803,88.7125245362,0.972528,92.7737580296,0.0361461939943,94.9579900198,3.48589,70,0.0546256,50.9162,70,42.7738081244,92.8528469452
2.00551457433,3.64889,76.452,-3.7443,0.0829827287865,3.64304963885,3.64940974968,93.1174985401,92.6867427783,88.9428825609,0.975783,92.8433083813,0.0572916248622,96.3025548194,3.64218,71,0.0520916,51.1408,71,43.2560505035,92.8950862952
2.1806612841,3.76736,77.1721,-3.87003,0.0919402770476,3.76228170269,3.76845833741,93.8201488482,92.5474167781,91.1415721826,0.977531,92.7828025275,0.0982407819845,99.627367156,3.76149,72,0.0645643,51.3608,72,42.9834682746,92.8756839783
1.17715774367,3.89792,77.747,-4.00604,0.0845180000232,3.89292301705,3.89845704579,93.7088619745,92.5869061936,90.033711378,0.982343,92.7732789538,0.100583939986,94.6022108435,3.89216,73,0.0448412,51.5626,73,43.0961690129,92.8832794135
1.8501575121,3.9905,78.4095,-4.10974,0.0972343254713,3.98579907817,3.99132783523,93.2878776141,92.6468996781,89.0037809665,0.981558,92.9038291164,0.0861527453609,95.3009659651,3.98529,74,0.0600095,51.6926,74,43.775995843,92.983864015
1.6706908059,4.15634,79.0812,-4.28511,0.081490466829,4.15287118263,4.15707674475,93.8534633733,92.5780917824,88.4551632816,0.982844,92.861558291,0.101055471339,95.1328303764,4.15224,75,0.0381117,51.7938,75,43.5889337679,92.9750252107
1.8956819895,4.3008,79.5891,-4.43341,0.0852695735199,4.29861982763,4.30205025832,93.7519570396,92.7411644851,90.2865202609,0.983891,92.9567469865,0.105252080907,97.6148996244,4.29805,76,0.0446737,51.9723,76,44.1484880156,93.0903034424
1.35590550699,4.50117,80.3607,-4.64062,0.0930764942844,4.50008731038,4.50204281695,93.1678459352,92.768772863,89.9096501569,0.982267,93.0015195492,0.130534827408,95.0082195818,4.49956,77,0.0549154,52.1198,77,44.3415807904,93.1905092488
1.42541643304,4.6127,80.9825,-4.75657,0.0880775363248,4.6127635471,4.61401457375,94.1523732078,92.5737993913,90.6459922636,0.981157,92.9566927444,0.123915066031,97.109691164,4.61175,78,0.0430809,52.2053,78,44.0548610374,93.0793670898
1.93840927003,4.77238,81.5546,-4.92371,0.0903173064576,4.77278439942,4.77329730799,93.6553082314,92.71000186,91.2549341651,0.979959,93.0242179928,0.140535368868,98.7129715476,4.77202,79,0.0451875,52.3704,79,44.3897938842,93.1859480769
1.52249290049,4.92409,82.1661,-5.07765,0.0857684229101,4.92486801689,4.92499357673,94.6050210449,92.7130607916,92.9640002008,0.98191,93.0103368627,0.124600278941,99.4468018828,4.92402,80,0.041074,52.5146,80,44.3782468794,93.1817799315
1.66893535862,5.09787,82.8596,-5.25337,0.101107421512,5.09891263051,5.09891580383,94.3074005967,92.8589762709,91.5130972496,0.981326,93.1238587059,0.119339340074,99.3328108136,5.09786,81,0.0516515,52.6616,81,44.9927717073,93.3034311333
2.09964790603,5.25308,83.4607,-5.40763,0.0830109276457,5.25402795592,5.25403133062,94.1070143177,92.8868398892,90.4705411573,0.980819,93.1499337248,0.128487184,99.4667999716,5.25308,82,0.0346731,52.8709,82,45.1228612791,93.3963394856
1.62478081521,5.38911,84.1245,-5.54784,0.10166482039,5.39050828563,5.39051396137,93.5800070591,92.9061199441,90.7781368158,0.980316,93.1915710415,0.129259535894,96.6510413702,5.38911,83,0.0510348,53.0172,83,45.3413939896,93.3781341659
1.74352076658,5.56221,84.8106,-5.71952,0.0878046436657,5.56311139535,5.56311414885,93.2566178299,93.0887025906,89.5059917393,0.980533,93.3595403667,0.104876716514,95.0085412416,5.56221,84,0.0327062,53.1585,84,46.3083785422,93.471757091
1.73255847521,5.70985,85.4535,-5.86775,0.10282573351,5.71083607503,5.71084182328,93.4490885133,93.0834102391,89.4650488099,0.981436,93.348118896,0.0938116419328,95.8902219105,5.70985,85,0.056011,53.2897,85,46.2719747195,93.4531764058
1.77608621758,5.83555,85.9169,-5.99215,0.0894529603295,5.83699252651,5.8369953169,93.0910807223,93.0705059081,90.1079447535,0.982471,93.3251745765,0.107503231327,95.0265456113,5.83555,86,0.0357323,53.4405,86,46.175316365,93.4499902261
1.20674906274,5.96135,86.5229,-6.11844,0.0975493386907,5.9624534497,5.96245474559,93.7184444647,93.2589050026,90.3567100817,0.983388,93.4231045149,0.0704543482783,94.7599399251,5.96135,87,0.0375988,53.6028,87,46.7704911174,93.5314970858
2.0434285964,6.12042,87.0295,-6.27608,0.0936205673392,6.12154285999,6.12154533859,93.9861245378,93.2914785619,91.0192017946,0.982985,93.4001443845,0.0356247748325,99.6711092024,6.12042,88,0.0381223,53.7327,88,46.6228348279,93.4389891751
2.25333662508,6.24072,87.4987,-6.39163,0.117198398076,6.24268329227,6.24268875694,92.9959506027,93.3781658407,88.6812884046,0.982921,93.4671533134,0.0422177998852,95.2592341935,6.24072,89,0.0680664,53.9172,89,47.010726299,93.5200914596
1.27245573539,6.35539,88.0617,-6.50091,0.0944687200419,6.35652953821,6.3565329773,93.5162156276,93.3772502407,90.9750345065,0.983399,93.4483479699,0.0481091135016,95.1200184225,6.35539,90,0.0394399,54.0543,90,46.9168566382,93.5226110739
2.50849032414,6.4672,88.5847,-6.59821,0.103609785377,6.46827017899,6.46827524166,93.4804595602,93.4263691598,89.3918094347,0.98328,93.4823531296,0.0261474694278,99.0843860816,6.4672,91,0.0469875,54.1578,91,47.1120518531,93.5257145068
3.11063305965,6.5462,89.123,-6.67019,0.101978037503,6.54724993218,6.54725162684,92.3542451569,93.3587943851,89.6655061829,0.984113,93.4670513984,0.0339804947252,99.9918013183,6.5462,92,0.0446293,54.3202,92,47.050095564,93.5115282432
2.90577183571,6.62135,89.6408,-6.72627,0.0946380665807,6.62237922796,6.62238293453,92.5578555338,93.3580050321,88.066798675,0.984432,93.4721082837,0.0371282054213,98.6344944663,6.62135,93,0.0467521,54.4821,93,47.0899542907,93.515023424
2.40561586588,6.69296,90.0217,-6.78817,0.102391499511,6.69421452181,6.69421933064,93.7391368242,93.4282165132,90.0222981996,0.98261,93.4854928117,0.0298645376434,99.7309788926,6.69296,94,0.047473,54.6342,94,47.1077745604,93.5275533441
2.74243916458,6.70714,90.371,-6.78776,0.0918429914647,6.70770180038,6.70770574265,93.1670087007,93.424186732,89.8248776465,0.98171,93.5258840704,0.0655926316753,99.8466400924,6.70714,95,0.0418058,54.7104,95,47.3158002625,93.6163489163
