AverageAbsQ,AverageAbsQYDiff,StdReturn,MinReturn,MinEsReturn,Iteration,QFunRegParamNorm,AveragePolicySurr,MaxEsReturn,StdEsReturn,PolicyRegParamNorm,AverageAbsY,AverageY,AverageAction,AverageQLoss,MaxReturn,AverageReturn,Epoch,AverageQ,AverageEsReturn,AverageDiscountedReturn
2.99782,0.109401031745,346.658271938,-110.269180994,630.691082227,65,27.9948,-3.09733,630.691082227,0.0,33.381,2.99893988556,2.99889154459,0.899641,0.0296067,1133.46012046,893.285377179,65,2.99782,630.691082227,103.130826244
3.07153,0.110126738954,115.868795692,843.68246803,847.846441337,66,28.3018,-3.16904,847.846441337,0.0,33.6052,3.07226001205,3.07221958914,0.934072,0.0308112,1259.21206136,1108.75902031,66,3.07153,847.846441337,135.148264401
3.1594,0.11196098998,217.694665284,906.338474028,608.566189865,67,28.594,-3.26072,608.566189865,0.0,33.9253,3.16054410939,3.1604675578,0.916654,0.0327698,1559.92282026,1301.26902539,67,3.1594,608.566189865,124.046669453
3.2507,0.112596172129,88.3315609188,939.689037409,655.643847285,68,28.857,-3.35194,655.643847285,0.0,34.0868,3.25151383757,3.25147184803,0.924202,0.0308584,1212.32643464,1055.22435685,68,3.2507,655.643847285,109.789841444
3.35398,0.116263033112,73.0014159599,952.970746944,497.063390115,69,29.1516,-3.45568,497.063390115,0.0,34.3901,3.35479608883,3.35471361164,0.911257,0.0368973,1216.85220405,1079.45818694,69,3.35398,497.063390115,112.465112029
3.44123,0.117517266685,209.014230669,249.203068001,726.086001453,70,29.4398,-3.54583,726.086001453,0.0,34.6157,3.44240483532,3.44236054648,0.930348,0.0380413,1004.89402361,848.09417359,70,3.44123,726.086001453,89.8875369412
3.52911,0.116663794544,483.29067945,-565.014173334,705.196823447,71,29.6868,-3.63269,705.196823447,0.0,34.819,3.52998401101,3.52993967133,0.907858,0.0370546,1259.64788202,851.731218824,71,3.52911,705.196823447,102.059904348
3.62923,0.115236507263,466.488310086,-318.92142172,805.616948877,72,30.0139,-3.73123,805.616948877,0.0,35.0916,3.63024977876,3.63018432582,0.949011,0.0362298,1329.71118391,1061.77794172,72,3.62923,805.616948877,131.608373562
3.73107,0.120100283054,93.6891003153,658.428976454,745.10070667,73,30.3393,-3.83776,745.10070667,0.0,35.2977,3.73213114029,3.73205198032,0.950167,0.0418923,971.670487484,855.941863765,73,3.73107,745.10070667,100.872216627
3.82198,0.119586288084,670.448093066,-442.556043936,724.438726441,74,30.5942,-3.9268,724.438726441,0.0,35.5166,3.8229970506,3.8229548328,0.935258,0.0390981,1372.44288476,901.640380587,74,3.82198,724.438726441,113.836636746
3.91265,0.121132999133,91.4124455462,1525.51592775,917.001611635,75,30.8958,-4.01931,917.001611635,0.0,35.7335,3.91365047228,3.9136084451,0.922807,0.0415494,1857.46737006,1718.06761889,75,3.91265,917.001611635,144.123574557
