AverageAbsQYDiff,AverageAbsY,AverageEsReturn,MinReturn,AverageAction,MaxEsReturn,AveragePolicySurr,Iteration,AverageY,AverageDiscountedReturn,MinEsReturn,QFunRegParamNorm,MaxReturn,Epoch,AverageReturn,StdEsReturn,AverageQ,AverageAbsQ,AverageQLoss,PolicyRegParamNorm,StdReturn
0.417790951669,24.747224364,216.305011049,950.292542617,0.999276,472.879331396,-24.9245,1945,24.7413079925,258.909483239,5.01778157661,218.072,3365.03323636,1945,2456.57643043,142.74733919,24.7405,24.754,1.4446,227.951,850.429068038
0.432066725521,24.8013190407,415.406105558,940.533799615,0.999385,751.117419763,-24.9742,1946,24.7986194001,256.650494127,208.252912882,218.112,3248.2371369,1946,1971.52972973,197.63341981,24.798,24.8113,1.6501,227.922,817.371182984
0.396809517463,24.8314131573,826.069413263,825.108579383,0.999348,1286.23524688,-25.0057,1947,24.8273196364,259.460675721,333.0980933,218.157,3334.09728362,1947,1442.43692062,336.457612473,24.8277,24.8395,1.30391,227.971,680.512591632
0.411452014377,24.7667124119,251.187362365,918.032647988,0.999339,686.886788722,-24.9518,1948,24.7620817349,251.840283018,55.4686160168,218.2,2720.04493591,1948,1401.7412563,186.85283025,24.7604,24.7738,1.41195,227.923,602.839871633
0.427253378411,24.8622281063,418.83418164,892.908036257,0.99959,938.44949924,-25.0734,1949,24.8597853192,255.255831707,120.466871686,218.271,2890.56426642,1949,1493.04147814,308.459961712,24.8577,24.8683,1.67187,227.99,559.038187539
0.387566507441,24.8852576557,483.124880158,926.838181545,0.999457,859.835084166,-25.0665,1950,24.8828756085,253.448079612,69.183907044,218.295,3245.76450939,1950,1943.05038366,290.629352793,24.8819,24.8927,1.27292,228.008,847.054949993
0.412692066356,24.9752412004,402.537915906,756.280980186,0.99959,849.018062299,-25.1838,1951,24.9727487812,257.064671773,60.9317897077,218.348,2814.86909642,1951,1359.19708698,287.771806947,24.9723,24.9834,1.52511,228.032,514.822451934
0.420012759028,24.9374868783,562.374963881,762.176456563,0.999624,704.775496597,-25.1434,1952,24.9348912501,252.501473614,213.093662082,218.367,3383.93885382,1952,1311.99426958,182.580529068,24.9335,24.9461,1.59371,228.214,766.574122013
0.417787532389,25.0527544558,406.246114976,732.027057461,0.999669,568.095525026,-25.2477,1953,25.0491090987,241.891075536,109.052373885,218.423,1495.87092865,1953,798.349433953,133.43075364,25.0473,25.0596,1.62689,228.257,126.327466788
0.397823681686,24.9639584249,356.282526753,269.295586276,0.999703,670.470968582,-25.148,1954,24.9587097157,220.422871,33.0045854389,218.473,1032.17407131,1954,630.371507341,234.579280532,24.958,24.9735,1.38488,228.299,151.802451919
0.407734451155,25.0570796428,283.480466673,243.096240964,0.999412,469.269830913,-25.1882,1955,25.0510884125,142.803203865,9.35048086591,218.489,262.03821527,1955,252.667836457,128.682446711,25.0508,25.0623,1.53508,228.333,5.20553121666
0.426772253543,25.005621953,380.782770441,758.345206605,0.999417,578.889141391,-25.1753,1956,24.998937656,253.498146542,23.4831341094,218.548,2292.04116047,1956,1358.03433886,182.411413404,24.9981,25.0126,1.76396,228.265,392.893567307
0.404252010506,25.0028649667,329.892300692,512.78240615,0.999573,417.042943642,-25.1732,1957,24.9979252999,249.83767098,173.061971463,218.593,2416.90717573,1957,1022.7412306,71.5919703008,24.9963,25.0117,1.42223,228.312,422.588076526
0.40439681,25.0133374,312.898385398,763.598523645,0.999642,684.176337484,-25.1849,1958,25.0089552857,258.396738324,74.2386214722,218.672,2366.02247254,1958,1308.91420351,215.249965864,25.0075,25.019,1.51315,228.384,451.588145407
0.401736824745,25.0063127986,404.365967013,933.123240797,0.999508,615.745049126,-25.1763,1959,25.0016308337,256.711560442,284.078637806,218.682,3168.07764955,1959,1488.45680665,117.088805507,25.001,25.0156,1.38472,228.446,632.219093025
0.410259167608,25.0265156647,540.194322342,70.303436443,0.999454,981.23928861,-25.1846,1960,25.0211834944,179.774351718,95.6270102994,218.714,1097.9504359,1960,598.526016172,321.379788208,25.0203,25.0354,1.48793,228.414,411.767398379
0.400893719924,25.0563784585,393.387389283,69.3603770682,0.999586,803.585262392,-25.2432,1961,25.0494343697,219.04770357,96.2712325681,218.725,2145.87251286,1961,981.244169809,237.040331674,25.0487,25.0616,1.43825,228.399,564.571337529
0.413652185254,24.9680676015,295.25321686,66.8994384805,0.999651,755.552212569,-25.1529,1962,24.9619551416,88.5835549346,58.9767882819,218.808,2142.25176906,1962,245.336812987,285.395839095,24.9621,24.9781,1.60425,228.326,443.50176344
0.406010280511,25.0658125487,308.956189005,63.3459952691,0.999707,777.920917865,-25.2253,1963,25.0609341214,63.1752022232,38.9259048212,218.829,754.005857875,1963,94.83769175,282.623458822,25.0599,25.0721,1.6078,228.342,126.707363535
0.412130862167,25.0429736245,226.626691134,57.4625725426,0.999522,712.05344488,-25.2049,1964,25.0380126965,177.259539925,48.2014191489,218.837,1191.84865149,1964,581.707392743,229.342499893,25.0371,25.0495,1.60192,228.322,422.118766949
0.398020440406,25.1523741576,344.098552591,674.926958118,0.999609,733.702428694,-25.3224,1965,25.148563366,232.492471357,62.8109073638,218.864,918.862233198,1965,724.508414499,272.952590698,25.1477,25.1595,1.41191,228.542,42.4485319574
0.405426003026,25.0662634961,296.769343921,527.002706787,0.99934,581.705358399,-25.2274,1966,25.0622544075,231.145333928,45.6192586846,218.904,757.48851403,1966,690.917095676,187.138774091,25.0608,25.0729,1.47278,228.521,61.8515400428
0.381468819034,25.0491575496,448.217321112,708.796721814,0.999631,682.919685536,-25.2232,1967,25.0443807014,242.480445841,59.5420564254,218.969,1450.22360803,1967,861.495271696,248.958446762,25.0435,25.0566,1.25878,228.483,152.934129652
0.39134835472,25.0768801613,468.775139316,263.743532199,0.999497,707.79726865,-25.2434,1968,25.0727283118,168.793045692,12.5695251615,219.018,851.886425801,1968,379.687400166,250.171430769,25.0725,25.0857,1.42404,228.393,182.385932685
0.395404564113,24.9966458294,408.657755181,109.882564526,0.999482,801.944161115,-25.1492,1969,24.9887513353,131.062844561,259.754469353,219.086,759.693952245,1969,271.889682404,192.631129686,24.9883,25.0048,1.4258,228.386,187.503721208
