StdEsReturn,AverageEsReturn,MinEsReturn,AverageAction,PolicyRegParamNorm,MinReturn,AverageQLoss,AverageDiscountedReturn,Iteration,StdReturn,AverageAbsQYDiff,AverageQ,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageY,Epoch,MaxEsReturn,AverageAbsY,AverageReturn,MaxReturn
182.38429931,147.894288092,-9.52530108705,0.85165,37.8307,101.929591961,54.1261,76.5013688376,94,48.2208934762,4.13792906507,113.954,114.104,52.1389,-117.905,113.988814457,94,503.919313626,114.114729918,145.520884969,301.296744036
86.4910503516,176.478614724,17.3078151052,0.862423,38.0254,42.0874032506,59.9272,71.5687117521,95,97.6046696635,4.16553898586,115.446,115.584,52.434,-119.371,115.47873396,95,296.640717627,115.597606877,257.631141438,514.18414233
128.962097879,170.116455695,-10.9912877625,0.852181,38.1926,8.40543878276,54.206,74.7457348433,96,91.0667434618,4.08410562926,116.822,116.967,52.6226,-120.807,116.860406901,96,456.382301961,116.977711778,248.437275696,450.194504138
372.598475777,314.54062224,11.5178544319,0.873226,38.353,76.9876122798,59.8363,60.8563181552,97,96.0539355165,4.15426851295,118.012,118.159,52.8962,-121.902,118.034312317,97,939.934124094,118.150815436,199.975716291,539.219511098
127.802113716,198.206581713,3.65741902484,0.866082,38.5323,-35.5565382661,61.8928,69.3287061304,98,150.308231262,4.26206913221,119.509,119.663,53.2222,-123.342,119.533962394,98,430.208148408,119.660830682,204.119629665,1021.54428043
122.412391594,204.287340496,4.96578828298,0.921479,38.7186,117.558736391,59.0599,93.3430959412,99,403.318203114,4.13567167425,120.545,120.7,53.4619,-124.416,120.569437895,99,379.798785191,120.689826954,542.863018276,1140.8477362
130.440407312,162.408832657,-31.4714925369,0.890495,38.9204,91.5964181449,58.3375,89.0135418759,100,275.206107767,4.15634074912,121.312,121.494,53.6945,-125.171,121.338106688,100,378.847375772,121.489193057,305.581227493,1241.10585241
140.926882129,146.371923675,2.72707944924,0.902383,39.1091,148.183284027,58.534,113.993774176,101,305.172114861,4.25381077674,122.783,122.954,53.9931,-126.524,122.819876764,101,449.881881721,122.939085142,451.708807153,1212.08987658
105.378518798,128.143655151,2.16644454547,0.86509,39.3102,98.1180214005,58.2002,96.564109449,102,105.879877286,4.18131918838,123.787,123.946,54.261,-127.628,123.815159107,102,306.212446597,123.934726736,268.098214478,615.099992876
124.842187739,131.539856557,-0.753384236593,0.862284,39.5189,83.9122216693,60.31,75.2401819952,103,89.7432536283,4.25296409431,124.726,124.917,54.6242,-128.574,124.746814437,103,328.924574803,124.905315757,207.363620523,533.856954173
113.882344781,203.607477563,19.0227775165,0.854783,39.6745,82.1059182971,56.9947,99.439900487,104,156.386830139,4.24780918161,125.886,126.057,54.8933,-129.585,125.922816585,104,389.467112084,126.064885887,226.502442973,861.699103226
115.372245226,137.721238221,-32.3259240281,0.836371,39.9172,130.980131355,63.1932,113.599989026,105,82.4288023338,4.3422747253,126.777,126.956,55.2068,-130.47,126.80728413,105,301.8302452,126.949240973,239.540429592,507.932028146
72.9971185838,282.679586246,155.059326799,0.817871,40.07,133.016377806,57.6193,121.038716113,106,126.368767257,4.25301405198,127.594,127.783,55.514,-131.232,127.617540564,106,375.957552596,127.764531206,327.551740582,846.985275421
221.55290248,331.675938325,41.992899419,0.830211,40.2624,151.24509092,59.6746,123.98658409,107,67.1943016608,4.27832887327,128.083,128.268,55.7909,-131.736,128.106843162,107,644.83726357,128.260831976,294.275254158,447.525539077
133.648586512,205.605713709,56.156270952,0.822417,40.4539,263.052135542,67.9465,115.487095644,108,264.958727126,4.3608565562,129.421,129.624,56.0896,-132.911,129.463944175,108,470.169448874,129.624107599,642.949156299,1149.69639997
151.730801923,323.89784819,48.4355159514,0.882285,40.5779,92.4614368149,63.1088,95.4688399859,109,41.2073200873,4.30409484257,129.975,130.182,56.3833,-133.607,129.992752449,109,511.774232158,130.157544147,163.503833775,270.378833619
140.322585381,191.771237677,-0.575067664901,0.869651,40.7856,70.5996688125,59.1741,108.204808639,110,47.4586922532,4.22750055112,130.921,131.13,56.6114,-134.422,130.945286377,110,420.439235394,131.103721612,199.425165002,354.815511223
114.619934781,224.999193867,27.9456012793,0.819947,41.0162,176.268870988,67.9041,133.346800215,111,74.2628422969,4.39087707185,131.21,131.386,56.9356,-134.78,131.234583307,111,394.320541641,131.379510434,293.018816147,556.530247898
97.0046762404,178.76039828,22.2817828655,0.817299,41.164,12.8655906141,64.5509,102.318275601,112,122.154302127,4.32753162785,132.511,132.702,57.1919,-136.136,132.528900231,112,299.60931454,132.684384756,294.914347929,518.468436432
110.131168306,215.0213981,110.168195827,0.824104,41.3426,135.604419429,68.596,125.068352263,113,92.7502610558,4.46842247045,133.611,133.802,57.4733,-137.149,133.63641777,113,380.977678648,133.781896274,290.022481943,614.245261937
92.0248596218,181.765204712,11.5272256557,0.779276,41.5007,172.375073867,68.5612,126.745689338,114,82.5102468062,4.44313360005,133.852,134.041,57.7902,-137.307,133.889561519,114,284.697127327,134.041832426,292.0048078,514.396539462
125.675314581,193.880550883,-8.33711485771,0.813879,41.689,92.2054049797,74.9088,105.865967386,115,124.887073554,4.55431573613,133.69,133.888,58.0707,-137.16,133.710294388,115,414.441904231,133.865087726,218.725722406,932.34790139
104.534983169,225.254868489,112.472744783,0.795133,41.9073,256.705180147,76.5164,129.649774778,116,82.392485592,4.54257929433,134.77,134.949,58.3572,-138.194,134.803370577,116,389.058274509,134.951778388,398.533237293,602.903643059
62.6395504979,201.734997875,106.968856425,0.806613,42.0973,136.889037802,61.0979,128.852808575,117,94.5231897902,4.4123884502,135.996,136.164,58.5809,-139.361,136.021352078,117,265.080793743,136.147913409,326.303356926,533.668094553
140.559711543,311.548950052,107.587427378,0.830213,42.2422,102.000842177,70.9794,87.8548084642,118,46.0130542755,4.51221902261,136.761,136.925,58.8524,-140.277,136.785356806,118,547.969606187,136.912716639,140.089859313,392.68438537
156.590021035,196.887205388,2.22857035316,0.833339,42.4382,103.544045582,65.342,122.048346309,119,84.5208354411,4.46753017207,137.076,137.248,59.1227,-140.521,137.098640824,119,443.716752511,137.228360377,252.554914,589.015797221
68.5623424513,198.01088395,106.617279994,0.822748,42.6061,89.1453402597,73.7512,108.781910627,120,116.142373645,4.54700053123,137.72,137.895,59.4349,-141.196,137.760942698,120,334.037790793,137.897602199,230.753976359,528.90622372
139.628285708,184.952999545,19.5844877014,0.828691,42.7702,136.466891962,69.9016,105.353194416,121,254.174127539,4.52193782337,138.824,139.003,59.7608,-142.292,138.848507343,121,475.226579251,138.985801378,332.274081947,1072.68939761
