Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageEsReturn,AverageReturn,MaxEsReturn,AverageAbsY,PolicyRegParamNorm,AverageAbsQ,MinEsReturn,AverageQLoss,Epoch,StdReturn,MaxReturn,StdEsReturn,QFunRegParamNorm,AverageDiscountedReturn,MinReturn,AverageAbsQYDiff,AverageY
76,0.846999,-94.0641,90.3233,192.850099633,120.740785131,469.439962465,90.4306786034,34.7832,90.4248,-2.72369711,40.0799,76,7.31207375177,180.107414092,134.148721104,45.9847,83.3124169351,115.618710801,3.48493136483,90.3474602628
77,0.846773,-95.9032,92.0408,248.248902668,151.383583416,414.511136043,92.1534234709,34.9931,92.1332,121.300824241,45.4292,77,35.7960981402,320.313079396,103.123056792,46.2818,96.9346781876,115.478608815,3.66788058009,92.0782259418
78,0.850627,-97.1982,93.5232,184.12375104,135.882339314,256.010833554,93.6292199606,35.1849,93.6165,111.202633958,40.9569,78,14.7839624151,188.990128108,58.2603587918,46.5935,88.7691693684,108.454525254,3.5666907515,93.5547829457
79,0.809406,-98.385,94.6483,152.110635267,171.299783992,248.822940644,94.7502292535,35.3107,94.7258,-3.40780569982,42.083,79,43.0323468877,296.422606479,84.59646766,46.8968,96.9115462273,109.00295148,3.57144262851,94.6801930542
80,0.80359,-100.031,96.3371,196.741907522,221.053216683,398.198914971,96.4405632016,35.4626,96.436,93.6405816138,45.0697,80,53.6426154498,422.25606076,87.7284884036,47.2399,111.699723914,158.283289872,3.70147795601,96.3662639599
81,0.85809,-101.468,97.6791,195.841891407,114.988067462,411.312881396,97.7753439597,35.6621,97.7576,19.7837669892,48.1892,81,19.269513268,193.097533483,102.66524173,47.5943,74.8101387319,88.8443789244,3.72369000923,97.7061588313
82,0.803908,-102.91,99.1462,167.420282457,184.562583815,299.080238741,99.2496048714,35.8628,99.2336,29.9915296888,47.8542,82,33.9569147961,298.768615094,79.5796090397,47.8821,104.199889633,143.837586336,3.68356427561,99.1767146369
83,0.805767,-104.574,100.824,107.49838503,207.088919814,297.350408635,100.916514701,36.0233,100.907,2.8407865608,46.8148,83,65.4802914395,367.996419914,104.758325649,48.1736,109.474293234,73.5369162769,3.70947755095,100.841011105
84,0.826466,-105.99,102.19,123.598494237,221.930986676,326.586543244,102.303287405,36.2203,102.28,4.43481074453,46.3141,84,145.040686646,739.678799254,82.8884353833,48.4774,77.3594290747,-107.580795989,3.76017049857,102.224265661
85,0.787415,-107.109,103.27,47.9684295249,225.607994891,203.405883889,103.387194085,36.3485,103.369,-48.1534292825,47.6798,85,89.2725426553,412.763762701,78.3956319268,48.7776,96.987896209,118.237677317,3.78935751022,103.302429963
86,0.846202,-108.245,104.455,145.48768063,254.693642614,262.872280111,104.559893427,36.5127,104.54,-2.03304146858,54.1828,86,76.9609005768,449.195422532,94.2795343581,49.0973,100.946026769,127.894602643,3.87816461514,104.482411836
87,0.838616,-109.927,106.075,128.132653699,246.917320791,333.830198202,106.188372778,36.6986,106.167,30.0951089186,49.7161,87,65.4956522101,362.964838787,96.76339208,49.3897,103.344956655,137.234764381,3.88801521667,106.108470974
88,0.760687,-111.013,107.11,248.82119382,258.716416466,356.156398306,107.218346072,36.8088,107.214,133.284433324,56.2263,88,197.186670771,1003.72017781,86.0734394969,49.7617,77.9524425029,-5.61922354506,4.06519963455,107.138662892
89,0.834568,-112.272,108.546,129.055147924,207.852036833,298.277877976,108.657971569,37.0017,108.646,-0.975079060245,54.2661,89,67.0543717146,401.386887638,102.689347914,50.0493,112.879939498,128.656467758,3.98220982784,108.580955636
90,0.822641,-113.424,109.786,207.6588416,318.373847867,404.471729367,109.887834649,37.1666,109.875,61.0356292593,57.4824,90,159.638680435,1054.86330475,115.140872255,50.3716,131.266881655,133.49186379,4.06670868015,109.813944054
91,0.833331,-114.412,110.721,199.042756633,126.633419389,314.559200391,110.821702694,37.362,110.813,61.4251614393,52.7552,91,40.918140263,367.217553733,83.0013088303,50.6531,84.5196522607,97.0815871168,4.03443834416,110.750661921
92,0.860587,-115.886,112.302,183.205354977,146.484257566,250.715107874,112.401552991,37.558,112.392,131.991191412,53.4697,92,43.2777207911,354.768121092,40.6589273236,50.9653,92.2877706141,103.223375181,3.99739491532,112.334751134
93,0.851451,-116.214,112.747,178.302156137,93.5479463152,287.840470888,112.858264658,37.755,112.858,16.4565164237,53.2759,93,3.6443029736,100.115631754,83.0569178309,51.2237,67.7008073615,84.9120390277,4.03836271357,112.776624759
94,0.826284,-118.034,114.532,255.331667212,159.237021906,475.163423122,114.640629024,37.9004,114.624,145.059246699,57.5337,94,25.3019641718,225.313463245,117.654981674,51.4793,98.7433357748,121.655714053,4.08297425173,114.564328619
95,0.805363,-118.773,115.362,180.582297176,232.593323188,282.139824949,115.499513588,38.0946,115.497,99.3239804151,61.5516,95,34.4193773525,298.951458322,66.0449813107,51.7944,125.836541869,140.025351935,4.17794196698,115.393363272
96,0.825873,-119.405,115.902,202.058058832,178.994455464,314.751577808,116.031504537,38.2512,116.04,75.2460966682,51.2697,96,68.1784179824,381.978194782,84.1053862845,52.0409,96.8054225119,105.956855946,4.04829045694,115.92837561
97,0.849092,-120.483,116.935,194.555895688,129.142186395,335.744144728,117.068129762,38.455,117.065,25.6093706636,64.3613,97,22.0635898611,208.523035347,83.9139117748,52.3536,88.3387722628,98.244585228,4.29767949645,116.962681357
98,0.816983,-121.25,117.814,146.073517233,153.374468231,209.120980193,117.944914551,38.6158,117.936,1.61523649085,66.9305,98,41.7105752358,261.729734364,56.7582844071,52.6646,97.5751446415,98.0987231945,4.34757969347,117.852159959
99,0.827926,-121.98,118.552,107.328403726,202.160852883,276.66016043,118.664741772,38.796,118.659,-17.937062268,59.3911,99,53.1125633156,325.305345726,93.2956828005,52.9227,112.86315179,78.3058593313,4.24390270319,118.585747646
100,0.827188,-122.983,119.429,169.446260737,165.788874125,323.194706651,119.521066756,38.9847,119.537,9.527134324,59.7446,100,56.8059441209,373.543927495,88.8377794733,53.1884,94.8234078554,80.1213279616,4.25407666333,119.449575474
101,0.836877,-124.312,120.814,209.614268837,258.8528434,474.359911792,120.932320661,39.1248,120.919,9.52194363918,57.5263,101,113.724056177,664.363236295,130.96187247,53.5294,109.024524135,158.446466818,4.3160981947,120.851473098
102,0.840833,-125.332,121.838,162.117075545,170.604516502,280.355755444,121.96831408,39.3298,121.973,22.669846191,63.5823,102,71.9329697834,460.461943516,88.1450031917,53.8117,94.8731207496,73.075058835,4.3585641706,121.86535548
103,0.8136,-125.778,122.311,167.7209611,294.926828736,293.876140454,122.439663169,39.5289,122.453,24.9600205208,56.4456,103,105.076201434,552.983777334,78.9360495229,54.0653,114.393621248,77.3939953781,4.30281525079,122.333749833
104,0.843037,-126.796,123.181,224.852815155,167.839875252,672.306235613,123.316126552,39.6837,123.319,28.2095471045,69.118,104,91.3137963282,504.620844617,219.373557406,54.4083,95.021226191,102.331514843,4.47089547894,123.211151783
105,0.851126,-127.946,124.243,248.596003201,201.952456268,335.302254892,124.395745365,39.8745,124.398,158.536691634,66.3528,105,51.8171771264,336.978703606,72.9279698271,54.6607,113.065926487,91.9212872188,4.43441740768,124.271983515
106,0.796418,-129.558,125.93,192.774817384,194.495016483,448.077103365,126.067997686,40.0278,126.071,1.2842864687,64.7412,106,57.76160381,325.344180494,143.27148523,54.9004,105.539967322,120.461205711,4.45546260907,125.961621284
107,0.859144,-129.923,126.372,90.5862883988,145.957005531,240.933331369,126.537120819,40.1785,126.557,-0.288262505238,64.603,107,14.7161991726,218.107730476,68.4020875179,55.1647,89.926851028,129.108470056,4.4463888223,126.383703892
108,0.815851,-131.096,127.609,140.428868123,159.946250046,244.725972815,127.771219461,40.3543,127.759,2.24816991723,72.5266,108,18.7351424594,250.821796714,70.7298146687,55.4233,100.681539547,120.961922061,4.60875948977,127.645073067
109,0.80833,-131.906,128.356,138.469815344,234.170006152,244.843173699,128.464694925,40.5085,128.462,0.844494440043,67.0078,109,63.4452148556,377.845166391,77.5031011371,55.7236,99.2656516912,120.974720295,4.49613851742,128.380506628
110,0.82151,-132.933,129.452,171.874813129,263.35738943,364.935232465,129.58542304,40.6733,129.589,-20.4641591014,59.8254,110,78.2214009766,452.205871301,109.582045534,55.9678,113.456797191,136.819841545,4.47471649693,129.484135571
111,0.82269,-133.456,130.027,213.93741807,284.045342565,296.659162623,130.145711272,40.8599,130.167,148.6640363,64.9522,111,41.9785412441,366.661376551,51.6596732191,56.2362,137.974503112,173.119872989,4.47167342937,130.043488566
112,0.781883,-134.462,130.842,189.214386337,243.170621487,360.507860796,130.961856615,41.0371,130.951,4.00055975109,66.3317,112,66.436559319,469.877137406,124.434366459,56.4979,123.907241716,132.299612583,4.49714659054,130.87287998
113,0.832355,-135.262,131.732,166.68438423,241.117403405,358.747543696,131.847609823,41.1969,131.855,91.6658492014,69.8558,113,87.9507176472,550.786466587,86.7507062531,56.7574,107.767044662,147.679984305,4.5795065742,131.756170421
114,0.835496,-136.288,132.655,193.604942263,229.593150215,358.269509495,132.766756523,41.3786,132.776,28.5140436448,64.5355,114,106.149809156,849.959391001,118.882712723,57.0231,104.315351605,-65.8317916926,4.52329389985,132.679371893
115,0.868562,-137.7,134.041,107.185205724,243.830590511,229.315220972,134.139250612,41.531,134.133,29.0757390177,76.3878,115,78.182335306,389.683753742,72.6656828381,57.2812,125.941243513,139.399390257,4.73381064954,134.076275761
116,0.78808,-138.304,134.579,213.293232232,248.484287152,564.328105507,134.669743463,41.7179,134.67,65.622019359,79.6385,116,119.357635008,931.036250121,170.238682793,57.5332,120.456284204,104.828423738,4.76449744049,134.601878269
117,0.818081,-139.937,136.294,234.7630098,374.990372528,348.557058209,136.389617415,41.8645,136.404,-40.3063375932,66.9123,117,21.5577680375,404.982868055,124.060153391,57.7458,155.241430006,300.281650744,4.63651975091,136.312971247
118,0.831933,-140.825,137.036,177.172694963,274.581502933,361.418857292,137.127500026,42.0409,137.129,35.8891493081,72.751,118,40.7314310539,335.910094543,102.255198307,58.0049,137.609024221,158.078373492,4.68018478226,137.071225562
119,0.847546,-141.673,138.098,218.821358232,245.944407647,592.568690324,138.190417864,42.2337,138.175,4.42823578997,68.2156,119,47.9901994941,386.456894189,214.104252666,58.1772,126.606863665,147.424641818,4.65732969122,138.132611552
120,0.84241,-142.44,138.736,263.319536879,241.12891028,373.341486223,138.829726441,42.4112,138.831,113.541554888,80.1078,120,71.4585061291,685.771692568,88.5073318294,58.434,131.102072515,187.573292115,4.82073960854,138.763573504
