MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,StdReturn,MinReturn,AverageEsReturn,AverageAbsY,Epoch,MinEsReturn,Iteration,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,AveragePolicySurr,AverageReturn,AverageQ,AverageAction,MaxReturn,StdEsReturn,PolicyRegParamNorm,AverageY
-9.95168228429,-5.39433016602,21.4278,0.693738956872,-65.7152810819,-9.95168228429,21.3782782772,57,-9.95168228429,57,90.7437,0.722706409341,5.02416,-21.6833,-64.8016351338,20.9245,0.648665,-63.8813103287,0.0,30.2249,20.9240817992
59.4482785984,-1.43959842386,21.6801,0.231727656147,-16.9630294609,6.69583718869,21.6254011327,58,-46.056604221,58,91.2907,0.776469478091,5.7263,-21.9538,-16.4214276263,21.2211,0.164379,-16.2085159924,52.7524414097,30.3749,21.2189728912
-8.10881802815,-3.54136530002,22.3562,5.20582609942,-40.7405523477,-8.10881802815,22.3042129988,59,-8.10881802815,59,91.8788,0.73085056658,5.26054,-22.6169,-27.3697382366,21.9242,0.273971,-24.4334929565,0.0,30.5582,21.9223310925
-44.1371861374,-7.2410509782,22.5184,0.522528545275,-87.2935952035,-48.2163661288,22.4645628141,60,-52.2955461202,60,92.5228,0.784102294541,6.99209,-22.7536,-86.1350263847,22.0975,0.862213,-85.4416499609,4.07917999139,30.6561,22.0987887048
-0.191735453945,-2.11292822973,22.7477,3.93462480064,-29.1208823347,-0.191735453945,22.6746532673,61,-0.191735453945,61,93.0702,0.748660203036,6.20613,-22.9705,-16.9478785646,22.3237,0.169648,-15.1156815884,0.0,30.7605,22.3191688369
66.0793159761,-1.85954016537,23.0762,15.7558656264,-2.94998639552,1.69516187003,23.0056051362,62,-62.6889922361,62,93.536,0.653759547514,4.32664,-23.2453,4.57854283026,22.6515,0.145631,39.3808498269,64.3841541061,30.8501,22.651336552
60.269635176,-6.45310604527,23.2977,0.69201274892,-87.9727155075,19.8726324104,23.232150861,63,-20.5243703552,63,94.1326,0.675244268025,5.62334,-23.4404,-86.8271451564,22.8651,0.869141,-85.8814026075,40.3970027656,30.9148,22.8638453851
71.7579768227,-1.6364375047,23.803,25.7489079107,-98.1268114949,25.3956259241,23.7414962085,64,-20.9667249745,64,94.6362,0.657395529912,4.90118,-23.8918,-16.7028289689,23.3599,0.167195,-8.3071091779,46.3623508986,30.9663,23.3596054242
92.8087320915,33.7843731947,24.2517,3.22461292241,76.1348608558,69.2896765854,24.1914228678,65,-28.0020801934,65,95.225,0.581397875063,3.38509,-24.2692,91.0070575399,23.7859,0.901884,93.9834656595,43.6670942959,30.983,23.7851319265
94.5747853313,37.6191231115,24.7099,2.8544673013,83.5554923282,92.0188796878,24.6559382521,66,88.9888649712,66,95.7458,0.588112578116,3.09465,-24.7262,91.5295683656,24.2354,0.948404,93.7021609795,1.9838455081,31.191,24.2351710045
94.8046385683,35.6761238764,25.6585,2.90697240165,84.1644420862,92.3682217592,25.6136744024,67,88.19370506,67,96.2881,0.594644599013,3.70149,-25.6803,91.3182965195,25.1926,0.88959,93.6028596458,2.23308471175,31.4961,25.1924767263
94.9938909751,29.527937287,26.469,2.68210113015,87.4297017149,92.6064092852,26.4322583006,68,90.4866989624,68,96.8396,0.636720742611,4.20751,-26.5247,90.4139367263,26.0311,0.874919,93.697548872,1.31603809803,31.9451,26.0296093264
94.2659352941,47.3732279568,26.8929,0.0918094010326,93.6172076952,92.5418882028,26.869309,69,89.5394601777,69,97.4992,0.630017314517,3.89695,-27.02,93.7476743879,26.4963,0.94431,93.9372652991,1.60244611,32.2656,26.4978386794
94.7955268686,41.9058769686,27.8263,0.106375176382,92.2100762604,93.0898080762,27.7986883191,70,89.5504939713,70,98.0674,0.581211471362,3.79989,-28.1005,92.460481147,27.4793,0.996181,92.6196139727,1.55533744164,32.5302,27.4787927646
97.1375692376,39.5289575863,29.0179,0.180514532753,91.5898364468,93.5728064954,28.9947661643,71,90.421920945,71,98.6847,0.628941232144,4.62911,-29.4187,91.9850414332,28.715,0.99758,92.5002359766,1.66387305995,32.659,28.7150461776
96.5028611372,42.2943598428,30.1414,0.135721394138,92.1087455885,93.4038339,30.1304926643,72,89.413086422,72,99.1985,0.594080498218,3.60999,-30.6716,92.5330272584,29.8877,0.99639,92.6996616485,1.93708171628,32.775,29.8884870479
96.1226800709,39.9199364466,30.7487,0.160527753368,91.6567916691,92.9318710863,30.7439416508,73,87.407305134,73,99.8116,0.601109086151,3.61662,-31.3896,92.0787755176,30.5359,0.995387,92.400038099,2.61147442305,32.8335,30.5356344589
95.6099333226,42.0477978643,32.3733,0.124388859522,92.1006720104,93.6186541857,32.3680888141,74,89.4991255848,74,100.509,0.617957406077,4.02667,-33.123,92.4794762452,32.2017,0.997437,92.7001510309,1.73497633465,32.9431,32.2020001783
96.8967666425,41.6277296764,33.4508,0.122012123967,92.0001293752,93.5411387392,33.4382033626,75,88.6450602409,75,101.025,0.61401148227,3.24508,-34.3086,92.3981820933,33.3106,0.997554,92.5999127933,2.01916051092,33.0795,33.3114336385
