AverageQ,Iteration,AverageAbsQ,AverageAbsQYDiff,Epoch,AverageY,AverageDiscountedReturn,AverageAbsY,AverageReturn,StdEsReturn,QFunRegParamNorm,MaxEsReturn,AverageEsReturn,PolicyRegParamNorm,AverageQLoss,MinEsReturn,StdReturn,AverageAction,AveragePolicySurr,MaxReturn,MinReturn
7.66913,119,7.68738,0.222339089233,119,7.67029609736,99.9956828753,7.67240731607,1000.0,17.725864746,58.0909,103.0,18.1090909091,39.9192,0.359295,4.0,0.0,0.25014,-8.49696,1000.0,1000.0
7.76841,120,7.78836,0.220274631768,120,7.76882553148,97.3202959459,7.77082873828,842.307692308,15.5493987554,58.4432,65.0,17.6727272727,40.0935,0.358136,3.0,295.023176304,0.177368,-8.57371,1000.0,125.0
7.83667,121,7.85612,0.212658275413,121,7.8367964961,99.9956828753,7.83921589227,1000.0,10.6651615902,58.7007,52.0,13.5657894737,40.0904,0.356037,3.0,0.0,0.262291,-8.66352,1000.0,1000.0
7.91691,122,7.93838,0.22655149934,122,7.91759229089,99.9956828753,7.92015768274,1000.0,11.8875199816,58.9065,61.0,15.3333333333,40.1889,0.383065,4.0,0.0,0.10337,-8.73103,1000.0,1000.0
7.96229,123,7.98133,0.212285355652,123,7.96238413893,99.9956828753,7.96519800688,1000.0,12.5139070567,59.0815,71.0,14.6461538462,40.2765,0.356297,2.0,0.0,0.176433,-8.78135,1000.0,1000.0
8.01205,124,8.03375,0.223329988461,124,8.01216056855,99.9956828753,8.0154479832,1000.0,12.8224987333,59.1651,63.0,14.5138888889,40.2934,0.386019,3.0,0.0,0.114845,-8.85955,1000.0,1000.0
8.04364,125,8.06564,0.220361699001,125,8.04507512116,69.8200077734,8.04737094929,172.254237288,10.1642180374,59.4098,50.0,12.4556962025,40.3974,0.375856,3.0,122.175282976,0.322249,-8.88404,515.0,43.0
8.15924,126,8.17916,0.212236088692,126,8.15907217428,93.4051342196,8.16088614504,588.388888889,12.4648224106,59.5974,55.0,14.6119402985,40.4606,0.349479,3.0,339.258036651,0.247419,-8.96711,1000.0,51.0
8.1953,127,8.21969,0.241674684262,127,8.19553252318,37.4846735221,8.19753784854,48.1291866029,11.8803275415,59.8994,54.0,12.974025974,40.585,0.439826,3.0,19.099276266,0.412592,-9.03542,169.0,39.0
8.24402,128,8.26541,0.231430708217,128,8.24496687985,99.2458902326,8.24773957316,884.666666667,9.77100233421,60.1862,52.0,12.6463414634,40.6537,0.413884,3.0,257.670439817,0.0678857,-9.08826,1000.0,307.0
8.29723,129,8.32075,0.240110469182,129,8.29732604981,99.9956828753,8.30111227446,1000.0,9.48604237815,60.3633,41.0,12.3,40.7343,0.432739,3.0,0.0,0.184495,-9.1398,1000.0,1000.0
