AverageQ,MaxEsReturn,AverageForwardProgress,AverageY,MaxForwardProgress,StdEsReturn,AverageAbsY,MinEsReturn,Epoch,StdReturn,AverageDiscountedReturn,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageEsReturn,AverageQLoss,MinReturn,AverageAction,MinForwardProgress,MaxReturn,QFunRegParamNorm,AveragePolicySurr,StdForwardProgress,AverageAbsQ
13.6372,26.6817720066,-0.208886853146,13.6458014358,0.148506175676,11.5726796229,13.6458408198,-17.8143709667,45,11.8289175191,-0.000262012635668,-4.99441927613,16.5754,0.848304417392,-0.858394581012,2.2273,-37.6711733955,0.979691,-0.547846698581,34.4742928006,40.6024,-13.7389,0.113868354827,13.6382
13.1716,1.28048068819,-0.294650617431,13.1927289787,0.00645421649061,8.11518254057,13.1929356771,-25.2397056593,46,11.453703122,-5.0216248865,-13.3934969409,16.5159,0.838746420459,-13.5135598566,2.25326,-35.3474266296,0.996919,-0.501704155356,19.14054107,40.6537,-13.3973,0.108274426221,13.1746
12.8797,34.4645304091,-0.258085847047,12.8929649034,0.112644601706,14.1204527763,12.8935055926,-15.9718261063,47,12.6219662313,-3.44853404084,-9.95939623322,16.5334,0.745482423161,-3.12426860921,1.72152,-37.7440267454,0.998042,-0.526058533972,30.8862372969,40.7949,-12.8145,0.12179971202,12.8809
12.6225,12.8053201774,-0.246290244197,12.6319603799,0.11878747025,11.5726728176,12.6322689788,-35.2218123931,48,12.7148234316,-2.86922988874,-8.90044920664,16.586,0.729846035689,-10.2260376193,1.73478,-34.8933892995,0.997866,-0.505435755571,31.5692444814,41.1957,-12.6901,0.121717671957,12.6239
12.3261,85.0992425451,0.112698991331,12.3487960775,0.923388944854,29.1587712616,12.3492106001,-18.4594947284,49,41.2735376433,17.0792311886,30.1927533681,16.5416,0.761742890338,29.618203782,1.82366,-31.3087334973,0.993576,-0.507048737787,113.137455475,41.3267,-12.5637,0.40003113308,12.327
12.2628,95.3281621702,0.0960979994797,12.273176864,0.83086055735,32.2615196025,12.2732880902,-21.3390223734,50,40.766226825,15.7770479856,28.2704604847,16.5944,0.677233541644,24.1650918438,1.45832,-40.6080894518,0.997894,-0.596151322152,102.141666884,41.4349,-12.3996,0.393794378914,12.2634
12.0957,107.601820122,0.085075472818,12.1043174009,0.848782937146,37.9982012575,12.10441115,-26.2206799918,51,42.5965726153,15.7749706563,27.436547894,16.6301,0.649110358332,14.7343671596,1.30406,-42.0041387232,0.997082,-0.594768196322,106.427638468,41.5741,-12.1878,0.416181955116,12.096
11.8535,75.8471001568,0.158726203115,11.8596056439,0.875792971999,28.5627217774,11.8598069402,-27.5834069187,52,38.0318139351,20.1335284201,34.8560821994,16.6332,0.612092346162,22.2175358678,1.2059,-37.634027752,0.98227,-0.567590294852,106.546527731,41.9411,-11.8333,0.37106607018,11.8542
11.6735,80.7113523016,0.105858720702,11.6914719487,0.85825649083,36.0844734994,11.6918501057,-26.9009803913,53,41.1555830263,16.9948092806,29.7019924445,16.7802,0.628191915168,22.8087397369,1.28685,-33.9874186907,0.994109,-0.497658967609,105.183276949,42.1345,-11.835,0.402208059915,11.6745
11.3322,44.9799984521,-0.386424885045,11.3438111308,-0.138717891524,23.0916423764,11.344059228,-34.0120997859,54,7.5634151794,-12.8770331526,-24.9652251166,16.8709,0.618125977754,-12.5462595813,1.27014,-40.0844686773,0.999998,-0.524873654082,4.29260725417,42.3334,-11.3217,0.0737750915097,11.3329
10.9777,4.64586894528,-0.395907681676,10.9862106102,-0.0353944777266,9.40923197338,10.9863638056,-34.6959431572,55,6.38112826367,-13.3962690226,-25.8879164384,16.79,0.593598666832,-25.5314724584,1.25806,-35.7779105075,0.999679,-0.497716213202,15.2012448817,42.6056,-11.0767,0.0631381089725,10.9786
10.5887,101.093190521,0.100653573855,10.6076134951,0.885131057525,43.8793956292,10.6079158427,-39.6732856231,56,39.1007682071,16.5153948375,28.7784206584,16.654,0.656865635607,15.7786784257,1.4691,-37.2331602026,0.990886,-0.55711837685,107.472771563,42.8345,-10.8675,0.380251209992,10.5918
10.4613,55.8766215606,-0.370475770084,10.4630488114,0.100730953146,23.8817898697,10.4640492012,-33.062330094,57,8.38267677816,-11.1787075688,-22.8802929282,16.7897,0.651334618362,-16.3936110074,1.51136,-35.1914338994,0.968983,-0.502713230689,29.4384140973,42.9606,-10.5254,0.0840674061945,10.4643
10.1434,7.44621618293,-0.46519230686,10.1430756386,0.0357269129993,17.18987015,10.1441779528,-43.411648522,58,15.2801286978,-14.1124985068,-30.5895154751,17.0137,0.660362285841,-19.0964495204,1.30857,-55.6939165607,0.979583,-0.719988885287,22.9380727465,43.1344,-10.1269,0.14760465639,10.1472
9.82787,1.34692407058,-0.421854431471,9.7998804474,0.0284760798567,15.5355016848,9.80231978068,-41.8300446674,59,12.8862462344,-12.4788227524,-26.6727868733,17.2368,0.775003920281,-19.8193020028,2.52464,-45.0444231007,0.977849,-0.617109682975,21.9413211048,43.4299,-9.8421,0.125682656906,9.83595
9.39538,70.6568912009,-0.460863590002,9.42232224159,0.0628032158472,33.5475264587,9.42366296104,-33.1219070733,60,16.4614696733,-14.0795597441,-30.3629874164,17.2269,0.710689349555,16.758940598,1.50289,-49.6950899179,0.980405,-0.655917710781,25.1513723423,43.6288,-9.35952,0.159684070147,9.40158
9.18465,2.08535734198,-0.485544637874,9.18666997657,0.115157351925,16.4960291636,9.18814571797,-45.2744794296,61,13.7538539141,-15.2532304657,-32.3087994208,17.3918,0.622782433686,-24.9841858737,1.24908,-53.4172491239,0.983863,-0.686737397875,30.3264752175,43.7506,-9.10066,0.131058414528,9.18849
