AverageDiscountedReturn,AveragePolicySurr,AverageReturn,Iteration,AverageAction,StdReturn,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,MinReturn,AverageAbsY,AverageQLoss,MaxEsReturn,Epoch,AverageY,AverageAbsQYDiff,QFunRegParamNorm,StdEsReturn,AverageQ,MaxReturn,MinEsReturn
282.011420539,-41.1015,3380.95070874,63,0.943321,60.0962967272,40.6429,35.736,1087.07996468,3302.72665974,40.7119997998,10.2675,1087.07996468,63,39.850074021,1.35472685898,40.1061,0.0,39.8354,3528.27912977,1087.07996468
261.418794126,-42.994,2026.65576882,64,0.92108,1406.0480722,42.3614,36.0033,1683.0506846,-253.334472196,42.4384072972,9.66844,1683.0506846,64,41.6419936653,1.34597174097,40.5374,0.0,41.6301,3634.72879098,1683.0506846
248.20592901,-44.8838,2206.47472693,65,0.905223,1423.3800152,44.1731,36.369,2266.60890327,-354.702764074,44.2489480624,9.76467,2266.60890327,65,43.5474042123,1.37123782071,40.9871,0.0,43.5318,3549.24612978,2266.60890327
200.251122861,-46.4736,1500.5414027,66,0.858081,1362.85632934,45.7317,36.6502,713.402666902,-407.015577685,45.8124380509,10.5004,713.402666902,66,45.1766986079,1.41345106584,41.4832,0.0,45.1595,3361.09044786,713.402666902
282.02770785,-48.2056,3386.28379696,67,0.926354,325.798912742,47.4056,36.9042,2299.69247598,2706.77911451,47.4648735555,8.86723,2299.69247598,67,46.8955506459,1.38297800597,41.8741,0.0,46.8813,3756.20571074,2299.69247598
161.357050475,-50.4434,322.71973049,68,0.845926,653.240798262,49.4388,37.2073,2107.1990169,-414.225573296,49.5062626912,12.7372,2107.1990169,68,49.0387089065,1.49795357221,42.3848,0.0,49.0255,1725.10105833,2107.1990169
276.902565133,-52.4209,2164.51082916,69,0.891226,1586.72616101,51.357,37.4374,2393.04581157,-199.749451745,51.4073760208,11.3231,2393.04581157,69,50.9831493859,1.486403755,42.7914,0.0,50.9664,3882.27828923,2393.04581157
285.535559964,-55.2968,2543.12668285,70,0.922325,1112.25218418,54.1992,37.7192,2446.64694312,398.444697496,54.2485516248,9.04326,2446.64694312,70,53.856430007,1.41246091763,43.1026,0.0,53.8443,3650.78315026,2446.64694312
303.460956915,-56.9104,3325.14886764,71,0.937618,978.292520532,55.7667,37.9831,2425.86278225,1086.39056442,55.8103833953,10.7899,2425.86278225,71,55.4323424358,1.46197418128,43.521,0.0,55.4185,3926.43613334,2425.86278225
275.090508329,-59.4892,3332.11118756,72,0.925045,58.6406749107,58.2971,38.2167,2373.19401946,3234.88120402,58.3593631531,12.3957,2373.19401946,72,58.0317097828,1.51138323489,43.9016,0.0,58.0119,3432.25183802,2373.19401946
