AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageReturn,Iteration,MaxReturn,AverageQLoss,AverageY,AverageAction,MinEsReturn,PolicyRegParamNorm,AverageQ,AverageAbsY,MinReturn,StdEsReturn,Epoch,StdReturn,AverageAbsQ,AverageEsReturn,MaxEsReturn
105.10286942,-79.2591,2.08872199899,48.999,158.462389243,53,196.498887734,21.703,76.5599814811,0.647415,104.382130907,31.7631,76.5479,76.5707689728,143.076276316,111.400343805,53,10.9228195065,76.5905,275.191859637,497.374774235
131.016827788,-81.039,2.17499309407,49.6423,220.498363833,54,255.950137794,23.6602,78.2781433058,0.591354,11.7526706445,32.0105,78.2657,78.293091526,195.067878944,117.866715942,54,12.97604333,78.323,231.898273674,397.550776003
148.570250724,-83.2473,2.24227092719,50.2176,274.838550009,55,339.74691507,24.1076,80.4125821793,0.674813,3.70475783795,32.3121,80.3993,80.4264987976,131.888312924,117.277786402,55,43.9744825675,80.4528,196.678516851,354.172245899
172.603997236,-85.4216,2.25178352378,50.8517,345.026311932,56,379.607610759,24.4366,82.602013203,0.638673,58.5420735394,32.6099,82.5825,82.613790538,327.218589094,201.221208468,56,9.19431081578,82.6312,265.745266808,744.717082147
150.60619567,-87.3954,2.40110074002,51.4289,275.17998628,57,366.184558479,27.3069,84.4147447141,0.642054,15.6601146544,32.9231,84.3978,84.4297110731,222.338801896,139.383508735,57,29.2548036858,84.4557,213.658276718,446.369329702
168.291501648,-89.4888,2.3635648935,52.0785,331.655821302,58,392.106938587,28.1533,86.5892840933,0.678718,72.3350722519,33.1723,86.5734,86.6018200772,306.350093963,119.690308491,58,12.6749386811,86.6246,302.478327368,436.43727553
167.111529228,-91.5283,2.32187740454,52.6696,328.201027093,59,371.756837978,26.9251,88.553565829,0.614273,81.6692104146,33.4061,88.5417,88.565513262,294.51539755,91.4928893476,59,11.6895789328,88.6024,270.972329965,367.321574338
164.841010927,-93.6077,2.41676914734,53.3472,314.71439822,60,340.389225083,28.2252,90.5839447712,0.634164,13.9570250127,33.64,90.5659,90.6015557196,272.183546297,151.730672454,60,13.6487016299,90.6285,194.179728483,459.018218526
176.642568254,-95.4568,2.53081449166,53.9909,363.468424139,61,397.932088055,31.2512,92.4188130801,0.696057,39.6239357913,33.9222,92.3996,92.4324226962,336.297459702,125.032787828,61,13.1328439181,92.4685,215.064834426,382.474893079
166.2345377,-97.4154,2.60367612376,54.5232,329.098642571,62,380.505542257,33.7195,94.4324428458,0.654864,17.93806762,34.1634,94.417,94.4462652976,289.626680885,101.607027427,62,24.6702224602,94.4819,240.698220612,372.018252211
175.8689923,-99.1303,2.54288744876,55.0997,373.566536548,63,456.250837464,33.0959,95.9796551797,0.671699,9.24889722293,34.3901,95.9594,95.9952333951,310.214711135,128.221587955,63,35.542296453,96.0132,176.628128414,351.594169321
163.424965609,-101.256,2.61203973091,55.646,325.618758128,64,386.441438368,32.3235,98.1701344439,0.663211,8.97528826736,34.5499,98.1564,98.1811665711,274.616403741,103.96784302,64,27.9694990384,98.2165,211.744111903,350.853369946
162.988408988,-103.29,2.73458340161,56.2547,308.449647995,65,345.94434066,40.0706,100.228426525,0.667346,65.3807517109,34.7854,100.215,100.239297393,270.983960323,91.7233967449,65,14.6869009369,100.276,254.043194652,343.686560354
167.965030176,-104.99,2.66865819355,56.8711,323.668989617,66,372.495966509,34.3138,101.87433131,0.675467,40.035585324,34.9298,101.856,101.883852881,299.661095234,111.470924641,66,14.8285101625,101.912,180.156688782,378.574448946
170.237965084,-107.055,2.84868438454,57.5698,335.959352567,67,366.24272659,38.8643,103.860151623,0.699784,43.4196292948,35.1301,103.84,103.875205054,303.663397699,103.701706888,67,12.9181665928,103.914,221.506438588,332.031237653
169.360223443,-109.264,2.87731142039,58.1291,341.264352674,68,433.353597246,40.8,106.0487124,0.72418,11.6819227907,35.385,106.029,106.065784296,300.058581802,167.088115054,68,29.9455850673,106.098,268.297259443,590.392611786
