AverageAbsY,AverageAbsQ,MinReturn,QFunRegParamNorm,StdReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MaxReturn,AverageAction,AverageDiscountedReturn,AverageQ,AveragePolicySurr,StdEsReturn,MinEsReturn,AverageY,AverageAbsQYDiff,Epoch
66.1807036136,66.2622,1000.0,93.384,0.0,1000.0,23.7502,40.3934,47.0,94,12.6103896104,1000.0,0.118223,99.9956828753,66.1515,-72.8259,9.18518830856,3.0,66.1527547594,1.83692203272,94
66.5127738393,66.5989,1000.0,93.8305,0.0,1000.0,23.2384,40.5809,59.0,95,13.3376623377,1000.0,0.17963,99.9956828753,66.4815,-73.3835,11.0613523863,3.0,66.4868886165,1.83268407869,95
67.4601197089,67.5239,1000.0,94.3668,0.0,1000.0,24.9819,40.7665,35.0,96,12.5,1000.0,0.104061,99.9956828753,67.427,-74.3327,8.64291617453,3.0,67.4371104755,1.8679942301,96
68.0587035851,68.1252,767.0,95.0463,66.9827904381,978.818181818,27.3133,40.9681,51.0,97,11.5,1000.0,0.155231,99.9919940125,68.0358,-75.1897,8.88917554447,3.0,68.0375470268,1.86909177813,97
68.895716784,68.9644,1000.0,95.5608,0.0,1000.0,22.922,41.1525,39.0,98,13.6081081081,1000.0,0.123053,99.9956828753,68.8676,-75.8817,9.34014521498,3.0,68.8724561522,1.80262655014,98
69.9794178467,70.0838,1000.0,96.0813,0.0,1000.0,25.0832,41.3233,65.0,99,13.4324324324,1000.0,0.143808,99.9956828753,69.9546,-76.961,10.1556549033,3.0,69.9594695318,1.89990429605,99
70.367747164,70.4675,370.0,96.5513,188.30057737,919.727272727,26.5971,41.5054,47.0,100,11.9880952381,1000.0,0.0951503,99.7708657464,70.3442,-77.5655,9.79734420722,3.0,70.3511553604,1.93263333216,100
71.1685407692,71.2543,1000.0,96.9403,0.0,1000.0,26.8098,41.6647,54.0,101,11.3863636364,1000.0,0.139749,99.9956828753,71.1424,-78.2012,9.24592271095,3.0,71.1482223012,1.88361361494,101
71.4319437986,71.5332,1000.0,97.561,0.0,1000.0,30.5328,41.7599,42.0,102,11.2247191011,1000.0,0.188596,99.9956828753,71.4056,-78.9495,7.78756255442,3.0,71.4070372069,2.02273273633,102
72.5461774694,72.6336,1000.0,98.1416,0.0,1000.0,30.016,41.9076,34.0,103,11.3068181818,1000.0,0.151753,99.9956828753,72.5089,-79.9024,7.69940663969,3.0,72.5175284573,2.02381389533,103
73.4078233029,73.4816,1000.0,98.5913,0.0,1000.0,31.042,42.0479,46.0,104,11.1777777778,1000.0,0.15044,99.9956828753,73.357,-80.7731,8.04373845889,3.0,73.3665754053,2.02757393556,104
73.7421468211,73.8507,1000.0,98.956,0.0,1000.0,30.6812,42.2097,55.0,105,12.475,1000.0,0.215179,99.9956828753,73.7139,-81.3459,9.77237816501,3.0,73.7132638334,2.03925713098,105
74.306210818,74.4138,1000.0,99.7023,0.0,1000.0,33.0908,42.3168,37.0,106,12.7341772152,1000.0,0.167049,99.9956828753,74.2638,-82.022,8.13448489925,3.0,74.2754538594,2.08358875861,106
75.2182992846,75.3191,1000.0,100.241,0.0,1000.0,29.8242,42.4727,42.0,107,11.6279069767,1000.0,0.186734,99.9956828753,75.1806,-82.7771,8.69515571043,2.0,75.1820978251,2.02519935369,107
75.7212304991,75.8305,1000.0,100.679,0.0,1000.0,31.446,42.5939,45.0,108,12.961038961,1000.0,0.287348,99.9956828753,75.6879,-83.6167,9.94457570405,2.0,75.6862238247,2.11677570275,108
76.4228531154,76.5167,1000.0,100.921,0.0,1000.0,31.7318,42.6907,47.0,109,9.9797979798,1000.0,0.193788,99.9956828753,76.3655,-84.298,7.04957882255,3.0,76.3856247214,2.07598906846,109
77.5579127974,77.6785,49.0,101.353,273.393277711,913.545454545,32.2193,42.8405,44.0,110,11.3820224719,1000.0,0.185122,94.4404640727,77.5348,-85.3185,8.01193718664,3.0,77.5345211034,2.10524652936,110
77.8964285089,78.0078,1000.0,101.99,0.0,1000.0,34.2298,42.9558,45.0,111,13.2266666667,1000.0,0.13293,99.9956828753,77.8587,-85.9525,10.0380254809,3.0,77.8667535935,2.20529778977,111
78.7638586164,78.8882,1000.0,102.521,0.0,1000.0,36.076,43.034,46.0,112,13.1038961039,1000.0,0.215052,99.9956828753,78.7378,-86.4599,9.85424216855,3.0,78.7313670267,2.21159028014,112
79.3781083157,79.5023,1000.0,103.011,0.0,1000.0,35.3657,43.1753,89.0,113,12.3625,1000.0,0.134544,99.9956828753,79.3392,-87.2995,13.6274023112,2.0,79.3450478878,2.21621068041,113
80.055672714,80.1608,1000.0,103.417,0.0,1000.0,34.6683,43.3196,39.0,114,11.7093023256,1000.0,0.181827,99.9956828753,80.0127,-87.9024,8.09229647899,3.0,80.0272606006,2.11584152716,114
80.6231218734,80.7424,1000.0,103.874,0.0,1000.0,37.6675,43.4562,59.0,115,12.8571428571,1000.0,0.165154,99.9956828753,80.5967,-88.7721,10.1900311429,3.0,80.5968820851,2.21693799431,115
81.200749658,81.316,1000.0,104.282,0.0,1000.0,35.8952,43.5494,50.0,116,12.2804878049,1000.0,0.156209,99.9956828753,81.1606,-89.5045,8.64372659899,3.0,81.1669156008,2.21126662562,116
82.0185939649,82.1614,48.0,104.717,352.561893699,842.333333333,41.4162,43.6248,48.0,117,13.6438356164,1000.0,0.235412,90.2926792016,81.9913,-90.5244,9.43233997176,4.0,81.9941205869,2.36464009967,117
82.8961427732,83.0089,1000.0,105.072,0.0,1000.0,39.4058,43.7245,36.0,118,11.6162790698,1000.0,0.141113,99.9956828753,82.8567,-91.1979,7.88311207088,3.0,82.8671745178,2.25661431015,118
83.4101855102,83.5395,1000.0,105.498,0.0,1000.0,38.1418,43.8301,52.0,119,15.7936507937,1000.0,0.170639,99.9956828753,83.3803,-91.8729,11.6007097897,3.0,83.3867581195,2.2617643245,119
84.3430666966,84.4816,143.0,105.758,244.964396506,883.666666667,40.0556,43.9228,46.0,120,12.8533333333,1000.0,0.122618,98.0036737735,84.3165,-92.7552,10.3417514098,3.0,84.3201410268,2.30383002964,120
84.8484740142,84.9628,47.0,106.282,364.955851211,687.6,37.9184,43.9914,55.0,121,13.6973684211,1000.0,0.116983,89.4055705476,84.8112,-93.581,10.4289825623,3.0,84.8175074677,2.21353458288,121
85.4098859471,85.5465,194.0,106.678,372.758970382,722.5,41.4637,44.1226,45.0,122,14.4428571429,1000.0,0.110113,96.0240258497,85.3699,-94.2698,9.89463882873,3.0,85.3735701401,2.34846331895,122
86.7238432876,86.8368,123.0,107.206,326.652327491,853.916666667,37.6524,44.1853,51.0,123,14.9402985075,1000.0,0.152665,95.1791348654,86.7004,-95.2714,10.6950687437,3.0,86.7048173153,2.21035977836,123
87.3300478837,87.4581,1000.0,107.716,0.0,1000.0,40.5823,44.2904,52.0,124,12.6582278481,1000.0,0.123152,99.9956828753,87.2988,-95.8827,9.78747077652,2.0,87.3004080108,2.27466828524,124
87.4504196515,87.5751,1000.0,108.234,0.0,1000.0,47.2085,44.4103,63.0,125,13.3783783784,1000.0,0.154235,99.9956828753,87.4095,-96.3418,11.0511130694,2.0,87.4132208324,2.49825252418,125
88.6888083069,88.8281,1000.0,108.645,0.0,1000.0,40.9931,44.5358,63.0,126,12.5844155844,1000.0,0.127759,99.9956828753,88.6377,-97.223,10.5797535745,3.0,88.6446912128,2.32959717334,126
88.7880810036,88.9197,115.0,109.085,295.248406095,831.384615385,43.6115,44.6401,49.0,127,13.0632911392,1000.0,0.143077,97.1410937708,88.7339,-97.7441,11.4663423501,3.0,88.7381313293,2.4111120316,127
89.7601300723,89.8993,52.0,109.57,346.349893202,815.538461538,44.6607,44.7007,55.0,128,12.2962962963,1000.0,0.129868,92.8931674979,89.7077,-98.8854,9.98448728191,3.0,89.7132737728,2.40944059372,128
90.5800596316,90.7233,1000.0,109.955,0.0,1000.0,51.787,44.8372,38.0,129,11.7976190476,1000.0,0.115676,99.9956828753,90.5371,-99.6574,8.50739141081,3.0,90.5443354081,2.61265218952,129
91.52857201,91.653,39.0,110.251,322.668937234,856.916666667,46.578,44.9719,43.0,130,13.5466666667,1000.0,0.132462,93.6478528747,91.4896,-100.526,9.5349089607,3.0,91.498622698,2.42684535902,130
