MinReturn,AverageAbsY,AverageReturn,AverageY,StdReturn,StdEsReturn,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,MaxEsReturn,AverageQ,AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAction,Iteration,AverageAbsQ,AverageEsReturn,AverageAbsQYDiff,QFunRegParamNorm,Epoch
2361.09065225,3.94924135316,2531.47408316,3.9491811566,93.334302226,0.0,-4.06333,214.437051104,2650.00702541,813.574629793,3.94805,0.0445336,33.0773,813.574629793,0.889753,60,3.94805,813.574629793,0.116530108047,30.87,60
333.757390929,4.05225542508,669.615358526,4.05217244965,237.826759927,0.0,-4.1752,145.673981966,1039.69503578,860.156154756,4.05127,0.0399295,33.3914,860.156154756,0.830612,61,4.05127,860.156154756,0.116173297829,31.1376,61
960.694845,4.2322112144,2652.87036161,4.23214591742,567.018980804,0.0,-4.35443,238.145409288,2971.02554368,1811.76349444,4.23111,0.0390006,33.6465,1811.76349444,0.910155,62,4.23111,1811.76349444,0.116449373767,31.4496,62
2580.19722589,4.39100905565,2654.86272509,4.39095877567,45.2398201507,0.0,-4.51579,228.578749306,2727.16787732,1791.32867784,4.39011,0.0444885,33.9291,1791.32867784,0.914177,63,4.39011,1791.32867784,0.120872006309,31.8381,63
301.985912239,4.51323529786,859.959908259,4.51315114802,333.109396724,0.0,-4.63858,185.221462579,1355.38015539,1926.7406983,4.51222,0.0418787,34.2718,1926.7406983,0.851632,64,4.51222,1926.7406983,0.120681718839,32.1526,64
669.013500644,4.63797893822,1414.83576739,4.63792928368,539.443292582,0.0,-4.76642,217.57922342,2836.03404486,247.63307685,4.63668,0.0480743,34.5801,247.63307685,0.881258,65,4.63668,247.63307685,0.122350085313,32.3941,65
395.013455063,4.75660293492,912.487189143,4.7565624127,778.854755278,0.0,-4.88502,190.162467052,2778.92518416,1918.98496657,4.75518,0.0524682,34.9385,1918.98496657,0.904074,66,4.75518,1918.98496657,0.123573147379,32.6828,66
362.711397606,4.8670493996,1497.6714438,4.86696578259,897.894541128,0.0,-4.9921,206.226137424,3012.18987856,348.70842606,4.86609,0.0491826,35.1372,348.70842606,0.901406,67,4.86609,348.70842606,0.124645623617,32.9227,67
-305.800452897,4.9902756176,274.864767652,4.9902150076,390.322393716,0.0,-5.11336,147.592273768,1300.81184779,1512.82099411,4.98909,0.0529159,35.4641,1512.82099411,0.934671,68,4.98909,1512.82099411,0.123712380438,33.1292,68
345.686012896,5.09556375571,972.820713116,5.09548474005,780.196092287,0.0,-5.21786,178.566805751,3037.03881994,417.90299863,5.09449,0.0556264,35.7243,417.90299863,0.89664,69,5.09449,417.90299863,0.126009233015,33.3717,69
469.821450172,5.18832698119,2538.08575114,5.18825947908,797.798027798,0.0,-5.31108,241.653161255,3126.70733355,403.312348052,5.18731,0.0431889,35.9393,403.312348052,0.924818,70,5.18731,403.312348052,0.122437756872,33.6355,70
1960.12056441,5.30386889371,2774.276579,5.3038149915,277.09228081,0.0,-5.42778,241.220146982,2977.92043769,1615.15651137,5.303,0.0579535,36.2638,1615.15651137,0.934664,71,5.303,1615.15651137,0.128006717061,33.9209,71
