MinEsReturn,StdEsReturn,AverageAbsY,AveragePolicySurr,MaxEsReturn,AverageAbsQYDiff,StdReturn,AverageReturn,MinReturn,Iteration,QFunRegParamNorm,AverageY,Epoch,MaxReturn,AverageDiscountedReturn,AverageQLoss,AverageAction,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,AverageQ
87.0174053377,3.46578737956,1.98935720377,-2.09136,99.4551768612,0.0673676816225,28.896907671,80.9701663804,-2.86443070252,52,41.5362,1.9872769742,52,95.1552341772,11.9465236015,0.064995,0.160955,1.99023,24.677,92.6542751869,1.98697
89.7432302788,2.05686635514,2.13046476423,-2.23313,97.4693210945,0.0784088206457,23.8006168602,86.4544387824,-4.00195702999,53,41.6083,2.12768685764,53,94.8890618331,12.8509857304,0.091035,0.202738,2.13217,24.7446,94.0099322638,2.12811
88.9384646002,1.94893459635,2.28743769693,-2.38953,94.9154531997,0.083107311275,32.9712992185,77.9721595094,-7.45468150502,54,41.7446,2.28443999719,54,94.0116836365,10.0256109607,0.108942,0.160879,2.28938,24.8685,92.6013188555,2.28397
89.5489737364,2.1370608148,2.34771625981,-2.44758,96.6137312981,0.0923948944279,2.74244597102,90.6983953097,85.1556257927,55,41.8545,2.34433911594,55,94.7434174749,18.7120706015,0.144309,0.411171,2.34917,24.9961,92.5343624486,2.34364
89.8868577364,1.52339551308,2.5602628167,-2.65365,94.3397915483,0.0827471005813,1.67617166169,92.5473282899,88.3854728414,56,41.9468,2.55681971741,56,94.7713555109,8.31514111289,0.118522,0.244132,2.56233,25.0602,92.4184148334,2.55714
87.9224099656,1.81488225995,2.57447509865,-2.65724,94.6040698196,0.0696420518519,3.56959525178,91.6742486512,79.5390887378,57,41.9941,2.5711028861,57,94.8844875166,20.0542355598,0.071495,0.392169,2.57633,25.1932,92.1997558394,2.57121
90.4246994275,2.39399962716,2.70549583968,-2.78252,98.5926409474,0.0750718776574,2.64102267223,90.5565808202,85.0907621374,58,42.1305,2.70183803758,58,94.478256328,15.2691650594,0.0716815,0.43012,2.7071,25.4166,92.8987650921,2.70148
91.0218708952,2.04677462173,2.83450256356,-2.91075,97.2216508448,0.0672613296061,2.81653345419,90.0129669258,84.4013324949,59,42.1592,2.83113573983,59,94.3925451802,17.4714755583,0.0571702,0.481658,2.83593,25.6206,92.9018608022,2.83102
87.8385398967,2.31570624318,2.90118041134,-2.97195,95.1742415407,0.0588178131483,3.7074650521,89.8553099556,82.7091553176,60,42.2809,2.89789329088,60,94.3616864638,21.3677225827,0.0439793,0.494322,2.90264,25.8156,91.6381568235,2.89779
85.7820506719,3.63385658997,3.00503453708,-3.07296,98.8724818707,0.064238760095,1.2082609257,92.7557502462,84.3837474082,61,42.3604,3.00146461593,61,93.4631683171,43.5672216908,0.05077,0.988508,3.00652,26.1671,91.2660710705,3.00107
90.0329665289,2.91455814883,3.07859581684,-3.14043,99.7803254431,0.0678668160667,0.310369562348,93.0938718255,92.2678579265,62,42.4268,3.07522702367,62,93.4529321268,45.1321851679,0.0586887,0.989141,3.07972,26.2889,92.9287532867,3.07473
88.5031284315,1.90250057158,3.14611930988,-3.19784,94.0638963655,0.0712281154498,0.268445835552,93.1613098151,92.6825817375,63,42.5331,3.14315597708,63,93.5779728474,45.4245471969,0.0502374,0.986775,3.14748,26.3751,91.1600155501,3.14231
88.9364742624,2.47172612882,3.23520855062,-3.2873,96.9817004259,0.0791792815608,0.0846726744093,93.4347651023,93.2149581333,64,42.6612,3.23216087612,64,93.5629251845,47.1971702614,0.0652744,0.994138,3.23607,26.4821,91.8891112073,3.23104
87.910613508,2.28689515823,3.27447105467,-3.32454,96.6504785512,0.0821770612901,0.0633386533163,93.0959210222,92.9042915121,65,42.8215,3.27133094865,65,93.1995649867,45.3579917123,0.0571886,0.996805,3.27595,26.6023,92.9067790206,3.27036
89.8116697,2.30505318621,3.41179474301,-3.47485,99.4410397862,0.0837703746613,0.0596605153286,92.864887359,92.7061970801,66,43.0133,3.40799918191,66,92.941773672,44.1116579443,0.0647723,0.997619,3.41317,26.6745,93.4571756541,3.40703
90.1944404755,2.19717397289,3.49181151997,-3.55878,99.3656468403,0.0813211701355,0.0755031980808,92.6369944311,92.5009398463,67,43.2288,3.48797872533,67,92.7712368925,42.8963710086,0.0525512,0.997976,3.4936,26.7634,93.7431340093,3.4878
88.0001455738,1.95429435491,3.64711864352,-3.71832,96.3884326236,0.0898658086206,0.0653270701739,92.8099113535,92.6864699087,68,43.4642,3.64284151294,68,92.8998970604,43.7117124005,0.0698139,0.994648,3.64783,26.8628,94.0323481001,3.64175
90.216061676,1.13741734628,3.7459953781,-3.82326,95.0049679448,0.0855162707898,0.0741322026385,92.6715368169,92.4037584198,69,43.6916,3.74178993997,69,92.7922383987,42.9340933631,0.0576884,0.99369,3.74596,26.8727,93.5851143954,3.7407
89.5602125675,2.44696177996,3.83109552193,-3.90803,98.7771617362,0.0940598360062,0.0568274480484,92.696554322,92.5023241531,70,43.9222,3.82688367721,70,92.7975716395,43.112442511,0.0676633,0.995,3.8312,26.9358,93.3023999188,3.82596
