AverageQ,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,MaxEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,MinReturn,StdEsReturn,StdReturn,Iteration,Epoch,AverageReturn,AverageAbsY,AveragePolicySurr,MaxReturn,AverageY,PolicyRegParamNorm,AverageAbsQ
3.46759,0.995105,43.1562,89.4923362976,0.0516711,93.8378472714,99.8600324414,0.0765658284033,41.11297821,92.0315094455,2.41835384027,0.0988511079657,66,66,92.3154953133,3.46805331711,-3.53444,92.5015546244,3.4677924971,28.6956,3.46907
3.5089,0.985778,43.5054,88.7293009951,0.0441335,93.1186868221,99.5486462206,0.076906235532,38.3061410512,90.9193360214,3.2637020469,0.416623106687,67,67,91.8172288932,3.50928912118,-3.58322,93.0040358764,3.50896089257,28.8223,3.51032
3.6748,0.987193,43.8468,83.6321128366,0.0638297,92.9335424386,97.4945515513,0.0912557967159,37.730457102,90.6094659717,3.47541862054,0.438386484234,68,68,91.6884964164,3.67536158673,-3.75106,92.9178880482,3.67486788997,28.8928,3.67696
3.79023,0.991154,44.2066,90.4371968941,0.0433591,93.6703245687,95.1003070272,0.0760997993094,37.7861147816,90.7060133854,1.16768087341,0.417621623183,69,69,91.6709783062,3.79111911077,-3.87519,92.6067758625,3.79034822193,29.0069,3.79265
3.86484,0.988637,44.5288,87.0508598554,0.0588431,92.5586297079,96.6179933836,0.0863714907443,39.3863994246,91.1102757399,2.53522085827,0.566344561672,70,70,92.0087863219,3.86631249907,-3.95445,93.3667274307,3.86499415364,29.034,3.86788
4.00136,0.990318,44.7943,87.4185323222,0.0706467,93.2481293965,97.1332723651,0.0923535654461,38.6894909074,91.0162895031,2.4024653456,0.486392142494,71,71,91.8607234357,4.00323821726,-4.09572,93.3353640627,4.00176805331,29.1112,4.00469
4.13421,0.993992,45.0868,89.0824538652,0.0723095,93.1163428466,94.9241253609,0.0945617118118,37.4112079884,90.6555326273,1.46752749527,0.296495104033,72,72,91.5754983607,4.13610044133,-4.22995,92.052783396,4.13472407152,29.1748,4.13687
4.2097,0.984168,45.341,87.4957247008,0.0595245,93.4836617807,97.5719477611,0.0887527884759,39.068732664,90.5007356451,2.40655314345,0.960509511919,73,73,91.9482263735,4.21155568735,-4.30895,93.5997115987,4.21025511103,29.2327,4.21195
4.35418,0.983706,45.6386,87.7928086236,0.0882085,92.9722208327,95.7268557309,0.10323015939,39.3675424582,90.1338322595,2.3964659969,1.2328812501,74,74,91.9815970632,4.35633359734,-4.45489,93.7619148405,4.35542514444,29.2766,4.3557
4.47821,0.98293,45.9295,89.0829628642,0.0582124,92.5748816397,95.1600955543,0.091179937119,39.6511349971,90.1217359487,1.82251971171,1.17991469073,75,75,92.0485693749,4.47973442062,-4.58543,93.8064033594,4.47905404461,29.3872,4.47929
4.60514,0.988106,46.2244,89.1707167719,0.0573523,93.8575790725,98.0893523237,0.0931169871185,37.2144065196,89.9489224672,2.00927474419,1.12519798157,76,76,91.5225595884,4.60638861493,-4.71276,93.7505557967,4.6059828726,29.4317,4.60579
4.69632,0.985611,46.4794,89.4706208261,0.0488656,93.0427979816,95.138098143,0.0880166331435,40.6252925808,89.947047885,1.92711266387,1.31356613316,77,77,92.2020289069,4.69719179223,-4.80579,93.7258800586,4.69697428028,29.5469,4.69652
4.80635,0.989494,46.724,88.8860637994,0.0677454,93.379615072,99.6866273471,0.0968362774428,36.1113012665,89.732688829,3.15237814425,0.947614827789,78,78,91.2950601103,4.80755589689,-4.91696,93.5067731933,4.80750771703,29.6627,4.80643
4.95481,0.989409,46.9537,88.9095068055,0.0425869,92.9320408412,96.7247157918,0.0846628980958,38.0023888078,90.120985211,2.30032691996,1.04933695503,79,79,91.6814830559,4.95542136603,-5.06938,93.4818214298,4.95541738466,29.7605,4.95482
5.07858,0.992458,47.2277,90.5074165179,0.0445616,93.5156329736,99.347131465,0.0865325550188,34.5838609521,89.7908645849,2.29360185434,0.531277318354,80,80,90.9695315333,5.07959883211,-5.19363,91.8070878754,5.07959652167,29.8495,5.07858
5.19734,0.991259,47.4144,87.991362299,0.0508018,93.1600327214,94.9370347678,0.0933701114697,39.283882701,90.1248580666,1.81365417138,1.11854803835,81,81,91.9200324625,5.19819630299,-5.31292,93.4675700659,5.19819308373,29.9863,5.19734
5.30596,0.989724,47.6371,85.882216351,0.0420569,93.5887452984,98.3223742681,0.0894445772701,40.1002116426,90.4389746297,2.80136351212,1.11096598502,82,82,92.0924186334,5.30720310598,-5.42156,93.4623524846,5.30720190388,30.0505,5.30596
5.39988,0.988655,47.8402,89.9414497007,0.0532976,93.6493070267,96.9814770342,0.0954671550256,41.4561367552,90.4531405709,1.55940458784,0.980694179155,83,83,92.3774687426,5.40079043505,-5.51724,93.3081468277,5.40078729252,30.1849,5.39988
5.53801,0.991104,48.0931,88.9670711997,0.0362287,93.8247100825,99.1606747153,0.0805827463069,42.7491052978,90.2317082137,2.7800488645,1.15925301145,84,84,92.5881690244,5.53899167421,-5.65629,93.4640530062,5.53899047256,30.2565,5.53801
5.63637,0.989546,48.3689,89.9922879538,0.0456317,92.8429941189,94.4740606386,0.0888248030481,40.1571665682,90.2321904517,1.50722302782,0.968648328346,85,85,92.1213278928,5.63739865265,-5.75234,93.1162110409,5.63739405211,30.3382,5.63637
5.7606,0.992047,48.6204,87.4269970347,0.0420405,93.2619118828,94.7484657625,0.0874965902572,47.0606329318,93.3086718091,2.0793027033,0.0544990840708,86,86,93.4235828624,5.76193882094,-5.88097,93.5116997677,5.76193701941,30.3399,5.7606
5.84628,0.987489,48.8725,90.3548907786,0.0341075,93.4271470417,95.9328106469,0.0812380764968,45.1086026808,89.9497998576,1.85296162189,0.974625847544,87,87,93.0592617841,5.84725846578,-5.96062,93.8632913383,5.84725638151,30.4209,5.84628
5.97523,0.989585,49.2211,88.7135806492,0.0365933,93.1973249054,95.1017906283,0.0825205647581,42.2112579386,89.4104710511,1.81681015271,1.44540551747,88,88,92.4596646631,5.97644468947,-6.08819,93.8050001129,5.97644331744,30.486,5.97523
