AverageDiscountedReturn,AverageQLoss,MaxEsReturn,AverageQ,MinEsReturn,QFunRegParamNorm,MaxReturn,PolicyRegParamNorm,AveragePolicySurr,AverageAbsY,AverageAbsQYDiff,AverageReturn,AverageAction,Iteration,AverageEsReturn,StdEsReturn,AverageY,AverageAbsQ,MinReturn,Epoch,StdReturn
39.6857191029,0.0529021,98.1024427184,4.20438,86.3318074814,60.2701,93.3657593808,38.1924,-4.32857,4.21095941391,0.0945995491513,92.1555254104,0.974033,76,93.0915576466,3.33679197342,4.20512038992,4.21206,90.651231241,76,0.78077434518
41.4666574496,0.0426737,94.5070790752,4.36966,87.4859546189,60.8582,93.5085894985,38.3416,-4.50126,4.37541772717,0.0970186471701,92.4786761928,0.97475,77,93.0985577233,1.92994450243,4.37032372149,4.37614,90.7582912393,77,0.930105876139
43.1729760732,0.0474424,94.8594477941,4.49639,89.3298325813,61.4748,93.3831716104,38.4246,-4.63101,4.50126006221,0.0934434643854,92.8302220751,0.972367,78,93.6358235833,1.38638823708,4.49702935829,4.50159,91.1876959287,78,0.673376166722
45.9687985811,0.0526808,97.4394769971,4.65582,89.4939361253,62.1375,93.4545772806,38.6126,-4.79771,4.66012979337,0.104348216514,93.3156133811,0.977911,79,94.1020312102,1.84124829783,4.65664891108,4.65998,92.9966645468,79,0.108807952929
41.2726092853,0.0430144,99.5999894527,4.81727,90.2894281853,62.7576,93.2814674242,38.7032,-4.95893,4.82022236195,0.0965280110015,92.4575382075,0.973898,80,93.90512701,2.37006315055,4.81822879865,4.81957,90.6556032467,80,0.819430839118
46.6727291071,0.0400376,96.9173279614,4.93091,92.4196061037,63.3727,93.4114204182,38.8439,-5.07646,4.93315528011,0.0951362239417,93.3883318445,0.986522,81,94.3446890544,0.98697750685,4.93194410857,4.93241,93.2671993883,81,0.0209293699534
46.9778271943,0.0588013,97.3067189829,5.11571,90.1088321152,64.051,93.5088363115,39.0417,-5.26972,5.11723789769,0.107040069427,93.4390572857,0.986854,82,93.4984913323,2.18529916485,5.11655588514,5.1163,93.3485939626,82,0.0545694941622
42.5042215332,0.0510673,98.8218005222,5.24883,89.5905121178,64.6245,93.4925327929,39.2071,-5.40087,5.24998088778,0.101113962668,92.6352891283,0.980595,83,93.4092334016,2.49297670987,5.24979656016,5.24899,90.7435673769,83,0.900482686142
46.9995764068,0.0361973,95.0637343848,5.39943,90.9189236019,65.2362,93.5000625357,39.3011,-5.55321,5.40055605855,0.0954003450716,93.424768366,0.989989,84,93.2799033913,1.25877267413,5.40052447701,5.39943,93.2419814025,84,0.0772933996938
47.0183585121,0.0496291,98.5694435221,5.55866,90.0090622604,65.901,93.4899759218,39.485,-5.71261,5.55961526194,0.1055044374,93.4028948776,0.994373,85,94.0076172096,2.03216420925,5.55961118119,5.55866,93.281218236,85,0.040665425657
46.8117912823,0.0472473,97.287796607,5.68174,89.5725407787,66.5133,93.4118241435,39.6085,-5.83481,5.68282693895,0.103651482047,93.3502055888,0.99727,86,94.0655948026,1.67807292023,5.68282505839,5.68174,93.2318045932,86,0.0630063032081
46.8722253794,0.0371964,94.7808637784,5.82487,89.8121902371,67.1321,93.4129338111,39.7565,-5.97238,5.82577491477,0.0989060830053,93.358226138,0.99772,87,93.0458308743,1.47002190193,5.82577326937,5.82487,93.2393250558,87,0.0519927698588
46.7746245777,0.0357756,95.609095596,6.00393,91.2811356164,67.732,93.4072481756,39.8188,-6.14582,6.00466965974,0.098120018905,93.3404917315,0.997829,88,93.8418627199,1.16047042466,6.00466760672,6.00393,93.2251713198,88,0.0651383634388
46.2906353216,0.0559572,99.1050115735,6.11676,90.6195890779,68.3153,93.3996594271,39.927,-6.25206,6.11786763287,0.112273465547,93.2827637894,0.993158,89,94.0846077336,1.89807699504,6.11786311423,6.11676,93.1496862845,89,0.0755460312457
45.735069081,0.0403541,99.666063656,6.19676,92.4902655347,68.8099,93.3967962067,40.0324,-6.32747,6.19744761124,0.0976664817723,93.1799580047,0.993937,90,94.2263314872,1.67222577736,6.19744592325,6.19676,92.9390261239,90,0.09235303293
45.8792593842,0.0538008,99.8482038362,6.29724,89.299849549,69.428,93.4000208243,40.1528,-6.42045,6.29820487085,0.112344328825,93.2175979767,0.991855,91,93.632822509,2.45277161635,6.2982011539,6.29724,92.9434347711,91,0.132163079966
