MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageAbsQYDiff,AverageReturn,Iteration,AverageY,QFunRegParamNorm,AverageAction,PolicyRegParamNorm,MinEsReturn,AverageAbsY,AverageQ,AveragePolicySurr,Epoch,MinReturn,MaxReturn,AverageEsReturn,StdEsReturn,AverageQLoss,StdReturn
615.851767974,84.7640746175,28.9452,0.693422676017,992.231926512,63,28.9514320413,34.8303,0.815872,33.7291,615.851767974,28.9518316023,28.9452,-29.8019,63,869.417401761,1050.98545307,615.851767974,0.0,1.51027,55.1976364855
647.177442168,77.9387104875,29.6904,0.693680249605,832.614755314,64,29.6950911724,35.0314,0.792938,33.9973,647.177442168,29.6954745069,29.6904,-30.5277,64,264.18205269,999.362823842,647.177442168,0.0,1.51173,228.670910886
562.215718506,84.9708634469,30.4401,0.724920025897,940.725460618,65,30.4466172925,35.3102,0.822769,34.1783,562.215718506,30.4469293579,30.4401,-31.281,65,860.28668197,1003.17406946,562.215718506,0.0,1.80405,38.1966829836
575.715442307,78.5273905252,31.1821,0.721436225466,847.765659112,66,31.1883704635,35.527,0.848266,34.438,575.715442307,31.1888827181,31.1821,-32.015,66,633.227313312,932.024749577,575.715442307,0.0,1.81125,83.4411891241
623.616095554,67.9938510965,31.9036,0.724279467747,726.643087028,67,31.9089533919,35.773,0.82034,34.6341,623.616095554,31.9091737891,31.9036,-32.7394,67,-81.8701377158,867.616137799,623.616095554,0.0,1.7376,271.838507261
607.989228582,63.0261554201,32.633,0.733214766744,683.590457935,68,32.6382025803,36.0262,0.834166,34.8215,607.989228582,32.6385143611,32.633,-33.4776,68,-93.4672383382,837.189376422,607.989228582,0.0,1.89487,266.602118768
644.420820666,77.7295281299,33.3871,0.73946451686,845.030899055,69,33.3928645942,36.3055,0.864138,34.9615,644.420820666,33.3930651765,33.3871,-34.2462,69,775.478975129,972.622843761,644.420820666,0.0,1.85055,59.9858557498
652.780557947,76.0045319437,34.1061,0.762387974964,798.006848036,70,34.1127468903,36.5731,0.824027,35.1103,652.780557947,34.1131386333,34.1061,-34.9494,70,673.428724372,893.666418112,652.780557947,0.0,2.16772,68.3225021835
600.677381791,79.239458775,34.8867,0.735488568922,900.135842199,71,34.8937930095,36.8466,0.800317,35.3486,600.677381791,34.8942646585,34.8867,-35.7423,71,806.813545722,1010.68338603,600.677381791,0.0,1.9436,52.0197531798
606.467543008,76.5896275633,35.6593,0.753495482783,851.168451468,72,35.6623881051,37.1154,0.806567,35.5316,606.467543008,35.6627328504,35.6593,-36.5117,72,786.521018688,918.396436127,606.467543008,0.0,2.01468,38.5590336506
664.400831583,56.9615821987,36.3988,0.75798358263,636.160421648,73,36.4040160188,37.372,0.815138,35.7307,664.400831583,36.4043081744,36.3988,-37.2756,73,506.62145958,775.09536071,664.400831583,0.0,2.13987,68.35302345
