MinReturn,AverageQ,AverageAbsQ,Epoch,MaxEsReturn,MinEsReturn,AverageY,AverageAction,AverageReturn,StdEsReturn,AveragePolicySurr,Iteration,PolicyRegParamNorm,AverageAbsY,AverageDiscountedReturn,StdReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,MaxReturn,AverageEsReturn
950.212730147,30.4514,30.4514,52,2146.17432615,2146.17432615,30.4606525195,0.889222,1961.17032282,0.0,-31.8012,52,32.0077,30.461156434,208.653260105,796.590926844,35.8438,1.00201778932,3.07014,3070.77928709,2146.17432615
937.205082259,31.7639,31.7639,53,706.93324805,706.93324805,31.7755656545,0.907413,1228.98532915,0.0,-33.181,53,32.36,31.7758784142,197.049249814,215.446694469,36.3277,1.02584387302,3.22591,1664.07176251,706.93324805
894.777660964,33.5179,33.5179,54,946.921155318,946.921155318,33.5264813476,0.902091,1153.37976793,0.0,-34.9659,54,32.6821,33.5267786622,166.557874777,247.364088508,36.7837,1.03804100128,3.38681,1669.41907684,946.921155318
1036.69002922,35.8286,35.8286,55,2086.9185869,2086.9185869,35.839046328,0.941791,1934.24474677,0.0,-37.3269,55,33.0366,35.8392549016,224.256016067,717.436436811,37.1918,1.05856593181,3.38938,2862.42383085,2086.9185869
912.621025469,37.531,37.531,56,2230.36630986,2230.36630986,37.5434096028,0.91981,2512.64456142,0.0,-39.0392,56,33.3311,37.5438225258,254.801213932,825.158471765,37.6441,1.08007217822,3.44683,3301.61949502,2230.36630986
578.602840896,39.4073,39.4073,57,676.008270888,676.008270888,39.4175502564,0.903729,1238.42243322,0.0,-40.8883,57,33.674,39.4179295855,181.669906385,445.993822622,38.0128,1.09737125436,3.99882,2278.25857722,676.008270888
1194.35587006,41.4121,41.4121,58,1724.48197365,1724.48197365,41.4231754338,0.897236,1531.03010003,0.0,-42.9256,58,33.9696,41.4236690599,243.838060888,402.961213089,38.4169,1.13276873904,4.2016,2510.87030666,1724.48197365
969.215331553,43.7102,43.7102,59,2305.60200037,2305.60200037,43.7208470006,0.882354,1519.4536839,0.0,-45.2966,59,34.2276,43.721178901,232.081908701,555.286347286,38.8455,1.15522618218,4.56716,2912.7276015,2305.60200037
946.374403179,46.0871,46.0871,60,2382.63759455,2382.63759455,46.1004428365,0.884842,1870.78360828,0.0,-47.7122,60,34.5493,46.1008539172,231.385688174,743.722440775,39.2624,1.2046430639,5.44313,3265.97863567,2382.63759455
902.543098952,48.4875,48.4875,61,2169.3313078,2169.3313078,48.5024988329,0.903805,1849.70793806,0.0,-50.1046,61,34.9129,48.5028923873,213.342348747,827.705530421,39.6372,1.19860762447,5.30599,3088.76000015,2169.3313078
