MaxEsReturn,MaxReturn,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageDiscountedReturn,AverageQLoss,AveragePolicySurr,StdEsReturn,Iteration,PolicyRegParamNorm,AverageY,AverageReturn,MinEsReturn,AverageAbsQ,StdReturn,MinReturn,AverageQ,Epoch,AverageAbsY,QFunRegParamNorm
518.493025261,718.020570288,0.0733434478001,0.925739,518.493025261,48.1478234414,0.0167126,-3.31147,0.0,77,34.3513,3.23651035299,449.122861007,518.493025261,3.236,104.413706553,339.214777522,3.236,77,3.23656075599,31.1847
216.83191188,459.296470099,0.0735286472648,0.871513,216.83191188,19.086922512,0.017698,-3.36661,0.0,78,34.5613,3.29395723416,233.449740882,216.83191188,3.29349,106.840016197,49.3627404802,3.29349,78,3.29401914956,31.3823
525.486064321,753.790310151,0.0773615570119,0.933345,525.486064321,42.9215420081,0.0214378,-3.40539,0.0,79,34.8088,3.33532956264,449.390948876,525.486064321,3.33471,114.340864891,375.51201484,3.33471,79,3.33540460153,31.6602
353.083063251,581.993225312,0.0760838322062,0.904981,353.083063251,58.1663015112,0.0209375,-3.4537,0.0,80,35.0029,3.38092274235,464.804361357,353.083063251,3.38035,69.5979482044,341.108384753,3.38035,80,3.38099680618,31.9077
450.018332359,849.499080199,0.075748410105,0.903658,450.018332359,66.7818171299,0.0203591,-3.50289,0.0,81,35.162,3.43246535053,728.1351236,450.018332359,3.43185,97.8064403164,529.172209641,3.43185,81,3.43254295774,32.1124
381.575842151,556.457143399,0.0767448008481,0.927423,381.575842151,51.695248873,0.0197485,-3.54576,0.0,82,35.3451,3.47579997902,485.479334438,381.575842151,3.47524,42.246551343,425.359403969,3.47524,82,3.47585822847,32.3453
513.946343245,901.412139523,0.0780188409126,0.861873,513.946343245,63.0466184509,0.0219748,-3.58726,0.0,83,35.5792,3.5183926388,713.414327107,513.946343245,3.51788,235.992122812,98.9798061735,3.51784,83,3.51847749499,32.5813
495.871671397,820.435200591,0.0765810213306,0.943093,495.871671397,62.6861890871,0.0187057,-3.63462,0.0,84,35.7936,3.5644567466,730.339256315,495.871671397,3.56399,58.9342246628,624.795186922,3.56399,84,3.56451095409,32.8023
510.75266983,794.93392086,0.0758097227565,0.88141,510.75266983,53.5587075658,0.0195648,-3.68271,0.0,85,35.9899,3.61033568897,616.202288844,510.75266983,3.60997,210.533357586,63.037011707,3.60997,85,3.61037800469,33.0061
603.311583508,971.554069094,0.0812282289042,0.928211,603.311583508,81.5269356421,0.0257373,-3.72956,0.0,86,36.206,3.65910373682,691.968044043,603.311583508,3.65843,152.19975693,370.336922531,3.65843,86,3.65917837656,33.2446
538.562474632,623.554605438,0.0784190673001,0.903092,538.562474632,47.5038554288,0.0216457,-3.7712,0.0,87,36.4263,3.70267681473,437.198109873,538.562474632,3.70226,95.2833177091,302.717919541,3.70226,87,3.70271606882,33.4703
378.884817771,1076.10922119,0.0783072123522,0.91411,378.884817771,78.0717310892,0.0205534,-3.81099,0.0,88,36.5976,3.74074261395,899.593097118,378.884817771,3.74019,123.43214535,699.954523448,3.74019,88,3.74078652413,33.6513
