AverageDiscountedReturn,AveragePolicySurr,PolicyRegParamNorm,StdEsReturn,AverageQ,MinReturn,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,MaxReturn,StdReturn,AverageReturn,Iteration,AverageEsReturn,AverageAbsQ,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,Epoch,AverageY
122.144097625,-74.9755,37.2438,58.1813667208,72.5039,194.680642578,0.68603,49.7883,24.2733567047,13.6116,203.770044247,2.30716936801,199.69803876,57,160.989111403,72.5454,219.594765591,72.5185863394,1.50673963907,57,72.5141942525
123.966780789,-76.5567,37.4694,52.8010943234,74.0544,197.155677087,0.706637,50.3261,33.4038748788,12.8209,208.218397331,2.40484828088,202.844732417,58,149.495081109,74.0942,214.358687904,74.0631204483,1.50316301716,58,74.0603714587
122.006087628,-77.8679,37.7174,39.8878884507,75.4034,193.939758058,0.702103,50.8196,103.937393591,14.9986,202.441616786,1.95357340809,198.475292142,59,178.096265178,75.4413,249.780768766,75.4146868105,1.53674646846,59,75.4105218204
122.557646768,-79.0382,37.9804,63.4135165322,76.5327,190.826357356,0.688062,51.315,12.5793852547,13.2736,209.119100477,5.1269860425,200.831007591,60,119.648299731,76.5756,226.763324454,76.5423896576,1.51300131269,60,76.5384057362
124.483598076,-80.255,38.2128,78.210065437,77.6583,196.846218625,0.733129,51.829,10.0445094008,14.8411,207.001232669,1.8774286349,203.668232199,61,136.586729584,77.6973,221.533328076,77.6726439239,1.60563957411,61,77.6690136538
120.086679075,-81.6565,38.4216,64.0995177284,79.1223,188.72735341,0.72181,52.2659,5.31040340833,15.1214,202.523009674,3.53702325672,193.510746985,62,131.356623448,79.1649,224.161759377,79.1290592332,1.56408228044,62,79.1258284878
117.573864986,-82.8889,38.6174,57.3044362511,80.2526,173.534714461,0.697537,52.6866,14.6037532605,18.1363,203.34931127,7.45468811846,189.114850065,63,111.153814441,80.2898,198.199990375,80.2654205131,1.70404706967,63,80.261953513
119.053111492,-84.3048,38.7681,54.1556522069,81.6939,169.310969436,0.711861,53.0988,13.5975150429,15.6651,197.935437927,5.71750077258,191.665312195,64,180.047507708,81.7385,225.697903718,81.7050538281,1.63350632928,64,81.7020384171
119.438538963,-85.4451,39.0318,49.2359687307,82.8034,173.71787929,0.70463,53.5755,15.3947451883,16.1547,208.882147167,6.45181470705,190.889726964,65,174.209244302,82.8497,225.554867472,82.8130887356,1.67491539312,65,82.8104630764
121.431167052,-86.6139,39.1844,58.3518234359,84.0262,192.12214505,0.677498,54.0513,14.9503067511,17.4276,210.853669645,3.80797251853,196.4008273,66,161.691271283,84.0671,217.968585681,84.0380687456,1.65896038087,66,84.0340458934
152.039718184,-87.7615,39.2923,67.3521162767,85.0712,225.405775107,0.753627,54.4312,4.98897701362,18.289,343.860118854,34.739613172,282.374787199,67,170.560201287,85.1118,239.375702025,85.0787585132,1.72513037291,67,85.0756740329
139.952694259,-89.1013,39.4575,63.8435099023,86.2888,231.334807443,0.717932,54.8821,120.028518284,16.071,254.334776946,5.70905663536,242.562295175,68,211.802540848,86.3284,344.568087614,86.3034620373,1.67905681641,68,86.2999923311
138.515973807,-90.4562,39.6394,88.9200917845,87.6488,234.809978254,0.716122,55.3612,21.3010936418,17.9611,251.925992731,3.60624242836,240.739781171,69,205.149905672,87.695,307.021168989,87.663735105,1.75937921477,69,87.6613434326
143.483345963,-91.7988,39.8701,109.103104531,88.8911,233.113718705,0.730928,55.8256,5.35975773974,17.4954,308.766155845,14.2223867097,254.641158856,70,179.635684685,88.9318,311.922846055,88.8973173918,1.7399192535,70,88.8939771917
161.965448637,-93.2402,40.1153,103.484667471,90.4071,246.950361759,0.785952,56.3032,109.996808384,19.8331,334.792216746,23.8790032042,311.959595055,71,225.77903249,90.4479,495.534590768,90.4216969407,1.82352694674,71,90.4192101408
183.62389393,-94.5333,40.3292,94.6389622611,91.5502,233.818500916,0.763031,56.7166,63.4136881393,23.2819,550.193912394,81.9140751529,391.559546314,72,243.038617091,91.593,405.974006039,91.5607438436,1.91627490742,72,91.558086162
125.299503947,-95.9979,40.5947,101.634707532,93.0658,184.7880559,0.670227,57.0772,102.204262151,20.5445,230.899113386,12.4416415543,207.447313704,73,317.170964688,93.1084,448.962208935,93.0810237794,1.84090668991,73,93.0762500762
222.908508101,-97.2599,40.8875,188.771097724,94.203,413.71035815,0.674002,57.5605,26.8347443933,24.2209,1275.13488669,222.259131346,813.826859629,74,258.483189652,94.2616,665.027511525,94.2271648054,2.04969894809,74,94.215273658
180.182561048,-98.8717,41.1669,93.288872267,95.7796,179.056799487,0.663572,58.0235,114.203180619,22.3177,1972.1114946,271.580819255,469.398364864,75,292.334977115,95.8336,388.641731688,95.8016939766,1.93255400006,75,95.7896524504
196.784819732,-100.666,41.4281,243.004646006,97.429,148.721622566,0.680366,58.4272,10.6296350007,25.3791,2273.35096212,320.875795713,603.711121918,76,309.037022071,97.4983,811.743782055,97.4641100926,2.1053712238,76,97.4410514249
185.170523011,-102.33,41.678,149.340410146,99.0662,366.118234674,0.635892,58.8884,9.6027512825,26.9432,1392.3531055,207.543731343,453.752806129,77,172.783130129,99.1319,482.55506498,99.1030013219,2.0726042969,77,99.0792363754
206.036557232,-103.785,41.9314,142.108278902,100.411,411.100712868,0.666593,59.3362,10.7895006365,27.4705,1297.68104742,201.947104316,563.826888185,78,234.115187569,100.491,372.333400263,100.452724754,2.18444065683,78,100.423000222
211.939133544,-105.806,42.14,116.713234917,102.394,418.079250453,0.64584,59.8247,64.642304415,27.906,1008.30900513,122.970528755,582.463219565,79,225.458365218,102.478,392.032185906,102.439352135,2.25224670749,79,102.404694218
188.771487541,-107.536,42.4012,135.442886732,103.991,259.86692963,0.680111,60.2284,22.9488809754,30.7519,2319.69108773,524.522580895,755.684908285,80,183.38310488,104.078,484.200522146,104.047993306,2.2978815333,80,104.01061071
221.564631013,-109.336,42.6169,200.638092324,105.701,470.283564802,0.675455,60.7303,14.8313105354,30.3669,2447.74735091,473.292525215,1026.30526771,81,238.061636538,105.799,791.398553982,105.749356361,2.31232082009,81,105.707502766
191.915210468,-111.353,42.8827,149.939946451,107.662,387.633978643,0.699497,61.2112,12.9715731762,34.9008,1879.59587756,303.655941776,502.744659773,82,235.058514346,107.743,426.04986513,107.705166479,2.47681333802,82,107.677500544
221.860062362,-113.085,43.0863,124.466155121,109.358,444.875617768,0.669485,61.6082,13.3210907932,33.3389,2962.47182997,615.168618116,1119.96108236,83,232.109601321,109.437,445.525724613,109.403151085,2.45879255087,83,109.374790581
183.927758852,-114.846,43.3381,149.27863028,111.028,218.150934713,0.733112,62.1048,10.338885038,36.8241,423.431664607,38.1503995505,402.09148789,84,194.61941377,111.132,397.263990736,111.083006318,2.55430095249,84,111.044161246
184.633666805,-116.955,43.563,113.536080898,113.133,282.822604301,0.716864,62.5742,44.5770107875,33.6516,891.894018648,136.563165606,437.586827007,85,250.867050097,113.229,403.94796736,113.176214401,2.55368888765,85,113.143485988
167.628792419,-119.005,43.8261,228.234604589,115.118,246.823429081,0.758259,63.0184,17.4366915514,37.7029,401.730473347,31.8356713132,335.510327816,86,241.456382521,115.201,734.285348443,115.162939232,2.67277321769,86,115.133547309
171.578733738,-120.966,44.1054,137.798486179,116.97,226.90895249,0.756843,63.5261,13.013450407,38.373,396.092422358,44.8188390468,350.215754177,87,195.568284663,117.055,503.961979177,117.004662901,2.66434835759,87,116.979217482
209.944311285,-122.884,44.2753,139.398440453,118.981,281.32565882,0.704051,64.0469,15.2629717468,44.1126,1560.05293689,305.187948597,850.239228177,88,181.264921381,119.069,412.96355682,119.010993428,2.81283046888,88,118.993195321
165.42859413,-124.389,44.4495,247.154052664,120.479,228.18965674,0.708267,64.4796,8.45966536932,36.6117,533.477537297,45.7564588061,342.728636962,89,302.297899277,120.562,830.951343519,120.513421585,2.76073641846,89,120.494118828
183.505196436,-126.614,44.6459,120.487769357,122.688,294.821768267,0.717719,64.9173,11.7326526739,37.9093,739.013425773,119.277562281,458.2447433,90,193.914245264,122.78,410.64614024,122.721680642,2.7684303923,90,122.696585252
202.037378095,-128.459,44.8244,145.647419019,124.374,365.665633686,0.705645,65.3523,12.2317166561,40.5017,1007.45917207,138.197345459,555.658145837,91,164.075273973,124.466,426.025708317,124.414889414,2.89444302035,91,124.394576895
161.376397963,-130.168,45.0638,171.243869475,126.091,279.515381348,0.731607,65.8206,13.8473673601,45.824,523.696350432,34.256134059,332.589593362,92,189.44405586,126.17,527.732698522,126.124323683,2.93390935454,92,126.103642741
208.328641151,-132.056,45.2744,299.757142488,127.977,172.824907375,0.692218,66.339,12.7868595867,44.5933,1671.4791917,319.335626553,657.353658222,93,293.414145636,128.076,1065.01919161,128.008724447,2.95086761878,93,127.985171504
222.818702587,-134.152,45.5183,162.658576876,129.897,269.241164161,0.671629,66.8,11.0025822995,44.3119,2830.83369855,598.070892185,966.962297283,94,230.293488655,129.981,465.858960443,129.923989003,2.97992830602,94,129.90988483
205.500390805,-135.625,45.7291,88.6680013422,131.318,385.923603257,0.629875,67.2888,110.185612249,45.6493,2542.18456891,774.207551442,1015.83154224,95,291.32532622,131.404,431.626319267,131.348707924,3.02236034027,95,131.331296138
228.926833044,-137.759,45.9109,177.507719513,133.611,385.954683825,0.656897,67.7544,10.5433648673,50.1785,1937.4612923,440.797655466,1055.96247636,96,202.189315315,133.699,607.836524166,133.63981746,3.11383439863,96,133.622496534
218.808055326,-139.821,46.0886,179.993834212,135.448,345.345079336,0.682609,68.1659,12.4974537219,46.098,1734.8977592,303.674093058,893.374638519,97,300.998345376,135.542,536.128232471,135.480001867,3.02517840102,97,135.458834464
